batter,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
Mashrafe Mortaza,1.0,2.0,2.0,100.0,1.0,Mashrafe Mortaza,Right_Hand,Bangladesh,Mashrafe Mortaza,1.0,59.0,4.666666666666667,1.0,12.642857142857142,28.0,Mashrafe Mortaza,Right-arm fast-medium,Bangladesh
Mayank Dagar,1.0,0.0,1.0,0.0,0.0,NA,NA,NA,Mayank Dagar,8.0,205.0,23.0,2.0,8.91304347826087,69.0,NA,NA,NA
Misbah-ul-Haq,8.0,117.0,82.0,142.6829268292683,1.4268292682926829,Misbah-ul-Haq,Right_Hand,Pakistan,,,,,,,,,,
Mohammad Ashraful,1.0,2.0,12.0,16.666666666666664,0.16666666666666666,Mohammad Ashraful,Right_Hand,Bangladesh,,,,,,,,,,
Mohammad Asif,2.0,3.0,6.0,50.0,0.5,Mohammad Asif,Left_Hand,Pakistan,Mohammad Asif,8.0,307.0,33.166666666666664,9.0,9.256281407035177,22.11111111111111,Mohammad Asif,Right-arm fast-medium,Pakistan
Mohammad Hafeez,8.0,64.0,84.0,76.19047619047619,0.7619047619047619,Mohammad Hafeez,Right_Hand,Pakistan,Mohammad Hafeez,4.0,71.0,10.5,2.0,6.761904761904762,31.5,Mohammad Hafeez,Right-arm offbreak,Pakistan
Mohammad Nabi,19.0,221.0,157.0,140.76433121019107,1.4076433121019107,Mohammad Nabi,Right_hand,NA,Mohammad Nabi,23.0,527.0,69.83333333333333,15.0,7.5465393794749405,27.933333333333334,Mohammad Nabi,Right-arm offbreak,NA
Mohammed Shami,23.0,74.0,82.0,90.2439024390244,0.9024390243902439,Mohammed Shami,Right_Hand,India,Mohammed Shami,110.0,3486.0,420.1666666666667,144.0,8.296707655692185,17.506944444444443,Mohammed Shami,Right-arm fast-medium,India
Mohammed Siraj,20.0,109.0,122.0,89.34426229508196,0.8934426229508197,Mohammed Siraj,Right_hand,NA,Mohammed Siraj,93.0,2894.0,346.8333333333333,96.0,8.34406535319558,21.677083333333332,Mohammed Siraj,Right-arm fast,NA
Mohit Rathee,1.0,1.0,2.0,50.0,0.5,NA,NA,NA,Mohit Rathee,1.0,29.0,2.0,0.0,14.5,NA,NA,NA,NA
Mohsin Khan,5.0,25.0,27.0,92.5925925925926,0.9259259259259259,NA,NA,NA,Mohsin Khan,23.0,698.0,84.5,27.0,8.2603550295858,18.77777777777778,NA,NA,NA
Mujeeb Ur Rahman,6.0,12.0,15.0,80.0,0.8,NA,NA,NA,Mujeeb Ur Rahman,19.0,598.0,75.33333333333333,20.0,7.938053097345133,22.6,NA,NA,NA
Mukesh Choudhary,2.0,6.0,6.0,100.0,1.0,NA,NA,NA,Mukesh Choudhary,14.0,452.0,49.666666666666664,16.0,9.100671140939598,18.625,NA,NA,NA
Mukesh Kumar,5.0,10.0,20.0,50.0,0.5,NA,NA,NA,Mukesh Kumar,20.0,707.0,70.0,31.0,10.1,13.548387096774194,NA,NA,NA
Mustafizur Rahman,6.0,13.0,23.0,56.52173913043478,0.5652173913043478,Mustafizur Rahman,Left_Hand,Bangladesh,Mustafizur Rahman,57.0,1792.0,225.5,70.0,7.946784922394679,19.32857142857143,Mustafizur Rahman,Left-arm fast-medium,Bangladesh
N Jagadeesan,10.0,162.0,155.0,104.51612903225806,1.0451612903225806,NA,NA,NA,,,,,,,,,,
N Pooran,72.0,1769.0,1143.0,154.7681539807524,1.547681539807524,N Pooran,Left_Hand,NA,,,,,,,,,,
N Rana,101.0,2636.0,2015.0,130.81885856079404,1.3081885856079405,N Rana,Left_Hand,India,N Rana,24.0,253.0,30.833333333333332,10.0,8.205405405405406,18.5,N Rana,Right-arm offbreak,India
N Saini,10.0,140.0,143.0,97.9020979020979,0.9790209790209791,N Saini,Right_Hand,India,,,,,,,,,,
N Wadhera,16.0,350.0,261.0,134.09961685823754,1.3409961685823755,NA,NA,NA,N Wadhera,1.0,13.0,2.0,0.0,6.5,NA,NA,NA,NA
ND Doshi,1.0,0.0,13.0,0.0,0.0,ND Doshi,Right_Hand,India,ND Doshi,4.0,79.0,9.5,2.0,8.31578947368421,28.5,ND Doshi,Slow left-arm orthodox,India
NJ Maddinson,3.0,20.0,21.0,95.23809523809523,0.9523809523809523,NJ Maddinson,Left_Hand,Australia,,,,,,,,,,
NJ Rimmington,1.0,1.0,1.0,100.0,1.0,NJ Rimmington,Right_Hand,Australia,NJ Rimmington,1.0,20.0,3.0,0.0,6.666666666666667,NA,NJ Rimmington,Right-arm fast-medium,Australia
NK Patel,6.0,121.0,124.0,97.58064516129032,0.9758064516129032,NK Patel,Left_Hand,India,,,,,,,,,,
NL McCullum,2.0,26.0,23.0,113.04347826086956,1.1304347826086956,NL McCullum,Right_Hand,New Zealand,NL McCullum,2.0,35.0,5.0,0.0,7.0,NA,NL McCullum,Right-arm offbreak,New Zealand
NLTC Perera,30.0,424.0,326.0,130.06134969325154,1.3006134969325154,NLTC Perera,Left_Hand,Sri Lanka,NLTC Perera,36.0,1031.0,119.16666666666667,37.0,8.651748251748252,19.324324324324323,NLTC Perera,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,16.0,82.0,75.0,109.33333333333333,1.0933333333333333,NM Coulter-Nile,Right_Hand,Australia,NM Coulter-Nile,38.0,1125.0,148.66666666666666,52.0,7.567264573991032,17.153846153846153,NM Coulter-Nile,Right-arm fast,Australia
NS Naik,4.0,31.0,53.0,58.490566037735846,0.5849056603773585,NS Naik,Right_Hand,India,,,,,,,,,,
NT Ellis,5.0,19.0,26.0,73.07692307692307,0.7307692307692307,NA,NA,NA,NT Ellis,16.0,514.0,60.833333333333336,19.0,8.449315068493151,19.210526315789473,NA,NA,NA
NV Ojha,94.0,1554.0,1360.0,114.26470588235293,1.1426470588235293,NV Ojha,Right_Hand,India,,,,,,,,,,
Naman Dhir,7.0,140.0,84.0,166.66666666666669,1.6666666666666667,NA,NA,NA,Naman Dhir,3.0,55.0,4.833333333333333,0.0,11.379310344827587,NA,NA,NA,NA
Navdeep Saini,7.0,33.0,38.0,86.8421052631579,0.868421052631579,NA,NA,NA,Navdeep Saini,31.0,968.0,113.66666666666667,26.0,8.516129032258064,26.23076923076923,NA,NA,NA
Naveen-ul-Haq,4.0,18.0,26.0,69.23076923076923,0.6923076923076923,NA,NA,NA,Naveen-ul-Haq,17.0,602.0,67.83333333333333,26.0,8.874692874692876,15.653846153846153,NA,NA,NA
Nithish Kumar Reddy,11.0,303.0,221.0,137.10407239819006,1.3710407239819005,NA,NA,NA,Nithish Kumar Reddy,9.0,208.0,19.666666666666668,4.0,10.576271186440678,29.5,NA,NA,NA
Noor Ahmad,5.0,13.0,18.0,72.22222222222221,0.7222222222222222,NA,NA,NA,Noor Ahmad,23.0,672.0,85.5,24.0,7.859649122807017,21.375,NA,NA,NA
OA Shah,22.0,506.0,405.0,124.93827160493827,1.2493827160493827,OA Shah,Right_Hand,England,,,,,,,,,,
OC McCoy,1.0,8.0,5.0,160.0,1.6,NA,NA,NA,OC McCoy,8.0,255.0,30.0,11.0,8.5,16.363636363636363,NA,NA,NA
OF Smith,6.0,51.0,50.0,102.0,1.02,NA,NA,NA,OF Smith,6.0,179.0,15.833333333333334,7.0,11.305263157894736,13.571428571428571,NA,NA,NA
P Awana,5.0,5.0,14.0,35.714285714285715,0.35714285714285715,P Awana,Right_Hand,India,P Awana,33.0,1046.0,129.0,43.0,8.108527131782946,18.0,P Awana,Right-arm medium,India
P Chopra,1.0,8.0,6.0,133.33333333333331,1.3333333333333333,P Chopra,Right_hand,NA,,,,,,,,,,
P Dogra,12.0,127.0,141.0,90.0709219858156,0.900709219858156,P Dogra,Right_Hand,India,,,,,,,,,,
P Dubey,2.0,23.0,33.0,69.6969696969697,0.696969696969697,NA,NA,NA,P Dubey,4.0,91.0,11.166666666666666,1.0,8.149253731343284,67.0,NA,NA,NA
P Kumar,57.0,340.0,323.0,105.26315789473684,1.0526315789473684,P Kumar,Right_Hand,India,P Kumar,119.0,3342.0,439.5,102.0,7.604095563139932,25.852941176470587,P Kumar,Right-arm medium,India
P Negi,35.0,365.0,301.0,121.26245847176081,1.212624584717608,P Negi,Left_Hand,India,P Negi,42.0,954.0,122.16666666666667,38.0,7.80900409276944,19.289473684210527,P Negi,Slow left-arm orthodox,India
P Parameswaran,2.0,1.0,3.0,33.33333333333333,0.3333333333333333,P Parameswaran,Right_Hand,India,P Parameswaran,8.0,226.0,26.5,9.0,8.528301886792454,17.666666666666668,P Parameswaran,Left-arm medium,India
P Ray Barman,1.0,19.0,25.0,76.0,0.76,NA,NA,NA,P Ray Barman,1.0,56.0,4.0,0.0,14.0,NA,NA,NA,NA
P Sahu,2.0,19.0,13.0,146.15384615384613,1.4615384615384615,P Sahu,Right_Hand,India,P Sahu,5.0,152.0,17.833333333333332,3.0,8.52336448598131,35.666666666666664,P Sahu,Legbreak googly,India
P Simran Singh,34.0,756.0,528.0,143.1818181818182,1.4318181818181819,NA,NA,NA,,,,,,,,,,
PA Patel,136.0,2848.0,2442.0,116.62571662571663,1.1662571662571664,PA Patel,Left_Hand,India,,,,,,,,,,
PA Reddy,10.0,164.0,167.0,98.20359281437125,0.9820359281437125,PA Reddy,Right_Hand,India,,,,,,,,,,
PBB Rajapaksa,13.0,277.0,201.0,137.81094527363186,1.3781094527363185,NA,NA,NA,,,,,,,,,,
PC Valthaty,23.0,505.0,432.0,116.89814814814814,1.1689814814814814,PC Valthaty,Right_Hand,India,PC Valthaty,10.0,207.0,25.5,7.0,8.117647058823529,21.857142857142858,PC Valthaty,Right-arm medium,India
PD Collingwood,7.0,203.0,159.0,127.67295597484276,1.2767295597484276,PD Collingwood,Right_Hand,England,PD Collingwood,6.0,101.0,15.0,5.0,6.733333333333333,18.0,PD Collingwood,Right-arm medium,England
PD Salt,21.0,653.0,385.0,169.6103896103896,1.6961038961038961,NA,NA,NA,,,,,,,,,,
PJ Cummins,39.0,515.0,359.0,143.4540389972145,1.434540389972145,PJ Cummins,Right_Hand,Australia,PJ Cummins,58.0,1976.0,228.33333333333334,66.0,8.654014598540146,20.757575757575758,PJ Cummins,Right-arm fast,Australia
PJ Sangwan,14.0,26.0,47.0,55.319148936170215,0.5531914893617021,PJ Sangwan,Right_Hand,India,PJ Sangwan,42.0,1267.0,150.83333333333334,44.0,8.4,20.568181818181817,PJ Sangwan,Left-arm medium,India
PK Garg,19.0,273.0,247.0,110.5263157894737,1.105263157894737,NA,NA,NA,,,,,,,,,,
PM Sarvesh Kumar,1.0,1.0,2.0,50.0,0.5,PM Sarvesh Kumar,Right_Hand,India,PM Sarvesh Kumar,2.0,42.0,5.166666666666667,1.0,8.129032258064516,31.0,PM Sarvesh Kumar,Right-arm medium,India
PN Mankad,5.0,97.0,75.0,129.33333333333331,1.2933333333333332,NA,NA,NA,,,,,,,,,,
PP Chawla,86.0,624.0,580.0,107.58620689655172,1.0758620689655172,PP Chawla,Left_Hand,India,PP Chawla,191.0,5179.0,649.1666666666666,201.0,7.977920410783056,19.378109452736318,PP Chawla,Legbreak,India
PP Ojha,19.0,16.0,45.0,35.55555555555556,0.35555555555555557,PP Ojha,Left_Hand,India,PP Ojha,90.0,2399.0,324.1666666666667,99.0,7.40051413881748,19.646464646464647,PP Ojha,Slow left-arm orthodox,India
PP Shaw,79.0,1892.0,1321.0,143.22482967448903,1.4322482967448902,NA,NA,NA,,,,,,,,,,
PR Shah,9.0,92.0,97.0,94.84536082474226,0.9484536082474226,PR Shah,Right_Hand,India,,,,,,,,,,
PSP Handscomb,1.0,6.0,12.0,50.0,0.5,PSP Handscomb,Right_Hand,Australia,,,,,,,,,,
PV Tambe,6.0,18.0,39.0,46.15384615384615,0.46153846153846156,PV Tambe,Right_Hand,India,PV Tambe,33.0,866.0,112.33333333333333,28.0,7.70919881305638,24.071428571428573,PV Tambe,Legbreak,India
PVD Chameera,7.0,43.0,32.0,134.375,1.34375,NA,NA,NA,PVD Chameera,13.0,442.0,49.5,11.0,8.929292929292929,27.0,NA,NA,NA
PWH de Silva,14.0,72.0,80.0,90.0,0.9,NA,NA,NA,PWH de Silva,26.0,758.0,92.83333333333333,36.0,8.165170556552964,15.472222222222221,NA,NA,NA
Pankaj Singh,5.0,7.0,12.0,58.333333333333336,0.5833333333333334,Pankaj Singh,Right_Hand,India,Pankaj Singh,17.0,472.0,51.833333333333336,11.0,9.106109324758842,28.272727272727273,Pankaj Singh,Right-arm medium-fast,India
Parvez Rasool,4.0,17.0,20.0,85.0,0.85,Parvez Rasool,Right_Hand,India,Parvez Rasool,11.0,273.0,33.333333333333336,4.0,8.19,50.0,Parvez Rasool,Right-arm offbreak,India
Q de Kock,107.0,3160.0,2410.0,131.12033195020746,1.3112033195020747,Q de Kock,Left_Hand,South Africa,,,,,,,,,,
R Ashwin,89.0,800.0,698.0,114.61318051575931,1.146131805157593,R Ashwin,Right_Hand,India,R Ashwin,208.0,5435.0,779.8333333333334,198.0,6.969437914084206,23.63131313131313,R Ashwin,Right-arm offbreak,India
R Bhatia,47.0,342.0,290.0,117.9310344827586,1.1793103448275861,R Bhatia,Right_Hand,India,R Bhatia,91.0,2059.0,276.8333333333333,82.0,7.437688139674895,20.25609756097561,R Bhatia,Right-arm medium-fast,India
R Bishnoi,3.0,19.0,17.0,111.76470588235294,1.1176470588235294,R Bishnoi,Right_Hand,India,,,,,,,,,,
R Dhawan,22.0,210.0,188.0,111.70212765957446,1.1170212765957446,R Dhawan,Right_Hand,India,R Dhawan,36.0,922.0,115.5,27.0,7.982683982683983,25.666666666666668,R Dhawan,Right-arm medium-fast,India
R Dravid,82.0,2174.0,1918.0,113.34723670490095,1.1334723670490094,R Dravid,Right_Hand,India,,,,,,,,,,
R McLaren,13.0,159.0,178.0,89.32584269662921,0.8932584269662921,R McLaren,Left_Hand,South Africa,R McLaren,18.0,558.0,62.0,14.0,9.0,26.571428571428573,R McLaren,Right-arm medium-fast,South Africa
R Ninan,1.0,3.0,6.0,50.0,0.5,R Ninan,Right_Hand,India,R Ninan,2.0,65.0,6.0,3.0,10.833333333333334,12.0,R Ninan,Right-arm offbreak,India
R Parag,58.0,1173.0,909.0,129.04290429042905,1.2904290429042904,R Parag,Right_hand,NA,R Parag,21.0,307.0,30.166666666666668,5.0,10.176795580110497,36.2,R Parag,Legbreak,NA
R Powell,22.0,360.0,254.0,141.73228346456693,1.4173228346456692,NA,NA,NA,R Powell,2.0,35.0,3.5,1.0,10.0,21.0,NA,NA,NA
R Rampaul,7.0,51.0,52.0,98.07692307692307,0.9807692307692307,R Rampaul,Left_Hand,West Indies,R Rampaul,12.0,319.0,46.333333333333336,17.0,6.884892086330935,16.352941176470587,R Rampaul,Right-arm fast-medium,West Indies
R Ravindra,10.0,222.0,146.0,152.05479452054794,1.5205479452054795,NA,NA,NA,R Ravindra,2.0,7.0,2.0,0.0,3.5,NA,NA,NA,NA
R Sai Kishore,1.0,13.0,6.0,216.66666666666666,2.1666666666666665,NA,NA,NA,R Sai Kishore,10.0,259.0,31.833333333333332,13.0,8.136125654450263,14.692307692307692,NA,NA,NA
R Sanjay Yadav,1.0,0.0,2.0,0.0,0.0,NA,NA,NA,R Sanjay Yadav,1.0,23.0,2.3333333333333335,0.0,9.857142857142856,NA,NA,NA,NA
R Sathish,24.0,270.0,236.0,114.40677966101696,1.1440677966101696,R Sathish,Right_Hand,India,R Sathish,14.0,233.0,24.0,6.0,9.708333333333334,24.0,R Sathish,Right-arm medium,India
R Sharma,19.0,66.0,77.0,85.71428571428571,0.8571428571428571,R Sharma,Right_Hand,India,R Sharma,44.0,1100.0,155.83333333333334,42.0,7.0588235294117645,22.261904761904763,R Sharma,Right-arm offbreak,India
R Shepherd,9.0,115.0,68.0,169.11764705882354,1.6911764705882353,NA,NA,NA,R Shepherd,8.0,260.0,22.166666666666668,6.0,11.729323308270676,22.166666666666668,NA,NA,NA
R Shukla,4.0,19.0,23.0,82.6086956521739,0.8260869565217391,R Shukla,Right_Hand,India,R Shukla,7.0,217.0,21.666666666666668,7.0,10.015384615384615,18.571428571428573,R Shukla,Right-arm medium,India
R Tewatia,65.0,1013.0,788.0,128.55329949238578,1.2855329949238579,R Tewatia,Left_Hand,India,R Tewatia,52.0,1117.0,144.33333333333334,36.0,7.739030023094688,24.055555555555557,R Tewatia,Legbreak,India
R Vinay Kumar,42.0,310.0,289.0,107.26643598615917,1.0726643598615917,R Vinay Kumar,Right_Hand,India,R Vinay Kumar,104.0,3041.0,364.3333333333333,127.0,8.346752058554438,17.212598425196852,R Vinay Kumar,Right-arm medium,India
