Player,Role,Nation,Team,Auction Price (in INR),Status_x,Status_y,Teams
Spencer Johnson,Bowler,Australia,Gujarat Titans,10 Crore,,,
Robin Minz,WK-Batsman,India,Gujarat Titans,3.60 Crore,,,
Shreyas Iyer,Batsman,India,Kolkata Knight Riders,12.25 Crores,Retained,Retained,KKR
Nitish Rana,Batsman,India,Kolkata Knight Riders,8 crores,Retained,Retained,KKR
Rinku Singh,Batsman,India,Kolkata Knight Riders,55 Lakhs,Retained,Retained,KKR
Varun Chakravarty,Bowlers,India,Kolkata Knight Riders,8 Cr,,,
Andre Russell,All-rounder,West Indies,Kolkata Knight Riders,12 Cr,Retained,Retained,KKR
Venkatesh Iyer,All-rounder,India,Kolkata Knight Riders,8 Cr,Retained,Retained,KKR
Sunil Narine,All-rounder,West Indies,Kolkata Knight Riders,6 Cr,Retained,Retained,KKR
Anukul Roy,All-rounder,India,Kolkata Knight Riders,20 Lakhs,Retained,Retained,KKR
Rahmanullah Gurbaz,WK-Batsman,Afghanistan,Kolkata Knight Riders,50 Lakhs,Retained,Retained,KKR
Harshit Rana,Bowler,India,Kolkata Knight Riders,20 Lakhs,Retained,Retained,KKR
Vaibhav Arora,Bowler,India,Kolkata Knight Riders,60 lakh,Retained,Retained,KKR
Suyash Sharma,Bowler,India,Kolkata Knight Riders,20 lakh,Retained,Retained,KKR
Jason Roy,Batsman,England,Kolkata Knight Riders,2.8 crore,Retained,Retained,KKR
KS Bharat,WK-Batsman,India,Kolkata Knight Riders,50 Lakhs,,,
Chetan Sakaria,Bowler,India,Kolkata Knight Riders,50 Lakhs,,,
Mitchell Starc,Bowler,Australia,Kolkata Knight Riders,24.75 Crore,,,
Angkrish Raghuvanshi,Batsman,India,Kolkata Knight Riders,20 Lakhs,,,
Ramandeep Singh,All-rounder,India,Kolkata Knight Riders,20 Lakhs,Released,Released,MI
Sherfane Rutherford,Batsman,West Indies,Kolkata Knight Riders,1.50 Crore,,,
Manish Pandey,Batsman,India,Kolkata Knight Riders,50 Lakhs,Released,Released,DC
Mujeeb Rahman,Bowler,Afghanistan,Kolkata Knight Riders,2 Crore,,,
Gus Atkinson,Bowler,England,Kolkata Knight Riders,1 Crore,,,
Sakib Hussain,Bowler,India,Kolkata Knight Riders,20 Lakhs,,,
KL Rahul,WK-Batsman,India,Lucknow Super Giants,17 Crores,Retained,Retained,LSG
Quinton de Kock,WK-Batsman,South Africa,Lucknow Super Giants,6.75 Crores,,,
Ravi Bishnoi,Bowler,India,Lucknow Super Giants,4 Crores,Retained,Retained,LSG
Mohsin Khan,Bowler,India,Lucknow Super Giants,20 Lakhs,Retained,Retained,LSG
Mark Wood,Bowler,England,Lucknow Super Giants,7.5 Crores,Retained,Retained,LSG
Marcus Stoinis,All-rounder,Australia,Lucknow Super Giants,9.2 Crores,Retained,Retained,LSG
Kyle Mayers,All-rounder,West Indies,Lucknow Super Giants,50 Lakhs,Retained,Retained,LSG
Ayush Badoni,All-rounder,India,Lucknow Super Giants,20 Lakhs,Retained,Retained,LSG
Deepak Hooda,All-rounder,India,Lucknow Super Giants,5.75 Crores,Retained,Retained,LSG
Krunal Pandya,All-rounder,India,Lucknow Super Giants,8.25 Crores,Retained,Retained,LSG
Nicholas Pooran,WK-Batsman,West Indies,Lucknow Super Giants,16 crore,Retained,Retained,LSG
Yash Thakur,Bowler,India,Lucknow Super Giants,45 lakh,Retained,Retained,LSG
Amit Mishra,Bowler,India,Lucknow Super Giants,50 lakh,Retained,Retained,LSG
Prerak Mankad,All-rounder,India,Lucknow Super Giants,20 lakh,Retained,Retained,LSG
Naveen-ul-Haq,Bowler,Afghanistan,Lucknow Super Giants,50 lakh,,,
Yudhvir Singh,All-rounder,India,Lucknow Super Giants,20 lakh,,,
Devdutt Padikkal,Batsman,India,Lucknow Super Giants,Traded from RR,Transferd,Transferd,LSG
Krishnappa Gowthan,All-rounder,India,Lucknow Super Giants,90 lakh,,,
Mayank Yadav,Bowler,India,Lucknow Super Giants,20 Lakhs,Retained,Retained,LSG
Shivam Mavi,Bowler,India,Lucknow Super Giants,6.4 Crores,Released,Released,GT
Arshin Kulkarni,All-rounder,India,Lucknow Super Giants,20 Lakhs,,,
M. Siddharth,Bowler,India,Lucknow Super Giants,2.40 Crore,,,
Ashton Turner,Batsman,Australia,Lucknow Super Giants,1 Crore,,,
David Willey,All-rounder,England,Lucknow Super Giants,2 Crore,Released,Released,RCB
Arshad Khan,All-rounder,India,Lucknow Super Giants,20 Lakhs,,,
Rohit Sharma,Batsman,India,Mumbai Indians,16 Cr,Retained,Retained,MI
Suryakumar Yadav,Batsman,India,Mumbai Indians,8 Cr,,,
Tilak Varma,Batsman,India,Mumbai Indians,1.70 Cr,,,
Dewald Brevis,Batsman,India,Mumbai Indians,3 crores,Retained,Retained,MI
Ishan Kishan,WK-Batsman,India,Mumbai Indians,15.25 crores,Retained,Retained,MI
Kumar Kartikeya Singh,Bowler,India,Mumbai Indians,20 Lakhs,Retained,Retained,MI
Jasprit Bumrah,Bowler,India,Mumbai Indians,12 Crores,Retained,Retained,MI
Arjun Tendulkar,All-rounder,India,Mumbai Indians,30 Lakhs,Retained,Retained,MI
Tim David,All-rounder,Singapore,Mumbai Indians,8.25 Crores,Retained,Retained,MI
Akash Madhwal,Bowler,India,Mumbai Indians,20 lakhs,Retained,Retained,MI
Jason Behrendorff,Bowler,Australia,Mumbai Indians,Traded from RCB,Retained,Retained,MI
Piyush Chawla,Bowler,India,Mumbai Indians,50 Lakhs,Retained,Retained,MI
Shams Mulani,All-rounder,India,Mumbai Indians,20 Lakhs,Retained,Retained,MI
Nehal Wadhera,All-rounder,India,Mumbai Indians,20 Lakhs,Retained,Retained,MI
Vishnu Vinod,WK-Batsman,India,Mumbai Indians,20 Lakhs,Retained,Retained,MI
Romario Shepherd,All-rounder,West Indies,Mumbai Indians,Traded from LSG,Transferd,Transferd,MI
Hardik Pandya,All-rounder,India,Mumbai Indians,Traded from GT,Transferd,Transferd,MI
Gerald Coetzee,All-rounder,South Africa,Mumbai Indians,5 Crores,,,
Dilshan Madushanka,Bowler,Sri Lanka,Mumbai Indians,4.60 Crores,,,
Shreyas Gopal,Bowler,India,Mumbai Indians,20 Lakhs,,,
Nuwan Thushara,Bowler,Sri Lanka,Mumbai Indians,4.80 Crore,,,
Naman Dhir,All-rounder,India,Mumbai Indians,20 Lakhs,,,
Anshul Kamboj,All-rounder,India,Mumbai Indians,20 Lakhs,,,
Mohammad Nabi,All-rounder,Afghanistan,Mumbai Indians,1.5 Crore,,,
Shivalik Sharma,All-rounder,India,Mumbai Indians,20 Lakhs,,,
Shikhar Dhawan,Batsman,India,Punjab Kings,8.25 Crores,Retained,Retained,PBKS
Prabhsimran Singh,WK-Batsman,India,Punjab Kings,60 Lakhs,Retained,Retained,PBKS
Jitesh Sharma,WK-Batsman,India,Punjab Kings,20 Lakhs,Retained,Retained,PBKS
Jonny Bairstow,WK-Batsman,England,Punjab Kings,6.75 Crores,Retained,Retained,PBKS
Arshdeep Singh,Bowler,India,Punjab Kings,4 Cr,Retained,Retained,PBKS
Nathan Ellis,Bowler,Australia,Punjab Kings,75 Lakhs,Retained,Retained,PBKS
Harpreet Brar,Bowler,India,Punjab Kings,3.80 Crores,Retained,Retained,PBKS
Rahul Chahar,Bowler,India,Punjab Kings,5.25 Crores,Retained,Retained,PBKS
Kagiso Rabada,Bowler,South Africa,Punjab Kings,9.25 Crores,Retained,Retained,PBKS
Liam Livingstone,All-rounder,England,Punjab Kings,11.50 Crores,Retained,Retained,PBKS
Rishi Dhawan,All-rounder,India,Punjab Kings,55 Lakhs,Retained,Retained,PBKS
Atharva Taide,All-rounder,India,Punjab Kings,20 Lakhs,Retained,Retained,PBKS
Sam Curran,All-rounder,England,Punjab Kings,18.50 crores,Retained,Retained,PBKS
Sikandar Raza,All-rounder,Zimbabwe,Punjab Kings,50 lakh,Retained,Retained,PBKS
Harpreet Bhatia,Batsman,India,Punjab Kings,40 lakh,Retained,Retained,PBKS
Vidwath Kaverappa,Bowler,India,Punjab Kings,20 lakh,Retained,Retained,PBKS
Shivam Singh,All-rounder,India,Punjab Kings,20 lakh,Retained,Retained,PBKS
Harshal Patel,All-rounder,India,Punjab Kings,11.75 Crore,Released,Released,RCB
Chris Woakes,All-rounder,England,Punjab Kings,4.20 Crore,,,
Ashutosh Sharma,All-rounder,India,Punjab Kings,20 Lakh,,,
Vishwanath Pratap Singh,All-rounder,India,Punjab Kings,20 Lakh,,,
Tanay Thayagarajann,All-rounder,India,Punjab Kings,20 Lakh,,,
Shashank Singh,Batsman,India,Punjab Kings,20 Lakh,,,
Prince Choudhary,Bowler,India,Punjab Kings,20 Lakh,,,
Rilee Rossouw,Batsman,South Africa,Punjab Kings,8 Crore,Released,Released,DC
Yashasvi Jaiswal,Batsman,India,Rajasthan Royals,4 Crores,,,
Shimron Hetmyer,Batsman,West Indies,Rajasthan Royals,8.50 Crores,Retained,Retained,RR
Sanju Samson,WK-Batsman,India,Rajasthan Royals,14 Cr,Retained,Retained,RR
Jos Buttler,WK-Batsman,England,Rajasthan Royals,10 Cr,Retained,Retained,RR
Dhruv Jurel,WK-Batsman,India,Rajasthan Royals,20 Lakhs,Retained,Retained,RR
Navdeep Saini,Bowler,India,Rajasthan Royals,2.60 Crores,Retained,Retained,RR
Kuldeep Sen,Bowler,India,Rajasthan Royals,20 Lakhs,Retained,Retained,RR
Yuzvendra Chahal,Bowler,India,Rajasthan Royals,6.50 Crores,Retained,Retained,RR
Trent Boult,Bowler,New Zealand,Rajasthan Royals,8 Crores,Retained,Retained,RR
Riyan Parag,All-rounder,India,Rajasthan Royals,3.80 Crores,Retained,Retained,RR
Ravichandran Ashwin,All-rounder,India,Rajasthan Royals,5 Crores,,,
Donovan Ferreira,WK-Batsman,South Africa,Rajasthan Royals,50 lakh,Retained,Retained,RR
Kunal Rathore,WK-Batsman,India,Rajasthan Royals,20 lakh,Retained,Retained,RR
Adam Zampa,Bowler,Australia,Rajasthan Royals,1.5 crore,Retained,Retained,RR
Sandeep Sharma,Bowler,India,Rajasthan Royals,50 lakh,Retained,Retained,RR
Avesh Khan,Bowler,India,Rajasthan Royals,Traded from LSG,Transferd,Transferd,RR
Prashid Krishna,Bowler,India,Rajasthan Royals,10 Crores,,,
Rovman Powell,Batsman,West Indies,Rajasthan Royals,7.40 Crores,Released,Released,DC
Shubham Dubey,Batsman,India,Rajasthan Royals,5.80 Cr,,,
Tom Kohler-Cadmore,WK-Batsman,England,Rajasthan Royals,40 Lakh,,,
Abid Mushtaq,All-rounder,India,Rajasthan Royals,50 Lakh,,,
Nandre Burger,Bowler,South Africa,Rajasthan Royals,50 Lakh,,,
Virat Kohli,Batsman,India,Royal Challengers Bangalore,15 CR,Retained,Retained,RCB
Suyash Prabhudessai,Batsman,India,Royal Challengers Bangalore,30 Lakhs,Retained,Retained,RCB
Faf du Plessis,Batsman,South Africa,Royal Challengers Bangalore,7 crores,,,
Vyshak Vijay Kumar,Bowler,India,Royal Challengers Bangalore,20 Lakh,Retained,Retained,RCB
Anuj Rawat,WK-Batsman,India,Royal Challengers Bangalore,3.40 crores,Retained,Retained,RCB
Dinesh Karthik,WK-Batsman,India,Royal Challengers Bangalore,5.50 crores,Retained,Retained,RCB
Mohammed Siraj,Bowler,India,Royal Challengers Bangalore,7 CR,Retained,Retained,RCB
Karn Sharma,Bowler,India,Royal Challengers Bangalore,50 Lakhs,Retained,Retained,RCB
Akash Deep,Bowler,India,Royal Challengers Bangalore,20 Lakhs,Retained,Retained,RCB
Glenn Maxwell,All-rounder,Australia,Royal Challengers Bangalore,11 CR,Retained,Retained,RCB
Mahipal Lomror,All-rounder,India,Royal Challengers Bangalore,95 Lakhs,Retained,Retained,RCB
Himanshu Sharma,Bowler,India,Royal Challengers Bangalore,20 Lakhs,Retained,Retained,RCB
Manoj Bhandage,Allrounder,India,Royal Challengers Bangalore,20 Lakhs,Retained,Retained,RCB
Rajan Kumar,Bowler,India,Royal Challengers Bangalore,70 Lakhs,Retained,Retained,RCB
Rajat Patidar,Batsman,India,Royal Challengers Bangalore,20 Lakhs,Retained,Retained,RCB
Will Jacks,Allrounder,England,Royal Challengers Bangalore,3.2 crore,Retained,Retained,RCB
Mayank Dagar,Allrounder,India,Royal Challengers Bangalore,Traded from SRH,Transferd,Transferd,RCB
Reece Topley,Bowler,England,Royal Challengers Bangalore,1.9 crore,Retained,Retained,RCB
Cameron Green,Allrounder,Australia,Royal Challengers Bangalore,Traded from MI,Transferd,Transferd,RCB
Alzarri Joseph,Bowler,West Indies,Royal Challengers Bangalore,11.50 Crores,Released,Released,GT
Yash Dayal,Bowler,India,Royal Challengers Bangalore,5 Crore,Released,Released,GT
Tom Curran,Allrounder,England,Royal Challengers Bangalore,1.5 Crore,,,
Saurav Chauhan,Batsman,India,Royal Challengers Bangalore,20 Lakh,,,
