Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
KMDN Kulasekara,1.0,5.0,3.0,166.66666666666669,1.6666666666666667,KMDN Kulasekara,Right_Hand,Sri Lanka,KMDN Kulasekara,5.0,122.0,17.833333333333332,6.0,6.841121495327103,17.833333333333332,KMDN Kulasekara,Right-arm fast-medium,Sri Lanka
KP Appanna,3.0,2.0,4.0,50.0,0.5,KP Appanna,Right_Hand,India,KP Appanna,13.0,291.0,37.0,11.0,7.864864864864865,20.181818181818183,KP Appanna,Slow left-arm orthodox,India
KP Pietersen,36.0,1001.0,758.0,132.05804749340368,1.3205804749340369,KP Pietersen,Right_Hand,South Africa,KP Pietersen,13.0,218.0,30.0,9.0,7.266666666666667,20.0,KP Pietersen,Right-arm offbreak,South Africa
KS Williamson,76.0,2132.0,1734.0,122.95271049596307,1.2295271049596308,KS Williamson,Right_Hand,New Zealand,KS Williamson,2.0,31.0,3.0,0.0,10.333333333333334,,KS Williamson,Right-arm offbreak,New Zealand
KV Sharma,39.0,351.0,306.0,114.70588235294116,1.1470588235294117,KV Sharma,Left_Hand,India,KV Sharma,82.0,2130.0,253.33333333333331,82.0,8.407894736842104,18.536585365853657,KV Sharma,Legbreak googly,India
KW Richardson,4.0,36.0,39.0,92.3076923076923,0.9230769230769232,KW Richardson,Right_Hand,Australia,KW Richardson,15.0,479.0,57.5,21.0,8.330434782608696,16.428571428571427,KW Richardson,Right-arm fast-medium,Australia
Kamran Khan,1.0,3.0,5.0,60.0,0.6,Kamran Khan,Left_Hand,India,Kamran Khan,9.0,248.0,29.5,14.0,8.40677966101695,12.642857142857142,Kamran Khan,Left-arm medium-fast,India
Karanveer Singh,4.0,12.0,17.0,70.58823529411765,0.7058823529411765,Karanveer Singh,Right_Hand,India,Karanveer Singh,9.0,323.0,35.5,14.0,9.098591549295774,15.214285714285714,Karanveer Singh,Legbreak googly,India
Kuldeep Yadav,32.0,183.0,224.0,81.69642857142857,0.8169642857142857,Kuldeep Yadav,Left_Hand,India,Kuldeep Yadav,82.0,2413.0,297.6666666666667,90.0,8.106382978723405,19.844444444444445,Kuldeep Yadav,Slow left-arm chinaman,India
L Ablish,1.0,0.0,2.0,0.0,0.0,L Ablish,Right_Hand,India,L Ablish,3.0,76.0,7.5,5.0,10.133333333333333,9.0,L Ablish,Right-arm medium-fast,India
L Balaji,13.0,36.0,50.0,72.0,0.72,L Balaji,Right_Hand,India,L Balaji,73.0,2083.0,262.3333333333333,85.0,7.940279542566709,18.51764705882353,L Balaji,Right-arm medium-fast,India
LA Carseldine,5.0,81.0,71.0,114.08450704225352,1.1408450704225352,LA Carseldine,Left_Hand,Australia,LA Carseldine,1.0,6.0,1.1666666666666667,1.0,5.142857142857142,7.0,LA Carseldine,Legbreak,Australia
LH Ferguson,7.0,68.0,48.0,141.66666666666669,1.4166666666666667,LH Ferguson,Right_Hand,,LH Ferguson,45.0,1451.0,167.0,57.0,8.688622754491018,17.57894736842105,LH Ferguson,Right-arm fast-medium,
LJ Wright,5.0,106.0,63.0,168.25396825396825,1.6825396825396826,LJ Wright,Right_Hand,England,LJ Wright,6.0,125.0,12.5,2.0,10.0,37.5,LJ Wright,Right-arm medium-fast,England
LMP Simmons,29.0,1079.0,878.0,122.89293849658314,1.2289293849658314,LMP Simmons,Right_Hand,West Indies,LMP Simmons,1.0,34.0,3.0,1.0,11.333333333333334,18.0,LMP Simmons,Right-arm medium-fast,West Indies
LPC Silva,3.0,40.0,27.0,148.14814814814815,1.4814814814814814,LPC Silva,Right_Hand,Sri Lanka,LPC Silva,1.0,21.0,1.0,0.0,21.0,,LPC Silva,Legbreak,Sri Lanka
LR Shukla,33.0,405.0,358.0,113.12849162011172,1.1312849162011174,LR Shukla,Right_Hand,India,LR Shukla,27.0,458.0,54.333333333333336,17.0,8.429447852760736,19.176470588235293,LR Shukla,Right-arm medium,India
LRPL Taylor,54.0,1017.0,847.0,120.07083825265644,1.2007083825265643,LRPL Taylor,Right_Hand,New Zealand,LRPL Taylor,2.0,24.0,2.1666666666666665,0.0,11.076923076923078,,LRPL Taylor,Right-arm offbreak,New Zealand
M Ashwin,12.0,35.0,50.0,70.0,0.7,M Ashwin,Right_Hand,India,M Ashwin,44.0,1182.0,149.66666666666666,35.0,7.897550111358575,25.65714285714286,M Ashwin,Legbreak googly,India
M Kartik,14.0,113.0,109.0,103.6697247706422,1.036697247706422,M Kartik,Left_Hand,India,M Kartik,55.0,1418.0,197.0,39.0,7.197969543147208,30.307692307692307,M Kartik,Slow left-arm orthodox,India
M Manhas,38.0,514.0,486.0,105.76131687242798,1.0576131687242798,M Manhas,Right_Hand,India,M Manhas,3.0,42.0,7.0,0.0,6.0,,M Manhas,Right-arm offbreak,India
M Markande,10.0,48.0,44.0,109.09090909090908,1.0909090909090908,M Markande,Right_hand,,M Markande,37.0,1081.0,122.83333333333331,37.0,8.800542740841248,19.91891891891892,M Markande,Legbreak googly,
M Morkel,20.0,126.0,93.0,135.48387096774192,1.3548387096774193,M Morkel,Left_Hand,South Africa,M Morkel,70.0,2136.0,283.1666666666667,88.0,7.543260741612713,19.306818181818183,M Morkel,Right-arm fast,South Africa
M Muralitharan,9.0,20.0,30.0,66.66666666666666,0.6666666666666666,M Muralitharan,Right_Hand,Sri Lanka,M Muralitharan,66.0,1765.0,263.5,67.0,6.698292220113852,23.59701492537313,M Muralitharan,Right-arm offbreak,Sri Lanka
