Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
J Arunkumar,3.0,23.0,24.0,95.83333333333334,0.9583333333333334,J Arunkumar,Right_Hand,India,,,,,,,,,,
JC Buttler,106.0,3583.0,2519.0,142.23898372369987,1.4223898372369987,JC Buttler,Right_Hand,England,,,,,,,,,,
JJ Roy,21.0,614.0,460.0,133.47826086956522,1.3347826086956522,JJ Roy,Right_hand,,,,,,,,,,,
KB Arun Karthik,8.0,51.0,53.0,96.22641509433964,0.9622641509433962,KB Arun Karthik,Right_Hand,India,,,,,,,,,,
KC Sangakkara,68.0,1687.0,1424.0,118.4691011235955,1.184691011235955,KC Sangakkara,Left_Hand,Sri Lanka,,,,,,,,,,
KD Karthik,233.0,4843.0,3687.0,131.35340385136968,1.3135340385136969,KD Karthik,Right_Hand,India,,,,,,,,,,
KK Nair,68.0,1496.0,1192.0,125.503355704698,1.25503355704698,KK Nair,Right_Hand,India,,,,,,,,,,
KL Rahul,122.0,4689.0,3578.0,131.05086640581328,1.310508664058133,KL Rahul,Right_Hand,India,,,,,,,,,,
KM Jadhav,81.0,1208.0,1012.0,119.36758893280631,1.1936758893280632,KM Jadhav,Right_Hand,India,,,,,,,,,,
Kamran Akmal,6.0,128.0,78.0,164.1025641025641,1.641025641025641,Kamran Akmal,Right_Hand,Pakistan,,,,,,,,,,
L Ronchi,5.0,34.0,37.0,91.8918918918919,0.918918918918919,L Ronchi,Right_Hand,Australia,,,,,,,,,,
LA Pomersbach,16.0,302.0,251.0,120.3187250996016,1.203187250996016,LA Pomersbach,Left_Hand,Australia,,,,,,,,,,
M Kaif,22.0,259.0,258.0,100.3875968992248,1.003875968992248,M Kaif,Right_Hand,India,,,,,,,,,,
M Klinger,4.0,73.0,78.0,93.5897435897436,0.935897435897436,M Klinger,Right_Hand,Australia,,,,,,,,,,
M Rawat,11.0,55.0,70.0,78.57142857142857,0.7857142857142857,M Rawat,Right_Hand,India,,,,,,,,,,
M Vohra,51.0,1083.0,863.0,125.49246813441484,1.2549246813441484,M Vohra,Right_Hand,India,,,,,,,,,,
MA Agarwal,121.0,2669.0,2081.0,128.25564632388276,1.2825564632388275,MA Agarwal,Right_Hand,India,,,,,,,,,,
MC Juneja,7.0,125.0,134.0,93.28358208955224,0.9328358208955224,MC Juneja,Right_Hand,India,,,,,,,,,,
MD Mishra,17.0,237.0,213.0,111.26760563380284,1.1126760563380282,MD Mishra,Right_Hand,India,,,,,,,,,,
MDKJ Perera,2.0,14.0,13.0,107.6923076923077,1.0769230769230769,MDKJ Perera,Left_Hand,Sri Lanka,,,,,,,,,,
MEK Hussey,58.0,1977.0,1648.0,119.96359223300972,1.1996359223300972,MEK Hussey,Left_Hand,Australia,,,,,,,,,,
MJ Guptill,13.0,271.0,197.0,137.56345177664974,1.3756345177664977,MJ Guptill,Right_Hand,New Zealand,,,,,,,,,,
MJ Lumb,12.0,278.0,198.0,140.4040404040404,1.404040404040404,MJ Lumb,Left_Hand,England,,,,,,,,,,
MK Pandey,158.0,3859.0,3288.0,117.3661800486618,1.173661800486618,MK Pandey,Right_Hand,India,,,,,,,,,,
ML Hayden,32.0,1107.0,839.0,131.94278903456495,1.3194278903456496,ML Hayden,Left_Hand,Australia,,,,,,,,,,
MN van Wyk,5.0,167.0,135.0,123.7037037037037,1.237037037037037,MN van Wyk,Right_Hand,South Africa,,,,,,,,,,
MS Bisla,39.0,798.0,737.0,108.27679782903662,1.0827679782903663,MS Bisla,Right_Hand,India,,,,,,,,,,
MS Dhoni,228.0,5243.0,3947.0,132.8350646060299,1.328350646060299,MS Dhoni,Right_Hand,India,,,,,,,,,,
MS Wade,14.0,183.0,185.0,98.91891891891892,0.9891891891891892,MS Wade,Left_Hand,Australia,,,,,,,,,,
MV Boucher,23.0,394.0,318.0,123.89937106918238,1.2389937106918238,MV Boucher,Right_Hand,South Africa,,,,,,,,,,
Misbah-ul-Haq,8.0,117.0,82.0,142.6829268292683,1.4268292682926829,Misbah-ul-Haq,Right_Hand,Pakistan,,,,,,,,,,
Mohammad Ashraful,1.0,2.0,12.0,16.666666666666664,0.1666666666666666,Mohammad Ashraful,Right_Hand,Bangladesh,,,,,,,,,,
N Pooran,72.0,1769.0,1143.0,154.7681539807524,1.547681539807524,N Pooran,Left_Hand,,,,,,,,,,,
N Saini,10.0,140.0,143.0,97.9020979020979,0.9790209790209792,N Saini,Right_Hand,India,,,,,,,,,,
NJ Maddinson,3.0,20.0,21.0,95.23809523809524,0.9523809523809524,NJ Maddinson,Left_Hand,Australia,,,,,,,,,,
NK Patel,6.0,121.0,124.0,97.58064516129032,0.9758064516129032,NK Patel,Left_Hand,India,,,,,,,,,,
NS Naik,4.0,31.0,53.0,58.490566037735846,0.5849056603773585,NS Naik,Right_Hand,India,,,,,,,,,,
NV Ojha,94.0,1554.0,1360.0,114.26470588235291,1.1426470588235291,NV Ojha,Right_Hand,India,,,,,,,,,,
OA Shah,22.0,506.0,405.0,124.93827160493828,1.249382716049383,OA Shah,Right_Hand,England,,,,,,,,,,
P Chopra,1.0,8.0,6.0,133.33333333333331,1.3333333333333333,P Chopra,Right_hand,,,,,,,,,,,
P Dogra,12.0,127.0,141.0,90.0709219858156,0.900709219858156,P Dogra,Right_Hand,India,,,,,,,,,,
PA Patel,136.0,2848.0,2442.0,116.62571662571663,1.1662571662571664,PA Patel,Left_Hand,India,,,,,,,,,,
PA Reddy,10.0,164.0,167.0,98.20359281437123,0.9820359281437124,PA Reddy,Right_Hand,India,,,,,,,,,,
PR Shah,9.0,92.0,97.0,94.84536082474226,0.9484536082474226,PR Shah,Right_Hand,India,,,,,,,,,,
PSP Handscomb,1.0,6.0,12.0,50.0,0.5,PSP Handscomb,Right_Hand,Australia,,,,,,,,,,
Q de Kock,107.0,3160.0,2410.0,131.12033195020746,1.3112033195020747,Q de Kock,Left_Hand,South Africa,,,,,,,,,,
R Bishnoi,3.0,19.0,17.0,111.76470588235294,1.1176470588235294,R Bishnoi,Right_Hand,India,,,,,,,,,,
R Dravid,82.0,2174.0,1918.0,113.34723670490096,1.1334723670490094,R Dravid,Right_Hand,India,,,,,,,,,,
RE Levi,6.0,83.0,74.0,112.16216216216218,1.1216216216216215,RE Levi,Right_Hand,South Africa,,,,,,,,,,
RJ Quiney,7.0,103.0,105.0,98.09523809523807,0.9809523809523808,RJ Quiney,Left_Hand,Australia,,,,,,,,,,
RR Pant,110.0,3297.0,2296.0,143.59756097560975,1.4359756097560976,RR Pant,Left_Hand,India,,,,,,,,,,
RR Rossouw,22.0,473.0,321.0,147.35202492211835,1.473520249221184,RR Rossouw,Left_Hand,South Africa,,,,,,,,,,
RR Sarwan,4.0,73.0,78.0,93.5897435897436,0.935897435897436,RR Sarwan,Right_Hand,West Indies,,,,,,,,,,
RS Sodhi,1.0,4.0,2.0,200.0,2.0,RS Sodhi,Right_Hand,India,,,,,,,,,,
RT Ponting,9.0,91.0,129.0,70.54263565891473,0.7054263565891473,RT Ponting,Right_Hand,Australia,,,,,,,,,,
RV Uthappa,197.0,4954.0,3927.0,126.15227909345556,1.2615227909345557,RV Uthappa,Right_Hand,India,,,,,,,,,,
S Anirudha,12.0,136.0,121.0,112.39669421487604,1.1239669421487604,S Anirudha,Right_Hand,India,,,,,,,,,,
S Badrinath,65.0,1441.0,1245.0,115.7429718875502,1.157429718875502,S Badrinath,Right_Hand,India,,,,,,,,,,
S Chanderpaul,3.0,25.0,33.0,75.75757575757575,0.7575757575757576,S Chanderpaul,Left_Hand,West Indies,,,,,,,,,,
S Sohal,20.0,368.0,311.0,118.32797427652731,1.1832797427652733,S Sohal,Right_Hand,India,,,,,,,,,,
SA Asnodkar,19.0,423.0,352.0,120.17045454545456,1.2017045454545454,SA Asnodkar,Right_Hand,India,,,,,,,,,,
SD Lad,1.0,15.0,13.0,115.38461538461536,1.1538461538461535,SD Lad,Right_hand,,,,,,,,,,,
SE Marsh,69.0,2489.0,1913.0,130.10977522216413,1.3010977522216414,SE Marsh,Left_Hand,Australia,,,,,,,,,,
SM Katich,11.0,241.0,191.0,126.1780104712042,1.2617801047120418,SM Katich,Left_Hand,Australia,,,,,,,,,,
SP Fleming,10.0,196.0,171.0,114.61988304093566,1.1461988304093569,SP Fleming,Left_Hand,New Zealand,,,,,,,,,,
SP Goswami,21.0,293.0,307.0,95.43973941368078,0.9543973941368078,SP Goswami,Left_Hand,India,,,,,,,,,,
SP Jackson,8.0,61.0,57.0,107.01754385964912,1.0701754385964912,SP Jackson,Right_hand,,,,,,,,,,,
SS Shaikh,1.0,6.0,7.0,85.71428571428571,0.8571428571428571,SS Shaikh,Right_Hand,India,,,,,,,,,,
SS Tiwary,73.0,1494.0,1291.0,115.72424477149497,1.1572424477149497,SS Tiwary,Left_Hand,India,,,,,,,,,,
SV Samson,162.0,4419.0,3270.0,135.1376146788991,1.3513761467889909,SV Samson,Right_Hand,India,,,,,,,,,,
SW Billings,27.0,503.0,399.0,126.06516290726816,1.2606516290726817,SW Billings,Right_Hand,England,,,,,,,,,,
Salman Butt,7.0,193.0,172.0,112.2093023255814,1.122093023255814,Salman Butt,Left_Hand,Pakistan,,,,,,,,,,
Sunny Singh,5.0,43.0,31.0,138.70967741935485,1.3870967741935485,Sunny Singh,Right_Hand,India,,,,,,,,,,
