bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Ashish Reddy,20.0,400.0,45.0,19.0,8.88888888888889,14.210526315789474,A Ashish Reddy,Right-arm medium,India,2016
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2016
A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India,2016
A Zampa,20.0,562.0,70.83333333333333,30.0,7.934117647058824,14.166666666666666,A Zampa,Legbreak googly,Australia,2016
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2016
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2016
AF Milne,10.0,339.0,36.166666666666664,9.0,9.373271889400922,24.11111111111111,AF Milne,Right-arm fast,New Zealand,2016
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2016
AS Rajpoot,29.0,844.0,94.5,24.0,8.931216931216932,23.625,AS Rajpoot,Right-arm medium,India,2016
Ankit Sharma,21.0,453.0,62.5,12.0,7.248,31.25,Ankit Sharma,Slow left-arm orthodox,India,2016
Anureet Singh,22.0,636.0,71.66666666666667,21.0,8.874418604651162,20.476190476190474,Anureet Singh,Right-arm medium,India,2016
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2016
BB Sran,24.0,767.0,86.0,20.0,8.918604651162791,25.8,BB Sran,Left-arm medium,India,2016
BCJ Cutting,17.0,430.0,48.0,12.0,8.958333333333334,24.0,BCJ Cutting,Right-arm fast-medium,Australia,2016
Bipul Sharma,28.0,581.0,72.66666666666667,22.0,7.9954128440366965,19.818181818181817,Bipul Sharma,Slow left-arm orthodox,India,2016
C Munro,2.0,15.0,2.0,0.0,7.5,NA,C Munro,Right-arm medium-fast,New Zealand,2016
