bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2014
A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India,2014
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2014
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2014
AN Ahmed,17.0,515.0,60.333333333333336,15.0,8.535911602209945,24.133333333333333,AN Ahmed,Right-arm medium-fast,India,2014
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2014
Ankit Sharma,21.0,453.0,62.5,12.0,7.248,31.25,Ankit Sharma,Slow left-arm orthodox,India,2014
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2014
BCJ Cutting,17.0,430.0,48.0,12.0,8.958333333333334,24.0,BCJ Cutting,Right-arm fast-medium,Australia,2014
BE Hendricks,7.0,239.0,26.166666666666668,11.0,9.13375796178344,14.272727272727273,BE Hendricks,Left-arm fast-medium,South Africa,2014
BW Hilfenhaus,17.0,497.0,65.0,23.0,7.6461538461538465,16.956521739130434,BW Hilfenhaus,Right-arm fast,Australia,2014
CJ Anderson,22.0,525.0,52.5,14.0,10.0,22.5,CJ Anderson,Left-arm medium-fast,New Zealand,2014
DJ Hussey,26.0,485.0,53.833333333333336,10.0,9.009287925696594,32.3,DJ Hussey,Right-arm offbreak,Australia,2014
DJG Sammy,19.0,354.0,40.666666666666664,14.0,8.704918032786885,17.428571428571427,DJG Sammy,Right-arm medium-fast,West Indies,2014
DR Smith,46.0,825.0,92.83333333333333,27.0,8.88689407540395,20.62962962962963,DR Smith,Right-arm medium,West Indies,2014
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2014
DW Steyn,95.0,2583.0,380.3333333333333,105.0,6.791411042944786,21.733333333333334,DW Steyn,Right-arm fast,South Africa,2014
GJ Maxwell,79.0,1311.0,160.83333333333334,41.0,8.151295336787564,23.536585365853657,GJ Maxwell,Right-arm offbreak,Australia,2014
