bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Badoni,5.0,37.0,4.166666666666667,2.0,8.879999999999999,12.5,NA,NA,NA,2023
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2023
A Nortje,46.0,1614.0,182.83333333333334,62.0,8.82771194165907,17.693548387096776,NA,NA,NA,2023
A Zampa,20.0,562.0,70.83333333333333,30.0,7.934117647058824,14.166666666666666,A Zampa,Legbreak googly,Australia,2023
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2023
AJ Hosein,1.0,41.0,4.0,1.0,10.25,24.0,NA,NA,NA,2023
AK Markram,14.0,173.0,20.5,2.0,8.439024390243903,61.5,NA,NA,NA,2023
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2023
AS Joseph,22.0,707.0,75.66666666666667,22.0,9.343612334801762,20.636363636363637,NA,NA,NA,2023
AS Roy,9.0,191.0,23.666666666666668,6.0,8.070422535211268,23.666666666666668,NA,NA,NA,2023
AU Rashid,3.0,91.0,10.0,2.0,9.1,30.0,NA,NA,NA,2023
Abhishek Sharma,26.0,396.0,46.333333333333336,11.0,8.546762589928058,25.272727272727273,NA,NA,NA,2023
Akash Deep,8.0,324.0,29.166666666666668,8.0,11.108571428571429,21.875,NA,NA,NA,2023
Akash Madhwal,13.0,431.0,46.5,22.0,9.268817204301076,12.681818181818182,NA,NA,NA,2023
Akash Singh,7.0,227.0,23.5,5.0,9.659574468085106,28.2,NA,NA,NA,2023
Arjun Tendulkar,5.0,117.0,13.833333333333334,4.0,8.457831325301205,20.75,NA,NA,NA,2023
Arshad Khan,9.0,282.0,25.5,6.0,11.058823529411764,25.5,NA,NA,NA,2023
Arshdeep Singh,65.0,2097.0,242.16666666666666,84.0,8.659325533379215,17.297619047619047,NA,NA,NA,2023
Avesh Khan,62.0,2010.0,231.66666666666666,81.0,8.676258992805757,17.160493827160494,Avesh Khan,Right-arm fast-medium,NA,2023
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2023
BA Stokes,38.0,1023.0,120.5,31.0,8.489626556016598,23.322580645161292,BA Stokes,Right-arm fast-medium,NA,2023
C Green,29.0,675.0,77.0,20.0,8.766233766233766,23.1,NA,NA,NA,2023
C Sakariya,19.0,610.0,76.66666666666667,20.0,7.956521739130435,23.0,NA,NA,NA,2023
CJ Jordan,34.0,1111.0,119.5,36.0,9.297071129707113,19.916666666666668,CJ Jordan,Right-arm fast-medium,England,2023
CV Varun,70.0,2042.0,270.6666666666667,85.0,7.544334975369457,19.105882352941176,NA,NA,NA,2023
D Jansen,1.0,53.0,4.666666666666667,1.0,11.357142857142856,28.0,NA,NA,NA,2023
D Pretorius,7.0,242.0,27.666666666666668,7.0,8.74698795180723,23.714285714285715,NA,NA,NA,2023
D Wiese,15.0,447.0,51.166666666666664,17.0,8.736156351791532,18.058823529411764,D Wiese,Right-arm medium-fast,South Africa,2023
DG Nalkande,6.0,150.0,14.833333333333334,6.0,10.112359550561797,14.833333333333334,NA,NA,NA,2023
DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India,2023
DJ Willey,11.0,277.0,36.833333333333336,7.0,7.520361990950226,31.571428571428573,NA,NA,NA,2023
DL Chahar,81.0,2243.0,291.0,79.0,7.707903780068729,22.10126582278481,DL Chahar,Right-arm medium,India,2023
Fazalhaq Farooqi,7.0,229.0,27.0,6.0,8.481481481481481,27.0,NA,NA,NA,2023
GD Phillips,4.0,40.0,5.166666666666667,2.0,7.741935483870967,15.5,NA,NA,NA,2023
GJ Maxwell,79.0,1311.0,160.83333333333334,41.0,8.151295336787564,23.536585365853657,GJ Maxwell,Right-arm offbreak,Australia,2023
Gurnoor Brar,1.0,42.0,3.5,0.0,12.0,NA,NA,NA,NA,2023
H Sharma,2.0,62.0,5.0,0.0,12.4,NA,NA,NA,NA,2023
HH Pandya,93.0,2196.0,247.5,70.0,8.872727272727273,21.214285714285715,HH Pandya,Right-arm medium-fast,India,2023
HR Shokeen,13.0,320.0,35.5,5.0,9.014084507042254,42.6,NA,NA,NA,2023
HV Patel,103.0,3215.0,380.6666666666667,151.0,8.44570928196147,15.125827814569536,HV Patel,Right-arm medium,India,2023
Harpreet Brar,39.0,907.0,115.33333333333333,25.0,7.864161849710983,27.68,NA,NA,NA,2023
Harshit Rana,19.0,590.0,67.16666666666667,27.0,8.784119106699752,14.925925925925926,NA,NA,NA,2023
I Sharma,110.0,3255.0,404.8333333333333,96.0,8.04034582132565,25.302083333333332,I Sharma,Right-arm fast-medium,India,2023
J Little,11.0,341.0,39.333333333333336,13.0,8.669491525423728,18.153846153846153,NA,NA,NA,2023
J Yadav,20.0,447.0,66.33333333333333,9.0,6.738693467336684,44.22222222222222,J Yadav,Right-arm offbreak,India,2023
JC Archer,40.0,1210.0,164.5,49.0,7.355623100303951,20.142857142857142,NA,NA,NA,2023
JD Unadkat,104.0,3219.0,365.6666666666667,109.0,8.803099361896079,20.128440366972477,JD Unadkat,Left-arm medium,India,2023
JE Root,1.0,15.0,2.0,0.0,7.5,NA,NA,NA,NA,2023
JO Holder,46.0,1489.0,174.83333333333334,59.0,8.516682554814109,17.779661016949152,JO Holder,Right-arm medium-fast,West Indies,2023
JP Behrendorff,17.0,563.0,63.166666666666664,22.0,8.91292875989446,17.227272727272727,NA,NA,NA,2023
JR Hazlewood,27.0,830.0,103.66666666666667,36.0,8.006430868167202,17.27777777777778,NA,NA,NA,2023
K Gowtham,35.0,825.0,99.83333333333333,22.0,8.263772954924875,27.227272727272727,K Gowtham,Right-arm offbreak,NA,2023
K Kartikeya,12.0,334.0,40.166666666666664,10.0,8.315352697095436,24.1,NA,NA,NA,2023
