bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Ashish Reddy,20.0,400.0,45.0,19.0,8.88888888888889,14.210526315789474,A Ashish Reddy,Right-arm medium,India,2012
A Chandila,12.0,245.0,39.0,11.0,6.282051282051282,21.272727272727273,A Chandila,Right-arm offbreak,India,2012
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2012
A Mithun,16.0,477.0,52.0,8.0,9.173076923076923,39.0,A Mithun,Right-arm medium,India,2012
A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India,2012
A Singh,23.0,639.0,81.0,31.0,7.888888888888889,15.67741935483871,A Singh,Right-arm medium-fast,India,2012
AA Chavan,13.0,339.0,42.5,8.0,7.976470588235294,31.875,AA Chavan,Slow left-arm orthodox,India,2012
AA Jhunjhunwala,10.0,130.0,14.666666666666666,1.0,8.863636363636363,88.0,AA Jhunjhunwala,Right-arm offbreak,India,2012
AB Agarkar,42.0,1174.0,136.66666666666666,33.0,8.590243902439026,24.848484848484848,AB Agarkar,Right-arm fast,India,2012
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2012
AB McDonald,10.0,263.0,31.333333333333332,14.0,8.393617021276595,13.428571428571429,AB McDonald,Right-arm fast-medium,Australia,2012
AC Thomas,15.0,416.0,54.5,16.0,7.63302752293578,20.4375,AC Thomas,Right-arm fast-medium,England,2012
AD Mascarenhas,13.0,365.0,51.666666666666664,19.0,7.064516129032258,16.31578947368421,AD Mascarenhas,Right-arm fast-medium,England,2012
AD Mathews,44.0,1095.0,134.5,28.0,8.141263940520446,28.821428571428573,AD Mathews,Right-arm fast-medium,Sri Lanka,2012
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2012
AG Murtaza,12.0,322.0,44.833333333333336,12.0,7.182156133828996,22.416666666666668,AG Murtaza,Slow left-arm orthodox,India,2012
AL Menaria,12.0,144.0,18.833333333333332,3.0,7.646017699115045,37.666666666666664,AL Menaria,Slow left-arm orthodox,India,2012
AM Nayar,19.0,323.0,39.833333333333336,9.0,8.10878661087866,26.555555555555557,AM Nayar,Right-arm medium,India,2012
AN Ahmed,17.0,515.0,60.333333333333336,15.0,8.535911602209945,24.133333333333333,AN Ahmed,Right-arm medium-fast,India,2012
AUK Pathan,3.0,63.0,6.833333333333333,0.0,9.219512195121952,NA,AUK Pathan,Right-arm medium,India,2012
Anand Rajan,8.0,206.0,27.0,10.0,7.62962962962963,16.2,Anand Rajan,Right-arm medium,India,2012
Ankit Sharma,21.0,453.0,62.5,12.0,7.248,31.25,Ankit Sharma,Slow left-arm orthodox,India,2012
Azhar Mahmood,23.0,707.0,92.0,31.0,7.684782608695652,17.806451612903224,Azhar Mahmood,Right-arm fast-medium,Pakistan,2012
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2012
