bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Flintoff,3.0,106.0,11.0,2.0,9.636363636363637,33.0,A Flintoff,Right-arm fast-medium,England,2009
A Kumble,42.0,1089.0,163.83333333333334,49.0,6.646998982706002,20.06122448979592,A Kumble,Legbreak googly,India,2009
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2009
A Mithun,16.0,477.0,52.0,8.0,9.173076923076923,39.0,A Mithun,Right-arm medium,India,2009
A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India,2009
A Singh,23.0,639.0,81.0,31.0,7.888888888888889,15.67741935483871,A Singh,Right-arm medium-fast,India,2009
A Symonds,30.0,694.0,90.0,23.0,7.711111111111111,23.47826086956522,A Symonds,Right-arm offbreak,Australia,2009
AB Agarkar,42.0,1174.0,136.66666666666666,33.0,8.590243902439026,24.848484848484848,AB Agarkar,Right-arm fast,India,2009
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2009
AB McDonald,10.0,263.0,31.333333333333332,14.0,8.393617021276595,13.428571428571429,AB McDonald,Right-arm fast-medium,Australia,2009
AD Mascarenhas,13.0,365.0,51.666666666666664,19.0,7.064516129032258,16.31578947368421,AD Mascarenhas,Right-arm fast-medium,England,2009
AD Mathews,44.0,1095.0,134.5,28.0,8.141263940520446,28.821428571428573,AD Mathews,Right-arm fast-medium,Sri Lanka,2009
AM Nayar,19.0,323.0,39.833333333333336,9.0,8.10878661087866,26.555555555555557,AM Nayar,Right-arm medium,India,2009
AM Rahane,1.0,5.0,1.0,1.0,5.0,6.0,AM Rahane,Right-arm medium,India,2009
AM Salvi,7.0,205.0,26.0,7.0,7.884615384615385,22.285714285714285,AM Salvi,Right-arm medium,India,2009
AS Raut,5.0,45.0,5.0,0.0,9.0,NA,AS Raut,Legbreak googly,India,2009
Anureet Singh,22.0,636.0,71.66666666666667,21.0,8.874418604651162,20.476190476190474,Anureet Singh,Right-arm medium,India,2009
B Akhil,13.0,246.0,32.166666666666664,7.0,7.647668393782384,27.571428571428573,B Akhil,Right-arm medium-fast,India,2009
B Lee,38.0,1126.0,152.66666666666666,30.0,7.3755458515283845,30.533333333333335,B Lee,Right-arm fast,Australia,2009
BAW Mendis,10.0,306.0,41.333333333333336,9.0,7.403225806451612,27.555555555555557,BAW Mendis,Right-arm offbreak,Sri Lanka,2009
BJ Hodge,20.0,310.0,39.666666666666664,18.0,7.815126050420169,13.222222222222221,BJ Hodge,Right-arm offbreak,Australia,2009
C Nanda,3.0,58.0,8.333333333333334,2.0,6.959999999999999,25.0,C Nanda,Legbreak,India,2009
CH Gayle,38.0,755.0,97.33333333333333,19.0,7.756849315068494,30.736842105263158,CH Gayle,Right-arm offbreak,West Indies,2009
CK Langeveldt,7.0,199.0,27.5,13.0,7.236363636363636,12.692307692307692,CK Langeveldt,Right-arm fast-medium,England,2009
D du Preez,2.0,56.0,7.166666666666667,4.0,7.813953488372093,10.75,D du Preez,Right-arm fast-medium,South Africa,2009
DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.922705314009661,DJ Bravo,Right-arm medium-fast,West Indies,2009
DJ Hussey,26.0,485.0,53.833333333333336,10.0,9.009287925696594,32.3,DJ Hussey,Right-arm offbreak,Australia,2009
DL Vettori,34.0,894.0,130.83333333333334,34.0,6.83312101910828,23.08823529411765,DL Vettori,Slow left-arm orthodox,New Zealand,2009
DP Nannes,29.0,815.0,114.83333333333333,38.0,7.097242380261249,18.13157894736842,DP Nannes,Left-arm fast,Australia,2009
DR Smith,46.0,825.0,92.83333333333333,27.0,8.88689407540395,20.62962962962963,DR Smith,Right-arm medium,West Indies,2009
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2009
DW Steyn,95.0,2583.0,380.3333333333333,105.0,6.791411042944786,21.733333333333334,DW Steyn,Right-arm fast,South Africa,2009
FH Edwards,6.0,160.0,25.0,6.0,6.4,25.0,FH Edwards,Right-arm fast,West Indies,2009
GR Napier,1.0,28.0,4.0,1.0,7.0,24.0,GR Napier,Right-arm medium,England,2009
Harbhajan Singh,160.0,4101.0,582.6666666666666,161.0,7.0383295194508015,21.714285714285715,Harbhajan Singh,Right-arm offbreak,India,2009
Harmeet Singh,28.0,747.0,95.66666666666667,31.0,7.808362369337979,18.516129032258064,Harmeet Singh,Slow left-arm orthodox,India,2009
I Sharma,110.0,3255.0,404.8333333333333,96.0,8.04034582132565,25.302083333333332,I Sharma,Right-arm fast-medium,India,2009
