bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2020
A Nortje,46.0,1614.0,182.83333333333334,62.0,8.82771194165907,17.693548387096776,NA,NA,NA,2020
A Zampa,20.0,562.0,70.83333333333333,30.0,7.934117647058824,14.166666666666666,A Zampa,Legbreak googly,Australia,2020
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2020
AJ Tye,30.0,1005.0,119.0,48.0,8.445378151260504,14.875,AJ Tye,Right-arm fast-medium,NA,2020
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2020
AS Rajpoot,29.0,844.0,94.5,24.0,8.931216931216932,23.625,AS Rajpoot,Right-arm medium,India,2020
Abdul Samad,5.0,113.0,9.166666666666666,2.0,12.327272727272728,27.5,NA,NA,NA,2020
Abhishek Sharma,26.0,396.0,46.333333333333336,11.0,8.546762589928058,25.272727272727273,NA,NA,NA,2020
Arshdeep Singh,65.0,2097.0,242.16666666666666,84.0,8.659325533379215,17.297619047619047,NA,NA,NA,2020
Avesh Khan,62.0,2010.0,231.66666666666666,81.0,8.676258992805757,17.160493827160494,Avesh Khan,Right-arm fast-medium,NA,2020
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2020
BA Stokes,38.0,1023.0,120.5,31.0,8.489626556016598,23.322580645161292,BA Stokes,Right-arm fast-medium,NA,2020
Basil Thampi,25.0,862.0,89.83333333333333,26.0,9.595547309833025,20.73076923076923,Basil Thampi,Right-arm fast,NA,2020
CH Gayle,38.0,755.0,97.33333333333333,19.0,7.756849315068494,30.736842105263158,CH Gayle,Right-arm offbreak,West Indies,2020
CH Morris,81.0,2377.0,300.1666666666667,107.0,7.91893392559689,16.83177570093458,CH Morris,Right-arm fast-medium,South Africa,2020
CJ Green,1.0,24.0,2.8333333333333335,0.0,8.470588235294118,NA,NA,NA,NA,2020
CJ Jordan,34.0,1111.0,119.5,36.0,9.297071129707113,19.916666666666668,CJ Jordan,Right-arm fast-medium,England,2020
CV Varun,70.0,2042.0,270.6666666666667,85.0,7.544334975369457,19.105882352941176,NA,NA,NA,2020
DA Warner,1.0,2.0,0.3333333333333333,0.0,6.0,NA,DA Warner,Legbreak,Australia,2020
DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.922705314009661,DJ Bravo,Right-arm medium-fast,West Indies,2020
DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India,2020
DL Chahar,81.0,2243.0,291.0,79.0,7.707903780068729,22.10126582278481,DL Chahar,Right-arm medium,India,2020
DR Sams,16.0,528.0,64.83333333333333,15.0,8.143958868894602,25.933333333333334,NA,NA,NA,2020
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2020
DW Steyn,95.0,2583.0,380.3333333333333,105.0,6.791411042944786,21.733333333333334,DW Steyn,Right-arm fast,South Africa,2020
GJ Maxwell,79.0,1311.0,160.83333333333334,41.0,8.151295336787564,23.536585365853657,GJ Maxwell,Right-arm offbreak,Australia,2020
HV Patel,103.0,3215.0,380.6666666666667,151.0,8.44570928196147,15.125827814569536,HV Patel,Right-arm medium,India,2020
Harpreet Brar,39.0,907.0,115.33333333333333,25.0,7.864161849710983,27.68,NA,NA,NA,2020
I Sharma,110.0,3255.0,404.8333333333333,96.0,8.04034582132565,25.302083333333332,I Sharma,Right-arm fast-medium,India,2020
I Udana,10.0,286.0,30.333333333333332,8.0,9.428571428571429,22.75,NA,NA,NA,2020
Imran Tahir,59.0,1729.0,223.33333333333334,86.0,7.741791044776119,15.581395348837209,Imran Tahir,Legbreak googly,India,2020
J Yadav,20.0,447.0,66.33333333333333,9.0,6.738693467336684,44.22222222222222,J Yadav,Right-arm offbreak,India,2020
JC Archer,40.0,1210.0,164.5,49.0,7.355623100303951,20.142857142857142,NA,NA,NA,2020
JD Unadkat,104.0,3219.0,365.6666666666667,109.0,8.803099361896079,20.128440366972477,JD Unadkat,Left-arm medium,India,2020
JDS Neesham,13.0,342.0,37.0,8.0,9.243243243243244,27.75,JDS Neesham,Right-arm medium,New Zealand,2020
JJ Bumrah,133.0,3840.0,530.8333333333334,182.0,7.233908948194662,17.5,JJ Bumrah,Right-arm medium,India,2020
JL Pattinson,10.0,321.0,37.0,11.0,8.675675675675675,20.181818181818183,NA,NA,NA,2020
JO Holder,46.0,1489.0,174.83333333333334,59.0,8.516682554814109,17.779661016949152,JO Holder,Right-arm medium-fast,West Indies,2020
JR Hazlewood,27.0,830.0,103.66666666666667,36.0,8.006430868167202,17.27777777777778,NA,NA,NA,2020
K Gowtham,35.0,825.0,99.83333333333333,22.0,8.263772954924875,27.227272727272727,K Gowtham,Right-arm offbreak,NA,2020
K Rabada,80.0,2652.0,317.8333333333333,126.0,8.34399580492921,15.134920634920634,K Rabada,Right-arm fast,NA,2020
KA Pollard,107.0,2200.0,264.3333333333333,81.0,8.32282471626734,19.580246913580247,KA Pollard,Right-arm medium-fast,West Indies,2020
KH Pandya,117.0,2644.0,363.8333333333333,80.0,7.267063673843335,27.2875,KH Pandya,Slow left-arm orthodox,India,2020
KK Ahmed,57.0,1918.0,224.16666666666666,78.0,8.556133828996282,17.243589743589745,NA,NA,NA,2020
KL Nagarkoti,11.0,287.0,30.833333333333332,5.0,9.308108108108108,37.0,NA,NA,NA,2020
KS Williamson,2.0,31.0,3.0,0.0,10.333333333333334,NA,KS Williamson,Right-arm offbreak,New Zealand,2020
KV Sharma,82.0,2130.0,253.33333333333334,82.0,8.407894736842104,18.536585365853657,KV Sharma,Legbreak googly,India,2020
Kartik Tyagi,20.0,720.0,76.33333333333333,16.0,9.43231441048035,28.625,NA,NA,NA,2020
Kuldeep Yadav,82.0,2413.0,297.6666666666667,90.0,8.106382978723405,19.844444444444445,Kuldeep Yadav,Slow left-arm chinaman,India,2020
L Ngidi,14.0,460.0,57.0,28.0,8.070175438596491,12.214285714285714,L Ngidi,Slow left-arm orthodox,NA,2020
LH Ferguson,45.0,1451.0,167.0,57.0,8.688622754491018,17.57894736842105,LH Ferguson,Right-arm fast-medium,NA,2020
M Ashwin,44.0,1182.0,149.66666666666666,35.0,7.8975501113585755,25.65714285714286,M Ashwin,Legbreak googly,India,2020
M Prasidh Krishna,51.0,1741.0,205.16666666666666,54.0,8.48578391551584,22.796296296296298,NA,NA,NA,2020
MJ Santner,18.0,428.0,61.666666666666664,16.0,6.940540540540541,23.125,NA,NA,NA,2020
MM Ali,52.0,900.0,128.33333333333334,40.0,7.012987012987012,19.25,NA,NA,NA,2020
MM Sharma,111.0,3278.0,384.6666666666667,147.0,8.52166377816291,15.700680272108844,MM Sharma,Right-arm medium,India,2020
MP Stoinis,62.0,1300.0,138.5,45.0,9.386281588447654,18.466666666666665,MP Stoinis,Right-arm medium,Australia,2020
MR Marsh,34.0,803.0,98.83333333333333,37.0,8.1247892074199,16.027027027027028,MR Marsh,Right-arm medium,Australia,2020
Mohammad Nabi,23.0,527.0,69.83333333333333,15.0,7.5465393794749405,27.933333333333334,Mohammad Nabi,Right-arm offbreak,NA,2020
Mohammed Shami,110.0,3486.0,420.1666666666667,144.0,8.296707655692185,17.506944444444443,Mohammed Shami,Right-arm fast-medium,India,2020
Mohammed Siraj,93.0,2894.0,346.8333333333333,96.0,8.34406535319558,21.677083333333332,Mohammed Siraj,Right-arm fast,NA,2020
Monu Kumar,1.0,20.0,2.6666666666666665,0.0,7.5,NA,NA,NA,NA,2020
Mujeeb Ur Rahman,19.0,598.0,75.33333333333333,20.0,7.938053097345133,22.6,NA,NA,NA,2020
N Rana,24.0,253.0,30.833333333333332,10.0,8.205405405405406,18.5,N Rana,Right-arm offbreak,India,2020
NM Coulter-Nile,38.0,1125.0,148.66666666666666,52.0,7.567264573991032,17.153846153846153,NM Coulter-Nile,Right-arm fast,Australia,2020
Navdeep Saini,31.0,968.0,113.66666666666667,26.0,8.516129032258064,26.23076923076923,NA,NA,NA,2020
P Dubey,4.0,91.0,11.166666666666666,1.0,8.149253731343284,67.0,NA,NA,NA,2020
PJ Cummins,58.0,1976.0,228.33333333333334,66.0,8.654014598540146,20.757575757575758,PJ Cummins,Right-arm fast,Australia,2020
PP Chawla,191.0,5179.0,649.1666666666666,201.0,7.977920410783056,19.378109452736318,PP Chawla,Legbreak,India,2020
R Ashwin,208.0,5435.0,779.8333333333334,198.0,6.969437914084206,23.63131313131313,R Ashwin,Right-arm offbreak,India,2020
