bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2011
A Mithun,16.0,477.0,52.0,8.0,9.173076923076923,39.0,A Mithun,Right-arm medium,India,2011
A Singh,23.0,639.0,81.0,31.0,7.888888888888889,15.67741935483871,A Singh,Right-arm medium-fast,India,2011
A Symonds,30.0,694.0,90.0,23.0,7.711111111111111,23.47826086956522,A Symonds,Right-arm offbreak,Australia,2011
AA Chavan,13.0,339.0,42.5,8.0,7.976470588235294,31.875,AA Chavan,Slow left-arm orthodox,India,2011
AA Jhunjhunwala,10.0,130.0,14.666666666666666,1.0,8.863636363636363,88.0,AA Jhunjhunwala,Right-arm offbreak,India,2011
AA Kazi,1.0,21.0,2.1666666666666665,1.0,9.692307692307693,13.0,AA Kazi,Slow left-arm orthodox,India,2011
AB Agarkar,42.0,1174.0,136.66666666666666,33.0,8.590243902439026,24.848484848484848,AB Agarkar,Right-arm fast,India,2011
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2011
AB McDonald,10.0,263.0,31.333333333333332,14.0,8.393617021276595,13.428571428571429,AB McDonald,Right-arm fast-medium,Australia,2011
AC Thomas,15.0,416.0,54.5,16.0,7.63302752293578,20.4375,AC Thomas,Right-arm fast-medium,England,2011
AG Murtaza,12.0,322.0,44.833333333333336,12.0,7.182156133828996,22.416666666666668,AG Murtaza,Slow left-arm orthodox,India,2011
AJ Finch,5.0,67.0,7.333333333333333,1.0,9.136363636363637,44.0,AJ Finch,Slow left-arm orthodox,Australia,2011
AL Menaria,12.0,144.0,18.833333333333332,3.0,7.646017699115045,37.666666666666664,AL Menaria,Slow left-arm orthodox,India,2011
AM Nayar,19.0,323.0,39.833333333333336,9.0,8.10878661087866,26.555555555555557,AM Nayar,Right-arm medium,India,2011
AM Salvi,7.0,205.0,26.0,7.0,7.884615384615385,22.285714285714285,AM Salvi,Right-arm medium,India,2011
AN Ahmed,17.0,515.0,60.333333333333336,15.0,8.535911602209945,24.133333333333333,AN Ahmed,Right-arm medium-fast,India,2011
AS Raut,5.0,45.0,5.0,0.0,9.0,NA,AS Raut,Legbreak googly,India,2011
AUK Pathan,3.0,63.0,6.833333333333333,0.0,9.219512195121952,NA,AUK Pathan,Right-arm medium,India,2011
Anand Rajan,8.0,206.0,27.0,10.0,7.62962962962963,16.2,Anand Rajan,Right-arm medium,India,2011
B Akhil,13.0,246.0,32.166666666666664,7.0,7.647668393782384,27.571428571428573,B Akhil,Right-arm medium-fast,India,2011
B Chipli,1.0,20.0,1.0,0.0,20.0,NA,B Chipli,Right-arm medium,India,2011
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2011
B Lee,38.0,1126.0,152.66666666666666,30.0,7.3755458515283845,30.533333333333335,B Lee,Right-arm fast,Australia,2011
BA Bhatt,15.0,408.0,50.5,13.0,8.07920792079208,23.307692307692307,BA Bhatt,Slow left-arm orthodox,India,2011
BJ Hodge,20.0,310.0,39.666666666666664,18.0,7.815126050420169,13.222222222222221,BJ Hodge,Right-arm offbreak,Australia,2011
Bipul Sharma,28.0,581.0,72.66666666666667,22.0,7.9954128440366965,19.818181818181817,Bipul Sharma,Slow left-arm orthodox,India,2011
CH Gayle,38.0,755.0,97.33333333333333,19.0,7.756849315068494,30.736842105263158,CH Gayle,Right-arm offbreak,West Indies,2011
