bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2019
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2019
AJ Tye,30.0,1005.0,119.0,48.0,8.445378151260504,14.875,AJ Tye,Right-arm fast-medium,NA,2019
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2019
AS Joseph,22.0,707.0,75.66666666666667,22.0,9.343612334801762,20.636363636363637,NA,NA,NA,2019
AS Rajpoot,29.0,844.0,94.5,24.0,8.931216931216932,23.625,AS Rajpoot,Right-arm medium,India,2019
AS Roy,9.0,191.0,23.666666666666668,6.0,8.070422535211268,23.666666666666668,NA,NA,NA,2019
Abhishek Sharma,26.0,396.0,46.333333333333336,11.0,8.546762589928058,25.272727272727273,NA,NA,NA,2019
Arshdeep Singh,65.0,2097.0,242.16666666666666,84.0,8.659325533379215,17.297619047619047,NA,NA,NA,2019
Avesh Khan,62.0,2010.0,231.66666666666666,81.0,8.676258992805757,17.160493827160494,Avesh Khan,Right-arm fast-medium,NA,2019
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2019
BA Stokes,38.0,1023.0,120.5,31.0,8.489626556016598,23.322580645161292,BA Stokes,Right-arm fast-medium,NA,2019
BB Sran,24.0,767.0,86.0,20.0,8.918604651162791,25.8,BB Sran,Left-arm medium,India,2019
BCJ Cutting,17.0,430.0,48.0,12.0,8.958333333333334,24.0,BCJ Cutting,Right-arm fast-medium,Australia,2019
Basil Thampi,25.0,862.0,89.83333333333333,26.0,9.595547309833025,20.73076923076923,Basil Thampi,Right-arm fast,NA,2019
C de Grandhomme,19.0,323.0,38.333333333333336,7.0,8.426086956521738,32.857142857142854,C de Grandhomme,Legbreak,NA,2019
CH Morris,81.0,2377.0,300.1666666666667,107.0,7.91893392559689,16.83177570093458,CH Morris,Right-arm fast-medium,South Africa,2019
CR Brathwaite,16.0,384.0,44.333333333333336,16.0,8.661654135338345,16.625,CR Brathwaite,Right-arm fast-medium,West Indies,2019
CV Varun,70.0,2042.0,270.6666666666667,85.0,7.544334975369457,19.105882352941176,NA,NA,NA,2019
DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.922705314009661,DJ Bravo,Right-arm medium-fast,West Indies,2019
DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India,2019
DL Chahar,81.0,2243.0,291.0,79.0,7.707903780068729,22.10126582278481,DL Chahar,Right-arm medium,India,2019
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2019
DW Steyn,95.0,2583.0,380.3333333333333,105.0,6.791411042944786,21.733333333333334,DW Steyn,Right-arm fast,South Africa,2019
GC Viljoen,6.0,229.0,24.333333333333332,8.0,9.41095890410959,18.25,NA,NA,NA,2019
GH Vihari,6.0,48.0,7.166666666666667,1.0,6.697674418604651,43.0,GH Vihari,Right-arm offbreak,India,2019
HF Gurney,8.0,239.0,28.166666666666668,7.0,8.485207100591715,24.142857142857142,NA,NA,NA,2019
HH Pandya,93.0,2196.0,247.5,70.0,8.872727272727273,21.214285714285715,HH Pandya,Right-arm medium-fast,India,2019
HV Patel,103.0,3215.0,380.6666666666667,151.0,8.44570928196147,15.125827814569536,HV Patel,Right-arm medium,India,2019
Harbhajan Singh,160.0,4101.0,582.6666666666666,161.0,7.0383295194508015,21.714285714285715,Harbhajan Singh,Right-arm offbreak,India,2019
Harpreet Brar,39.0,907.0,115.33333333333333,25.0,7.864161849710983,27.68,NA,NA,NA,2019
I Sharma,110.0,3255.0,404.8333333333333,96.0,8.04034582132565,25.302083333333332,I Sharma,Right-arm fast-medium,India,2019
