bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Dananjaya,1.0,47.0,4.166666666666667,0.0,11.28,NA,A Dananjaya,Right-arm offbreak,NA,2018
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2018
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2018
AJ Tye,30.0,1005.0,119.0,48.0,8.445378151260504,14.875,AJ Tye,Right-arm fast-medium,NA,2018
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2018
AS Rajpoot,29.0,844.0,94.5,24.0,8.931216931216932,23.625,AS Rajpoot,Right-arm medium,India,2018
Ankit Sharma,21.0,453.0,62.5,12.0,7.248,31.25,Ankit Sharma,Slow left-arm orthodox,India,2018
Anureet Singh,22.0,636.0,71.66666666666667,21.0,8.874418604651162,20.476190476190474,Anureet Singh,Right-arm medium,India,2018
Avesh Khan,62.0,2010.0,231.66666666666666,81.0,8.676258992805757,17.160493827160494,Avesh Khan,Right-arm fast-medium,NA,2018
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2018
B Laughlin,9.0,284.0,29.833333333333332,10.0,9.5195530726257,17.9,B Laughlin,Right-arm fast-medium,Australia,2018
B Stanlake,6.0,200.0,25.0,7.0,8.0,21.428571428571427,B Stanlake,Right-arm fast,NA,2018
BA Stokes,38.0,1023.0,120.5,31.0,8.489626556016598,23.322580645161292,BA Stokes,Right-arm fast-medium,NA,2018
BB Sran,24.0,767.0,86.0,20.0,8.918604651162791,25.8,BB Sran,Left-arm medium,India,2018
BCJ Cutting,17.0,430.0,48.0,12.0,8.958333333333334,24.0,BCJ Cutting,Right-arm fast-medium,Australia,2018
Basil Thampi,25.0,862.0,89.83333333333333,26.0,9.595547309833025,20.73076923076923,Basil Thampi,Right-arm fast,NA,2018
C de Grandhomme,19.0,323.0,38.333333333333336,7.0,8.426086956521738,32.857142857142854,C de Grandhomme,Legbreak,NA,2018
CH Morris,81.0,2377.0,300.1666666666667,107.0,7.91893392559689,16.83177570093458,CH Morris,Right-arm fast-medium,South Africa,2018
CJ Anderson,22.0,525.0,52.5,14.0,10.0,22.5,CJ Anderson,Left-arm medium-fast,New Zealand,2018
CJ Dala,1.0,34.0,3.1666666666666665,0.0,10.736842105263158,NA,NA,NA,NA,2018
CJ Jordan,34.0,1111.0,119.5,36.0,9.297071129707113,19.916666666666668,CJ Jordan,Right-arm fast-medium,England,2018
CR Brathwaite,16.0,384.0,44.333333333333336,16.0,8.661654135338345,16.625,CR Brathwaite,Right-arm fast-medium,West Indies,2018
CR Woakes,21.0,674.0,77.16666666666667,31.0,8.734341252699783,14.935483870967742,CR Woakes,Right-arm fast-medium,NA,2018
DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.922705314009661,DJ Bravo,Right-arm medium-fast,West Indies,2018
DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India,2018
DJ Willey,11.0,277.0,36.833333333333336,7.0,7.520361990950226,31.571428571428573,NA,NA,NA,2018
DJM Short,2.0,23.0,3.0,1.0,7.666666666666667,18.0,NA,NA,NA,2018
DL Chahar,81.0,2243.0,291.0,79.0,7.707903780068729,22.10126582278481,DL Chahar,Right-arm medium,India,2018
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2018
DT Christian,49.0,1218.0,153.66666666666666,40.0,7.926247288503254,23.05,DT Christian,Right-arm fast-medium,Australia,2018
GJ Maxwell,79.0,1311.0,160.83333333333334,41.0,8.151295336787564,23.536585365853657,GJ Maxwell,Right-arm offbreak,Australia,2018
HH Pandya,93.0,2196.0,247.5,70.0,8.872727272727273,21.214285714285715,HH Pandya,Right-arm medium-fast,India,2018
HV Patel,103.0,3215.0,380.6666666666667,151.0,8.44570928196147,15.125827814569536,HV Patel,Right-arm medium,India,2018
Harbhajan Singh,160.0,4101.0,582.6666666666666,161.0,7.0383295194508015,21.714285714285715,Harbhajan Singh,Right-arm offbreak,India,2018
IS Sodhi,8.0,204.0,30.333333333333332,9.0,6.725274725274725,20.22222222222222,NA,NA,NA,2018
Imran Tahir,59.0,1729.0,223.33333333333334,86.0,7.741791044776119,15.581395348837209,Imran Tahir,Legbreak googly,India,2018
JC Archer,40.0,1210.0,164.5,49.0,7.355623100303951,20.142857142857142,NA,NA,NA,2018
JD Unadkat,104.0,3219.0,365.6666666666667,109.0,8.803099361896079,20.128440366972477,JD Unadkat,Left-arm medium,India,2018
JJ Bumrah,133.0,3840.0,530.8333333333334,182.0,7.233908948194662,17.5,JJ Bumrah,Right-arm medium,India,2018
JP Duminy,49.0,847.0,116.83333333333333,23.0,7.249643366619116,30.47826086956522,JP Duminy,Right-arm offbreak,South Africa,2018
JPR Scantlebury-Searles,3.0,89.0,7.5,2.0,11.866666666666667,22.5,NA,NA,NA,2018
K Gowtham,35.0,825.0,99.83333333333333,22.0,8.263772954924875,27.227272727272727,K Gowtham,Right-arm offbreak,NA,2018
K Khejroliya,7.0,221.0,21.5,5.0,10.279069767441861,25.8,K Khejroliya,Left-arm fast-medium,NA,2018
KH Pandya,117.0,2644.0,363.8333333333333,80.0,7.267063673843335,27.2875,KH Pandya,Slow left-arm orthodox,India,2018
KK Ahmed,57.0,1918.0,224.16666666666666,78.0,8.556133828996282,17.243589743589745,NA,NA,NA,2018
KM Asif,7.0,232.0,23.833333333333332,7.0,9.734265734265735,20.428571428571427,KM Asif,Right-arm medium,NA,2018
KV Sharma,82.0,2130.0,253.33333333333334,82.0,8.407894736842104,18.536585365853657,KV Sharma,Legbreak googly,India,2018
Kuldeep Yadav,82.0,2413.0,297.6666666666667,90.0,8.106382978723405,19.844444444444445,Kuldeep Yadav,Slow left-arm chinaman,India,2018
L Ngidi,14.0,460.0,57.0,28.0,8.070175438596491,12.214285714285714,L Ngidi,Slow left-arm orthodox,NA,2018
LE Plunkett,7.0,228.0,25.666666666666668,4.0,8.883116883116882,38.5,NA,NA,NA,2018
M Ashwin,44.0,1182.0,149.66666666666666,35.0,7.8975501113585755,25.65714285714286,M Ashwin,Legbreak googly,India,2018
M Markande,37.0,1081.0,122.83333333333333,37.0,8.800542740841248,19.91891891891892,M Markande,Legbreak googly,NA,2018
M Prasidh Krishna,51.0,1741.0,205.16666666666666,54.0,8.48578391551584,22.796296296296298,NA,NA,NA,2018
MA Wood,5.0,192.0,21.166666666666668,11.0,9.070866141732283,11.545454545454545,NA,NA,NA,2018
MG Johnson,54.0,1740.0,216.83333333333334,66.0,8.024596464258263,19.71212121212121,MG Johnson,Left-arm fast,Australia,2018
MJ McClenaghan,56.0,1839.0,224.33333333333334,75.0,8.197622585438335,17.946666666666665,MJ McClenaghan,Left-arm fast-medium,New Zealand,2018
MK Lomror,11.0,127.0,15.666666666666666,2.0,8.106382978723405,47.0,NA,NA,NA,2018
MK Tiwary,6.0,83.0,7.5,1.0,11.066666666666666,45.0,MK Tiwary,Legbreak googly,India,2018
MM Ali,52.0,900.0,128.33333333333334,40.0,7.012987012987012,19.25,NA,NA,NA,2018
MM Sharma,111.0,3278.0,384.6666666666667,147.0,8.52166377816291,15.700680272108844,MM Sharma,Right-arm medium,India,2018
MP Stoinis,62.0,1300.0,138.5,45.0,9.386281588447654,18.466666666666665,MP Stoinis,Right-arm medium,Australia,2018
Mohammad Nabi,23.0,527.0,69.83333333333333,15.0,7.5465393794749405,27.933333333333334,Mohammad Nabi,Right-arm offbreak,NA,2018
Mohammed Shami,110.0,3486.0,420.1666666666667,144.0,8.296707655692185,17.506944444444443,Mohammed Shami,Right-arm fast-medium,India,2018
Mohammed Siraj,93.0,2894.0,346.8333333333333,96.0,8.34406535319558,21.677083333333332,Mohammed Siraj,Right-arm fast,NA,2018
Mujeeb Ur Rahman,19.0,598.0,75.33333333333333,20.0,7.938053097345133,22.6,NA,NA,NA,2018
Mustafizur Rahman,57.0,1792.0,225.5,70.0,7.946784922394679,19.32857142857143,Mustafizur Rahman,Left-arm fast-medium,Bangladesh,2018
N Rana,24.0,253.0,30.833333333333332,10.0,8.205405405405406,18.5,N Rana,Right-arm offbreak,India,2018
P Negi,42.0,954.0,122.16666666666667,38.0,7.80900409276944,19.289473684210527,P Negi,Slow left-arm orthodox,India,2018
PJ Sangwan,42.0,1267.0,150.83333333333334,44.0,8.4,20.568181818181817,PJ Sangwan,Left-arm medium,India,2018
PP Chawla,191.0,5179.0,649.1666666666666,201.0,7.977920410783056,19.378109452736318,PP Chawla,Legbreak,India,2018
R Ashwin,208.0,5435.0,779.8333333333334,198.0,6.969437914084206,23.63131313131313,R Ashwin,Right-arm offbreak,India,2018
R Tewatia,52.0,1117.0,144.33333333333334,36.0,7.739030023094688,24.055555555555557,R Tewatia,Legbreak,India,2018
R Vinay Kumar,104.0,3041.0,364.3333333333333,127.0,8.346752058554438,17.212598425196852,R Vinay Kumar,Right-arm medium,India,2018
RA Jadeja,211.0,4917.0,649.1666666666666,169.0,7.5743260590500645,23.047337278106507,RA Jadeja,Slow left-arm orthodox,India,2018
Rashid Khan,121.0,3340.0,483.5,157.0,6.907962771458118,18.477707006369428,Rashid Khan,Legbreak googly,NA,2018
S Gopal,51.0,1358.0,166.66666666666666,53.0,8.148,18.867924528301888,S Gopal,Legbreak,India,2018
S Kaul,55.0,1772.0,206.33333333333334,63.0,8.588045234248789,19.650793650793652,S Kaul,Right-arm medium,India,2018
S Lamichhane,9.0,297.0,35.166666666666664,14.0,8.445497630331754,15.071428571428571,S Lamichhane,Legbreak googly,NA,2018
S Nadeem,70.0,1800.0,240.66666666666666,54.0,7.4792243767313025,26.74074074074074,S Nadeem,Slow left-arm orthodox,India,2018
SN Thakur,92.0,2908.0,329.8333333333333,100.0,8.816574027286508,19.79,SN Thakur,Right-arm medium,India,2018
SP Narine,175.0,4672.0,691.0,200.0,6.7612156295224315,20.73,SP Narine,Right-arm offbreak,West Indies,2018
SR Watson,105.0,2742.0,356.1666666666667,107.0,7.698642957416939,19.97196261682243,SR Watson,Right-arm fast-medium,Australia,2018
STR Binny,63.0,763.0,101.83333333333333,28.0,7.4926350245499185,21.821428571428573,STR Binny,Right-arm medium,India,2018
Sandeep Sharma,126.0,3758.0,487.5,153.0,7.708717948717949,19.11764705882353,Sandeep Sharma,Right-arm medium,India,2018
Shakib Al Hasan,70.0,1864.0,252.5,71.0,7.3821782178217825,21.338028169014084,Shakib Al Hasan,Slow left-arm orthodox,Bangladesh,2018
Shivam Mavi,32.0,958.0,114.5,33.0,8.366812227074236,20.818181818181817,NA,NA,NA,2018
TA Boult,103.0,3286.0,404.6666666666667,128.0,8.120263591433279,18.96875,TA Boult,Left-arm fast-medium,New Zealand,2018
TG Southee,54.0,1774.0,210.33333333333334,57.0,8.434231378763867,22.140350877192983,TG Southee,Right-arm medium-fast,New Zealand,2018
TK Curran,13.0,432.0,42.0,13.0,10.285714285714286,19.384615384615383,NA,NA,NA,2018
