bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Kumble,42.0,1089.0,163.83333333333334,49.0,6.646998982706002,20.06122448979592,A Kumble,Legbreak googly,India,2008
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2008
A Nehra,88.0,2537.0,329.0,121.0,7.711246200607903,16.31404958677686,A Nehra,Left-arm medium-fast,India,2008
A Nel,1.0,31.0,3.0,1.0,10.333333333333334,18.0,A Nel,Right-arm fast-medium,South Africa,2008
A Symonds,30.0,694.0,90.0,23.0,7.711111111111111,23.47826086956522,A Symonds,Right-arm offbreak,Australia,2008
AA Noffke,1.0,41.0,4.166666666666667,1.0,9.84,25.0,AA Noffke,Right-arm fast-medium,Australia,2008
AB Agarkar,42.0,1174.0,136.66666666666666,33.0,8.590243902439026,24.848484848484848,AB Agarkar,Right-arm fast,India,2008
AB Dinda,75.0,2103.0,264.8333333333333,82.0,7.940843297671492,19.378048780487806,AB Dinda,Right-arm medium-fast,India,2008
AD Mascarenhas,13.0,365.0,51.666666666666664,19.0,7.064516129032258,16.31578947368421,AD Mascarenhas,Right-arm fast-medium,England,2008
AM Nayar,19.0,323.0,39.833333333333336,9.0,8.10878661087866,26.555555555555557,AM Nayar,Right-arm medium,India,2008
Abdur Razzak,1.0,29.0,2.3333333333333335,0.0,12.428571428571427,NA,Abdur Razzak,Slow left-arm orthodox,Bangladesh,2008
B Akhil,13.0,246.0,32.166666666666664,7.0,7.647668393782384,27.571428571428573,B Akhil,Right-arm medium-fast,India,2008
B Geeves,2.0,91.0,8.166666666666666,2.0,11.142857142857144,24.5,B Geeves,Right-arm fast-medium,Australia,2008
B Lee,38.0,1126.0,152.66666666666666,30.0,7.3755458515283845,30.533333333333335,B Lee,Right-arm fast,Australia,2008
BAW Mendis,10.0,306.0,41.333333333333336,9.0,7.403225806451612,27.555555555555557,BAW Mendis,Right-arm offbreak,Sri Lanka,2008
CK Kapugedera,3.0,49.0,2.8333333333333335,0.0,17.294117647058822,NA,CK Kapugedera,Right-arm medium,Sri Lanka,2008
CL White,6.0,86.0,7.666666666666667,1.0,11.217391304347826,46.0,CL White,Legbreak googly,Australia,2008
CRD Fernando,10.0,306.0,41.5,19.0,7.373493975903615,13.105263157894736,CRD Fernando,Right-arm fast-medium,Sri Lanka,2008
D Kalyankrishna,3.0,88.0,8.333333333333334,2.0,10.559999999999999,25.0,D Kalyankrishna,Right-arm medium-fast,India,2008
D Salunkhe,5.0,80.0,8.5,1.0,9.411764705882353,51.0,D Salunkhe,Legbreak,India,2008
DB Ravi Teja,2.0,28.0,3.0,1.0,9.333333333333334,18.0,DB Ravi Teja,Legbreak googly,India,2008
DJ Bravo,158.0,4436.0,549.3333333333334,207.0,8.075242718446601,15.922705314009661,DJ Bravo,Right-arm medium-fast,West Indies,2008
DJ Hussey,26.0,485.0,53.833333333333336,10.0,9.009287925696594,32.3,DJ Hussey,Right-arm offbreak,Australia,2008
DJ Thornely,4.0,40.0,7.333333333333333,3.0,5.454545454545455,14.666666666666666,DJ Thornely,Right-arm medium,Australia,2008
DL Vettori,34.0,894.0,130.83333333333334,34.0,6.83312101910828,23.08823529411765,DL Vettori,Slow left-arm orthodox,New Zealand,2008
DNT Zoysa,3.0,100.0,11.5,2.0,8.695652173913043,34.5,DNT Zoysa,Left-arm fast-medium,Sri Lanka,2008
DP Vijaykumar,9.0,205.0,26.5,4.0,7.735849056603773,39.75,DP Vijaykumar,Right-arm medium,India,2008
DR Smith,46.0,825.0,92.83333333333333,27.0,8.88689407540395,20.62962962962963,DR Smith,Right-arm medium,West Indies,2008
DS Kulkarni,92.0,2513.0,312.6666666666667,91.0,8.03731343283582,20.615384615384617,DS Kulkarni,Right-arm medium,India,2008
