bowler,matches_played,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate,Player_Name,Bowling_Skill,Country,season
A Badoni,5.0,37.0,4.166666666666667,2.0,8.879999999999999,12.5,NA,NA,NA,2024
A Kamboj,3.0,115.0,11.333333333333334,2.0,10.147058823529411,34.0,NA,NA,NA,2024
A Mishra,162.0,4193.0,574.0,183.0,7.304878048780488,18.81967213114754,A Mishra,Legbreak,India,2024
A Nortje,46.0,1614.0,182.83333333333334,62.0,8.82771194165907,17.693548387096776,NA,NA,NA,2024
AD Russell,112.0,2691.0,295.1666666666667,125.0,9.116883116883116,14.168,AD Russell,Right-arm fast,West Indies,2024
AK Markram,14.0,173.0,20.5,2.0,8.439024390243903,61.5,NA,NA,NA,2024
AR Patel,148.0,3824.0,525.3333333333334,131.0,7.279187817258883,24.061068702290076,AR Patel,Slow left-arm orthodox,India,2024
AS Joseph,22.0,707.0,75.66666666666667,22.0,9.343612334801762,20.636363636363637,NA,NA,NA,2024
AS Roy,9.0,191.0,23.666666666666668,6.0,8.070422535211268,23.666666666666668,NA,NA,NA,2024
Abhishek Sharma,26.0,396.0,46.333333333333336,11.0,8.546762589928058,25.272727272727273,NA,NA,NA,2024
Akash Deep,8.0,324.0,29.166666666666668,8.0,11.108571428571429,21.875,NA,NA,NA,2024
Akash Madhwal,13.0,431.0,46.5,22.0,9.268817204301076,12.681818181818182,NA,NA,NA,2024
Arjun Tendulkar,5.0,117.0,13.833333333333334,4.0,8.457831325301205,20.75,NA,NA,NA,2024
Arshad Khan,9.0,282.0,25.5,6.0,11.058823529411764,25.5,NA,NA,NA,2024
Arshad Khan (2),1.0,25.0,2.1666666666666665,0.0,11.53846153846154,NA,NA,NA,NA,2024
Arshdeep Singh,65.0,2097.0,242.16666666666666,84.0,8.659325533379215,17.297619047619047,NA,NA,NA,2024
Atharva Taide,1.0,4.0,0.16666666666666666,0.0,24.0,NA,NA,NA,NA,2024
Avesh Khan,62.0,2010.0,231.66666666666666,81.0,8.676258992805757,17.160493827160494,Avesh Khan,Right-arm fast-medium,NA,2024
Azmatullah Omarzai,7.0,194.0,21.833333333333332,4.0,8.885496183206108,32.75,NA,NA,NA,2024
B Kumar,176.0,5051.0,676.6666666666666,195.0,7.464532019704434,20.82051282051282,B Kumar,Right-arm medium,India,2024
C Green,29.0,675.0,77.0,20.0,8.766233766233766,23.1,NA,NA,NA,2024
CV Varun,70.0,2042.0,270.6666666666667,85.0,7.544334975369457,19.105882352941176,NA,NA,NA,2024
DG Nalkande,6.0,150.0,14.833333333333334,6.0,10.112359550561797,14.833333333333334,NA,NA,NA,2024
DJ Hooda,33.0,535.0,64.0,10.0,8.359375,38.4,DJ Hooda,Right-arm offbreak,India,2024
DJ Mitchell,4.0,97.0,8.5,1.0,11.411764705882353,51.0,NA,NA,NA,2024
