batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
A Chopra,6.0,53.0,75.0,70.66666666666667,0.7066666666666667,A Chopra,Right_Hand,India,2009
A Flintoff,3.0,62.0,57.0,108.77192982456141,1.087719298245614,A Flintoff,Right_Hand,England,2009
A Kumble,15.0,35.0,49.0,71.42857142857143,0.7142857142857143,A Kumble,Right_Hand,India,2009
A Mishra,55.0,381.0,440.0,86.5909090909091,0.865909090909091,A Mishra,Right_Hand,India,2009
A Nehra,17.0,41.0,63.0,65.07936507936508,0.6507936507936508,A Nehra,Right_Hand,India,2009
A Singh,5.0,2.0,10.0,20.0,0.2,A Singh,Right_Hand,India,2009
A Symonds,36.0,974.0,781.0,124.71190781049937,1.2471190781049937,A Symonds,Right_Hand,Australia,2009
AA Bilakhia,7.0,69.0,88.0,78.4090909090909,0.7840909090909091,AA Bilakhia,Right_Hand,India,2009
AB Agarkar,18.0,179.0,160.0,111.87499999999999,1.11875,AB Agarkar,Right_Hand,India,2009
AB Dinda,16.0,26.0,50.0,52.0,0.52,AB Dinda,Right_Hand,India,2009
AB McDonald,9.0,123.0,103.0,119.41747572815532,1.1941747572815533,AB McDonald,Right_Hand,Australia,2009
AB de Villiers,170.0,5181.0,3487.0,148.58044164037855,1.4858044164037856,AB de Villiers,Right_Hand,South Africa,2009
AC Gilchrist,80.0,2069.0,1555.0,133.05466237942122,1.3305466237942123,AC Gilchrist,Left_Hand,Australia,2009
AD Mascarenhas,11.0,79.0,79.0,100.0,1.0,AD Mascarenhas,Right_Hand,England,2009
AD Mathews,41.0,724.0,599.0,120.86811352253757,1.2086811352253757,AD Mathews,Right_Hand,Sri Lanka,2009
AM Nayar,50.0,672.0,588.0,114.28571428571428,1.1428571428571428,AM Nayar,Left_Hand,India,2009
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,2009
AN Ghosh,2.0,7.0,8.0,87.5,0.875,AN Ghosh,Right_Hand,India,2009
AS Raut,16.0,194.0,172.0,112.79069767441861,1.127906976744186,AS Raut,Right_Hand,India,2009
B Akhil,11.0,76.0,57.0,133.33333333333331,1.3333333333333333,B Akhil,Right_Hand,India,2009
B Lee,19.0,124.0,102.0,121.56862745098039,1.2156862745098038,B Lee,Right_Hand,Australia,2009
BAW Mendis,3.0,3.0,6.0,50.0,0.5,BAW Mendis,Right_Hand,Sri Lanka,2009
BB McCullum,109.0,2882.0,2272.0,126.84859154929578,1.2684859154929577,BB McCullum,Right_Hand,New Zealand,2009
BJ Hodge,63.0,1400.0,1153.0,121.42237640936686,1.2142237640936686,BJ Hodge,Right_Hand,Australia,2009
C Nanda,1.0,0.0,1.0,0.0,0.0,C Nanda,Right_Hand,India,2009
CH Gayle,141.0,4997.0,3516.0,142.1217292377702,1.421217292377702,CH Gayle,Left_Hand,West Indies,2009
D du Preez,1.0,10.0,13.0,76.92307692307693,0.7692307692307693,D du Preez,Right_Hand,South Africa,2009
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403383,DA Warner,Left_Hand,Australia,2009
DB Ravi Teja,25.0,375.0,325.0,115.38461538461537,1.1538461538461537,DB Ravi Teja,Right_Hand,India,2009
DJ Bravo,110.0,1560.0,1247.0,125.10024057738573,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,2009
DJ Hussey,61.0,1322.0,1101.0,120.07266121707538,1.2007266121707538,DJ Hussey,Right_Hand,Australia,2009
DL Vettori,16.0,121.0,118.0,102.54237288135593,1.0254237288135593,DL Vettori,Left_Hand,New Zealand,2009
DPMD Jayawardene,78.0,1808.0,1522.0,118.7910643889619,1.187910643889619,DPMD Jayawardene,Right_Hand,Sri Lanka,2009
DR Smith,88.0,2385.0,1803.0,132.27953410981698,1.3227953410981697,DR Smith,Right_Hand,West Indies,2009
DS Kulkarni,20.0,104.0,113.0,92.03539823008849,0.9203539823008849,DS Kulkarni,Right_Hand,India,2009
DW Steyn,33.0,167.0,163.0,102.45398773006136,1.0245398773006136,DW Steyn,Right_Hand,South Africa,2009
FH Edwards,2.0,4.0,5.0,80.0,0.8,FH Edwards,Right_Hand,West Indies,2009
G Gambhir,151.0,4217.0,3524.0,119.66515323496027,1.1966515323496028,G Gambhir,Left_Hand,India,2009
GC Smith,29.0,739.0,691.0,106.9464544138929,1.069464544138929,GC Smith,Left_Hand,South Africa,2009
GJ Bailey,36.0,663.0,552.0,120.1086956521739,1.201086956521739,GJ Bailey,Right_Hand,Australia,2009
GR Napier,1.0,15.0,16.0,93.75,0.9375,GR Napier,Right_Hand,England,2009
HH Gibbs,36.0,886.0,837.0,105.8542413381123,1.058542413381123,HH Gibbs,Right_Hand,South Africa,2009
Harbhajan Singh,88.0,833.0,636.0,130.9748427672956,1.309748427672956,Harbhajan Singh,Right_Hand,India,2009
I Sharma,21.0,57.0,71.0,80.28169014084507,0.8028169014084507,I Sharma,Right_Hand,India,2009
IK Pathan,82.0,1150.0,985.0,116.75126903553299,1.16751269035533,IK Pathan,Left_Hand,India,2009
J Botha,28.0,409.0,364.0,112.36263736263736,1.1236263736263736,J Botha,Right_Hand,South Africa,2009
JA Morkel,67.0,975.0,712.0,136.93820224719101,1.3693820224719102,JA Morkel,Left_Hand,South Africa,2009
JD Ryder,29.0,604.0,466.0,129.6137339055794,1.296137339055794,JD Ryder,Left_Hand,New Zealand,2009
JDP Oram,11.0,106.0,110.0,96.36363636363636,0.9636363636363636,JDP Oram,Left_Hand,New Zealand,2009
JH Kallis,95.0,2427.0,2291.0,105.93627237014405,1.0593627237014405,JH Kallis,Right_Hand,South Africa,2009
JP Duminy,75.0,2029.0,1680.0,120.77380952380952,1.2077380952380952,JP Duminy,Left_Hand,South Africa,2009
Joginder Sharma,5.0,36.0,30.0,120.0,1.2,Joginder Sharma,Right_Hand,India,2009
K Goel,16.0,218.0,239.0,91.21338912133892,0.9121338912133892,K Goel,Left_Hand,India,2009
KC Sangakkara,68.0,1687.0,1424.0,118.4691011235955,1.184691011235955,KC Sangakkara,Left_Hand,Sri Lanka,2009
KD Karthik,233.0,4843.0,3687.0,131.35340385136968,1.3135340385136969,KD Karthik,Right_Hand,India,2009
KP Appanna,3.0,2.0,4.0,50.0,0.5,KP Appanna,Right_Hand,India,2009
KP Pietersen,36.0,1001.0,758.0,132.05804749340368,1.3205804749340369,KP Pietersen,Right_Hand,South Africa,2009
KV Sharma,39.0,351.0,306.0,114.70588235294117,1.1470588235294117,KV Sharma,Left_Hand,India,2009
Kamran Khan,1.0,3.0,5.0,60.0,0.6,Kamran Khan,Left_Hand,India,2009
L Balaji,13.0,36.0,50.0,72.0,0.72,L Balaji,Right_Hand,India,2009
L Ronchi,5.0,34.0,37.0,91.8918918918919,0.918918918918919,L Ronchi,Right_Hand,Australia,2009
LA Carseldine,5.0,81.0,71.0,114.08450704225352,1.1408450704225352,LA Carseldine,Left_Hand,Australia,2009
LA Pomersbach,16.0,302.0,251.0,120.3187250996016,1.203187250996016,LA Pomersbach,Left_Hand,Australia,2009
LR Shukla,33.0,405.0,358.0,113.12849162011173,1.1312849162011174,LR Shukla,Right_Hand,India,2009
LRPL Taylor,54.0,1017.0,847.0,120.07083825265643,1.2007083825265643,LRPL Taylor,Right_Hand,New Zealand,2009
M Kartik,14.0,113.0,109.0,103.6697247706422,1.036697247706422,M Kartik,Left_Hand,India,2009
M Manhas,38.0,514.0,486.0,105.76131687242798,1.0576131687242798,M Manhas,Right_Hand,India,2009
M Morkel,20.0,126.0,93.0,135.48387096774192,1.3548387096774193,M Morkel,Left_Hand,South Africa,2009
M Muralitharan,9.0,20.0,30.0,66.66666666666666,0.6666666666666666,M Muralitharan,Right_Hand,Sri Lanka,2009
M Rawat,11.0,55.0,70.0,78.57142857142857,0.7857142857142857,M Rawat,Right_Hand,India,2009
M Vijay,105.0,2619.0,2208.0,118.61413043478262,1.1861413043478262,M Vijay,Right_Hand,India,2009
MC Henriques,54.0,1000.0,801.0,124.84394506866417,1.2484394506866416,MC Henriques,Right_Hand,Australia,2009
MF Maharoof,14.0,177.0,124.0,142.74193548387098,1.4274193548387097,MF Maharoof,Right_Hand,India,2009
MK Pandey,158.0,3859.0,3288.0,117.36618004866179,1.173661800486618,MK Pandey,Right_Hand,India,2009
MK Tiwary,83.0,1695.0,1489.0,113.83478844862324,1.1383478844862325,MK Tiwary,Right_Hand,India,2009
ML Hayden,32.0,1107.0,839.0,131.94278903456495,1.3194278903456496,ML Hayden,Left_Hand,Australia,2009
MM Patel,12.0,39.0,41.0,95.1219512195122,0.9512195121951219,MM Patel,Right_Hand,India,2009
MN van Wyk,5.0,167.0,135.0,123.7037037037037,1.237037037037037,MN van Wyk,Right_Hand,South Africa,2009
MS Dhoni,228.0,5243.0,3947.0,132.8350646060299,1.328350646060299,MS Dhoni,Right_Hand,India,2009
MS Gony,15.0,99.0,76.0,130.26315789473685,1.3026315789473684,MS Gony,Right_Hand,India,2009
MV Boucher,23.0,394.0,318.0,123.89937106918238,1.2389937106918238,MV Boucher,Right_Hand,South Africa,2009
Mashrafe Mortaza,1.0,2.0,2.0,100.0,1.0,Mashrafe Mortaza,Right_Hand,Bangladesh,2009
Mohammad Ashraful,1.0,2.0,12.0,16.666666666666664,0.16666666666666666,Mohammad Ashraful,Right_Hand,Bangladesh,2009
NK Patel,6.0,121.0,124.0,97.58064516129032,0.9758064516129032,NK Patel,Left_Hand,India,2009
NV Ojha,94.0,1554.0,1360.0,114.26470588235293,1.1426470588235293,NV Ojha,Right_Hand,India,2009
P Kumar,57.0,340.0,323.0,105.26315789473684,1.0526315789473684,P Kumar,Right_Hand,India,2009
PA Patel,136.0,2848.0,2442.0,116.62571662571663,1.1662571662571664,PA Patel,Left_Hand,India,2009
PC Valthaty,23.0,505.0,432.0,116.89814814814814,1.1689814814814814,PC Valthaty,Right_Hand,India,2009
PJ Sangwan,14.0,26.0,47.0,55.319148936170215,0.5531914893617021,PJ Sangwan,Right_Hand,India,2009
PP Chawla,86.0,624.0,580.0,107.58620689655172,1.0758620689655172,PP Chawla,Left_Hand,India,2009
PP Ojha,19.0,16.0,45.0,35.55555555555556,0.35555555555555557,PP Ojha,Left_Hand,India,2009
PR Shah,9.0,92.0,97.0,94.84536082474226,0.9484536082474226,PR Shah,Right_Hand,India,2009
Pankaj Singh,5.0,7.0,12.0,58.333333333333336,0.5833333333333334,Pankaj Singh,Right_Hand,India,2009
R Ashwin,89.0,800.0,698.0,114.61318051575931,1.146131805157593,R Ashwin,Right_Hand,India,2009
R Bhatia,47.0,342.0,290.0,117.9310344827586,1.1793103448275861,R Bhatia,Right_Hand,India,2009
R Bishnoi,3.0,19.0,17.0,111.76470588235294,1.1176470588235294,R Bishnoi,Right_Hand,India,2009
R Dravid,82.0,2174.0,1918.0,113.34723670490095,1.1334723670490094,R Dravid,Right_Hand,India,2009
R Vinay Kumar,42.0,310.0,289.0,107.26643598615917,1.0726643598615917,R Vinay Kumar,Right_Hand,India,2009
RA Jadeja,180.0,2959.0,2378.0,124.4322960470984,1.244322960470984,RA Jadeja,Left_Hand,India,2009
RE van der Merwe,15.0,159.0,144.0,110.41666666666667,1.1041666666666667,RE van der Merwe,Right_Hand,South Africa,2009
RG Sharma,251.0,6630.0,5183.0,127.91819409608335,1.2791819409608336,RG Sharma,Right_Hand,India,2009
RJ Harris,21.0,117.0,112.0,104.46428571428572,1.0446428571428572,RJ Harris,Right_Hand,Australia,2009
RJ Quiney,7.0,103.0,105.0,98.09523809523809,0.9809523809523809,RJ Quiney,Left_Hand,Australia,2009
RP Singh,28.0,52.0,78.0,66.66666666666666,0.6666666666666666,RP Singh,Right_Hand,India,2009
RR Powar,9.0,67.0,64.0,104.6875,1.046875,RR Powar,Right_Hand,India,2009
RR Raje,5.0,20.0,18.0,111.11111111111111,1.1111111111111112,RR Raje,Right_Hand,India,2009
RS Bopara,22.0,531.0,468.0,113.46153846153845,1.1346153846153846,RS Bopara,Right_Hand,England,2009
RV Uthappa,197.0,4954.0,3927.0,126.15227909345556,1.2615227909345557,RV Uthappa,Right_Hand,India,2009
S Badrinath,65.0,1441.0,1245.0,115.74297188755021,1.157429718875502,S Badrinath,Right_Hand,India,2009
S Dhawan,221.0,6769.0,5483.0,123.45431333211745,1.2345431333211745,S Dhawan,Left_Hand,India,2009
S Sohal,20.0,368.0,311.0,118.32797427652733,1.1832797427652733,S Sohal,Right_Hand,India,2009
S Sreesanth,12.0,34.0,57.0,59.64912280701754,0.5964912280701754,S Sreesanth,Right_Hand,India,2009
SA Asnodkar,19.0,423.0,352.0,120.17045454545455,1.2017045454545454,SA Asnodkar,Right_Hand,India,2009
SB Bangar,7.0,49.0,58.0,84.48275862068965,0.8448275862068966,SB Bangar,Right_Hand,India,2009
SB Jakati,5.0,28.0,30.0,93.33333333333333,0.9333333333333333,SB Jakati,Left_Hand,India,2009
SB Styris,10.0,131.0,134.0,97.76119402985076,0.9776119402985075,SB Styris,Right_Hand,New Zealand,2009
SC Ganguly,56.0,1349.0,1326.0,101.73453996983409,1.0173453996983408,SC Ganguly,Left_Hand,India,2009
SD Chitnis,8.0,99.0,92.0,107.6086956521739,1.076086956521739,SD Chitnis,Right_Hand,India,2009
SK Raina,200.0,5536.0,4177.0,132.53531242518554,1.3253531242518555,SK Raina,Left_Hand,India,2009
SK Trivedi,14.0,42.0,61.0,68.85245901639344,0.6885245901639344,SK Trivedi,Right_Hand,India,2009
SK Warne,27.0,198.0,219.0,90.41095890410958,0.9041095890410958,SK Warne,Right_Hand,Australia,2009
SL Malinga,20.0,88.0,103.0,85.43689320388349,0.8543689320388349,SL Malinga,Right_Hand,Sri Lanka,2009
SM Harwood,2.0,9.0,14.0,64.28571428571429,0.6428571428571429,SM Harwood,Right_Hand,Australia,2009
SM Katich,11.0,241.0,191.0,126.17801047120419,1.2617801047120418,SM Katich,Left_Hand,Australia,2009
SP Goswami,21.0,293.0,307.0,95.43973941368078,0.9543973941368078,SP Goswami,Left_Hand,India,2009
SR Tendulkar,78.0,2334.0,2044.0,114.18786692759295,1.1418786692759295,SR Tendulkar,Right_Hand,India,2009
SS Shaikh,1.0,6.0,7.0,85.71428571428571,0.8571428571428571,SS Shaikh,Right_Hand,India,2009
SS Tiwary,73.0,1494.0,1291.0,115.72424477149497,1.1572424477149497,SS Tiwary,Left_Hand,India,2009
ST Jayasuriya,30.0,768.0,573.0,134.03141361256544,1.3403141361256545,ST Jayasuriya,Left_Hand,Sri Lanka,2009
Shoaib Ahmed,3.0,1.0,6.0,16.666666666666664,0.16666666666666666,Shoaib Ahmed,Right_Hand,Pakistan,2009
T Henderson,2.0,11.0,16.0,68.75,0.6875,T Henderson,Right_Hand,South Africa,2009
T Kohli,3.0,11.0,20.0,55.00000000000001,0.55,T Kohli,Right_Hand,India,2009
T Thushara,4.0,12.0,19.0,63.1578947368421,0.631578947368421,T Thushara,Left_Hand,Sri Lanka,2009
TL Suman,39.0,676.0,587.0,115.1618398637138,1.151618398637138,TL Suman,Right_Hand,India,2009
TM Dilshan,50.0,1153.0,1047.0,110.12416427889207,1.1012416427889207,TM Dilshan,Right_Hand,Sri Lanka,2009
TM Srivastava,3.0,8.0,11.0,72.72727272727273,0.7272727272727273,TM Srivastava,Left_Hand,India,2009
V Kohli,244.0,8014.0,6236.0,128.51186658114176,1.2851186658114175,V Kohli,Right_Hand,India,2009
V Sehwag,104.0,2728.0,1833.0,148.82705946535734,1.4882705946535735,V Sehwag,Right_Hand,India,2009
VVS Laxman,20.0,282.0,271.0,104.0590405904059,1.040590405904059,VVS Laxman,Right_Hand,India,2009
W Jaffer,8.0,130.0,129.0,100.7751937984496,1.0077519379844961,W Jaffer,Right_Hand,India,2009
WA Mota,8.0,56.0,76.0,73.68421052631578,0.7368421052631579,WA Mota,Right_Hand,India,2009
WP Saha,143.0,2934.0,2368.0,123.90202702702702,1.2390202702702702,WP Saha,Right_Hand,India,2009
WPUJC Vaas,11.0,81.0,73.0,110.95890410958904,1.1095890410958904,WPUJC Vaas,Left_Hand,Sri Lanka,2009
Y Nagar,20.0,285.0,271.0,105.1660516605166,1.051660516605166,Y Nagar,Right_Hand,India,2009
Y Venugopal Rao,52.0,985.0,865.0,113.87283236994219,1.138728323699422,Y Venugopal Rao,Right_Hand,India,2009
YK Pathan,153.0,3222.0,2334.0,138.04627249357327,1.3804627249357326,YK Pathan,Right_Hand,India,2009
YV Takawale,10.0,192.0,183.0,104.91803278688525,1.0491803278688525,YV Takawale,Right_Hand,India,2009
Yashpal Singh,4.0,47.0,67.0,70.1492537313433,0.7014925373134329,Yashpal Singh,Right_Hand,India,2009
Yuvraj Singh,126.0,2754.0,2207.0,124.78477571363842,1.2478477571363842,Yuvraj Singh,Left_Hand,India,2009
Z Khan,27.0,117.0,141.0,82.97872340425532,0.8297872340425532,Z Khan,Right_Hand,India,2009
