batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
A Mishra,55.0,381.0,440.0,86.5909090909091,0.865909090909091,A Mishra,Right_Hand,India,2011
A Mithun,6.0,34.0,26.0,130.76923076923077,1.3076923076923077,A Mithun,Right_Hand,India,2011
A Singh,5.0,2.0,10.0,20.0,0.2,A Singh,Right_Hand,India,2011
A Symonds,36.0,974.0,781.0,124.71190781049937,1.2471190781049937,A Symonds,Right_Hand,Australia,2011
AA Chavan,3.0,12.0,11.0,109.09090909090908,1.0909090909090908,AA Chavan,Right_Hand,India,2011
AA Jhunjhunwala,15.0,217.0,218.0,99.54128440366972,0.9954128440366973,AA Jhunjhunwala,Right_Hand,India,2011
AB Agarkar,18.0,179.0,160.0,111.87499999999999,1.11875,AB Agarkar,Right_Hand,India,2011
AB Dinda,16.0,26.0,50.0,52.0,0.52,AB Dinda,Right_Hand,India,2011
AB McDonald,9.0,123.0,103.0,119.41747572815532,1.1941747572815533,AB McDonald,Right_Hand,Australia,2011
AB de Villiers,170.0,5181.0,3487.0,148.58044164037855,1.4858044164037856,AB de Villiers,Right_Hand,South Africa,2011
AC Blizzard,7.0,120.0,91.0,131.86813186813185,1.3186813186813187,AC Blizzard,Left_Hand,Australia,2011
AC Gilchrist,80.0,2069.0,1555.0,133.05466237942122,1.3305466237942123,AC Gilchrist,Left_Hand,Australia,2011
AC Thomas,4.0,20.0,19.0,105.26315789473684,1.0526315789473684,AC Thomas,Right_Hand,England,2011
AG Murtaza,3.0,10.0,14.0,71.42857142857143,0.7142857142857143,AG Murtaza,Left_Hand,India,2011
AG Paunikar,5.0,49.0,61.0,80.32786885245902,0.8032786885245902,AG Paunikar,Right_Hand,India,2011
AJ Finch,90.0,2092.0,1696.0,123.34905660377358,1.2334905660377358,AJ Finch,Right_Hand,Australia,2011
AL Menaria,23.0,401.0,367.0,109.26430517711172,1.0926430517711172,AL Menaria,Left_Hand,India,2011
AM Nayar,50.0,672.0,588.0,114.28571428571428,1.1428571428571428,AM Nayar,Left_Hand,India,2011
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,2011
AN Ahmed,6.0,36.0,27.0,133.33333333333331,1.3333333333333333,AN Ahmed,Right_Hand,India,2011
AS Raut,16.0,194.0,172.0,112.79069767441861,1.127906976744186,AS Raut,Right_Hand,India,2011
AT Rayudu,185.0,4348.0,3490.0,124.58452722063038,1.2458452722063038,AT Rayudu,Right_Hand,India,2011
AUK Pathan,7.0,39.0,26.0,150.0,1.5,AUK Pathan,Right_Hand,India,2011
B Akhil,11.0,76.0,57.0,133.33333333333331,1.3333333333333333,B Akhil,Right_Hand,India,2011
B Chipli,21.0,280.0,256.0,109.375,1.09375,B Chipli,Right_Hand,India,2011
B Kumar,65.0,306.0,338.0,90.53254437869822,0.9053254437869822,B Kumar,Right_Hand,India,2011
B Lee,19.0,124.0,102.0,121.56862745098039,1.2156862745098038,B Lee,Right_Hand,Australia,2011
BA Bhatt,2.0,6.0,7.0,85.71428571428571,0.8571428571428571,BA Bhatt,Left_Hand,India,2011
BB McCullum,109.0,2882.0,2272.0,126.84859154929578,1.2684859154929577,BB McCullum,Right_Hand,New Zealand,2011
BJ Haddin,1.0,18.0,11.0,163.63636363636365,1.6363636363636365,BJ Haddin,Right_Hand,Australia,2011
BJ Hodge,63.0,1400.0,1153.0,121.42237640936686,1.2142237640936686,BJ Hodge,Right_Hand,Australia,2011
Bipul Sharma,17.0,187.0,124.0,150.80645161290323,1.5080645161290323,Bipul Sharma,Left_Hand,India,2011
CA Ingram,15.0,205.0,183.0,112.02185792349727,1.1202185792349726,CA Ingram,Left_Hand,South Africa,2011
CA Pujara,22.0,390.0,403.0,96.7741935483871,0.967741935483871,CA Pujara,Right_Hand,India,2011
CH Gayle,141.0,4997.0,3516.0,142.1217292377702,1.421217292377702,CH Gayle,Left_Hand,West Indies,2011
CJ Ferguson,8.0,98.0,119.0,82.35294117647058,0.8235294117647058,CJ Ferguson,Right_Hand,Australia,2011
CK Langeveldt,2.0,8.0,9.0,88.88888888888889,0.8888888888888888,CK Langeveldt,Right_Hand,England,2011
CL White,45.0,971.0,774.0,125.45219638242895,1.2545219638242895,CL White,Right_Hand,Australia,2011
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403383,DA Warner,Left_Hand,Australia,2011
DB Ravi Teja,25.0,375.0,325.0,115.38461538461537,1.1538461538461537,DB Ravi Teja,Right_Hand,India,2011
DE Bollinger,4.0,21.0,23.0,91.30434782608695,0.9130434782608695,DE Bollinger,Left_Hand,Australia,2011
DH Yagnik,17.0,170.0,142.0,119.71830985915493,1.1971830985915493,DH Yagnik,Left_Hand,India,2011
DJ Bravo,110.0,1560.0,1247.0,125.10024057738573,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,2011
DJ Hussey,61.0,1322.0,1101.0,120.07266121707538,1.2007266121707538,DJ Hussey,Right_Hand,Australia,2011
DJ Jacobs,7.0,92.0,101.0,91.0891089108911,0.9108910891089109,DJ Jacobs,Right_Hand,South Africa,2011
DL Vettori,16.0,121.0,118.0,102.54237288135593,1.0254237288135593,DL Vettori,Left_Hand,New Zealand,2011
DPMD Jayawardene,78.0,1808.0,1522.0,118.7910643889619,1.187910643889619,DPMD Jayawardene,Right_Hand,Sri Lanka,2011
DS Kulkarni,20.0,104.0,113.0,92.03539823008849,0.9203539823008849,DS Kulkarni,Right_Hand,India,2011
DT Christian,41.0,460.0,408.0,112.74509803921569,1.1274509803921569,DT Christian,Right_Hand,Australia,2011
DW Steyn,33.0,167.0,163.0,102.45398773006136,1.0245398773006136,DW Steyn,Right_Hand,South Africa,2011
EJG Morgan,74.0,1406.0,1181.0,119.05165114309906,1.1905165114309906,EJG Morgan,Left_Hand,England,2011
FY Fazal,11.0,183.0,179.0,102.23463687150837,1.0223463687150838,FY Fazal,Left_Hand,India,2011
G Gambhir,151.0,4217.0,3524.0,119.66515323496027,1.1966515323496028,G Gambhir,Left_Hand,India,2011
GC Smith,29.0,739.0,691.0,106.9464544138929,1.069464544138929,GC Smith,Left_Hand,South Africa,2011
Harbhajan Singh,88.0,833.0,636.0,130.9748427672956,1.309748427672956,Harbhajan Singh,Right_Hand,India,2011
Harpreet Singh,8.0,123.0,119.0,103.36134453781514,1.0336134453781514,Harpreet Singh,Left_Hand,India,2011
I Malhotra,1.0,7.0,4.0,175.0,1.75,I Malhotra,Right_Hand,India,2011
I Sharma,21.0,57.0,71.0,80.28169014084507,0.8028169014084507,I Sharma,Right_Hand,India,2011
IK Pathan,82.0,1150.0,985.0,116.75126903553299,1.16751269035533,IK Pathan,Left_Hand,India,2011
IR Jaggi,7.0,76.0,100.0,76.0,0.76,IR Jaggi,Right_Hand,India,2011
Iqbal Abdulla,13.0,88.0,86.0,102.32558139534885,1.0232558139534884,Iqbal Abdulla,Left_Hand,India,2011
J Botha,28.0,409.0,364.0,112.36263736263736,1.1236263736263736,J Botha,Right_Hand,South Africa,2011
J Syed Mohammad,5.0,29.0,27.0,107.40740740740742,1.0740740740740742,J Syed Mohammad,Left_Hand,India,2011
JA Morkel,67.0,975.0,712.0,136.93820224719101,1.3693820224719102,JA Morkel,Left_Hand,South Africa,2011
JD Ryder,29.0,604.0,466.0,129.6137339055794,1.296137339055794,JD Ryder,Left_Hand,New Zealand,2011
JDP Oram,11.0,106.0,110.0,96.36363636363636,0.9636363636363636,JDP Oram,Left_Hand,New Zealand,2011
JE Taylor,2.0,3.0,4.0,75.0,0.75,JE Taylor,Right_Hand,New Zealand,2011
JEC Franklin,16.0,327.0,309.0,105.8252427184466,1.058252427184466,JEC Franklin,Left_Hand,New Zealand,2011
