batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
A Badoni,35.0,634.0,505.0,125.54455445544555,1.2554455445544555,NA,NA,NA,2024
A Kamboj,1.0,2.0,2.0,100.0,1.0,NA,NA,NA,2024
A Manohar,15.0,231.0,181.0,127.62430939226519,1.276243093922652,NA,NA,NA,2024
A Nortje,13.0,49.0,51.0,96.07843137254902,0.9607843137254902,NA,NA,NA,2024
A Raghuvanshi,7.0,163.0,109.0,149.54128440366972,1.4954128440366972,NA,NA,NA,2024
AA Kulkarni,2.0,9.0,8.0,112.5,1.125,NA,NA,NA,2024
AD Russell,104.0,2488.0,1515.0,164.22442244224422,1.6422442244224422,AD Russell,Right_Hand,West Indies,2024
AJ Turner,6.0,24.0,31.0,77.41935483870968,0.7741935483870968,NA,NA,NA,2024
AK Markram,42.0,995.0,787.0,126.4294790343075,1.264294790343075,NA,NA,NA,2024
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,2024
AR Patel,112.0,1653.0,1318.0,125.41729893778452,1.2541729893778453,AR Patel,Left_Hand,India,2024
AS Roy,6.0,26.0,24.0,108.33333333333333,1.0833333333333333,NA,NA,NA,2024
Abdul Samad,39.0,579.0,408.0,141.91176470588235,1.4191176470588236,NA,NA,NA,2024
Abhishek Sharma,61.0,1377.0,925.0,148.86486486486484,1.4886486486486485,NA,NA,NA,2024
Abishek Porel,16.0,360.0,244.0,147.54098360655738,1.4754098360655739,NA,NA,NA,2024
Akash Deep,3.0,19.0,12.0,158.33333333333331,1.5833333333333333,NA,NA,NA,2024
Akash Madhwal,1.0,4.0,5.0,80.0,0.8,NA,NA,NA,2024
Anmolpreet Singh,9.0,139.0,117.0,118.80341880341881,1.188034188034188,NA,NA,NA,2024
Anuj Rawat,21.0,318.0,276.0,115.21739130434783,1.1521739130434783,NA,NA,NA,2024
Arshad Khan,6.0,96.0,67.0,143.28358208955223,1.4328358208955223,NA,NA,NA,2024
Arshad Khan (2),1.0,5.0,4.0,125.0,1.25,NA,NA,NA,2024
Arshdeep Singh,11.0,29.0,42.0,69.04761904761905,0.6904761904761905,NA,NA,NA,2024
Ashutosh Sharma,9.0,189.0,118.0,160.16949152542372,1.6016949152542372,NA,NA,NA,2024
Atharva Taide,9.0,247.0,177.0,139.54802259887003,1.3954802259887005,NA,NA,NA,2024
Avesh Khan,9.0,41.0,25.0,164.0,1.64,Avesh Khan,Right_Hand,NA,2024
Azmatullah Omarzai,4.0,42.0,34.0,123.52941176470588,1.2352941176470589,NA,NA,NA,2024
B Kumar,65.0,306.0,338.0,90.53254437869822,0.9053254437869822,B Kumar,Right_Hand,India,2024
B Sai Sudharsan,25.0,1034.0,770.0,134.28571428571428,1.3428571428571427,NA,NA,NA,2024
BR Sharath,1.0,2.0,5.0,40.0,0.4,NA,NA,NA,2024
C Green,28.0,707.0,472.0,149.78813559322032,1.4978813559322033,NA,NA,NA,2024
D Brevis,10.0,230.0,176.0,130.6818181818182,1.3068181818181819,NA,NA,NA,2024
D Ferreira,2.0,8.0,11.0,72.72727272727273,0.7272727272727273,NA,NA,NA,2024
D Padikkal,64.0,1559.0,1323.0,117.83824640967498,1.1783824640967497,NA,NA,NA,2024
DA Miller,123.0,2924.0,2171.0,134.68447719944726,1.3468447719944725,DA Miller,Left_Hand,South Africa,2024
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403383,DA Warner,Left_Hand,Australia,2024
DG Nalkande,2.0,12.0,12.0,100.0,1.0,NA,NA,NA,2024
DJ Hooda,96.0,1466.0,1170.0,125.2991452991453,1.252991452991453,DJ Hooda,Right_Hand,India,2024
DJ Mitchell,15.0,351.0,274.0,128.1021897810219,1.281021897810219,NA,NA,NA,2024
Dhruv Jurel,22.0,347.0,237.0,146.41350210970467,1.4641350210970465,NA,NA,NA,2024
F du Plessis,138.0,4571.0,3435.0,133.07132459970887,1.3307132459970887,F du Plessis,Right_Hand,South Africa,2024
G Coetzee,5.0,14.0,22.0,63.63636363636363,0.6363636363636364,NA,NA,NA,2024
GJ Maxwell,128.0,2772.0,1842.0,150.4885993485342,1.504885993485342,GJ Maxwell,Right_Hand,Australia,2024
Gulbadin Naib,1.0,19.0,15.0,126.66666666666666,1.2666666666666666,NA,NA,NA,2024
H Klaasen,32.0,993.0,613.0,161.99021207177816,1.6199021207177815,H Klaasen,Right_hand,NA,2024
HH Pandya,128.0,2534.0,1814.0,139.69128996692393,1.3969128996692393,HH Pandya,Right_Hand,India,2024
HV Patel,37.0,249.0,214.0,116.35514018691589,1.1635514018691588,HV Patel,Right_Hand,India,2024
Harpreet Brar,24.0,233.0,201.0,115.92039800995025,1.1592039800995024,NA,NA,NA,2024
Harpreet Singh,8.0,123.0,119.0,103.36134453781514,1.0336134453781514,Harpreet Singh,Left_Hand,India,2024
I Sharma,21.0,57.0,71.0,80.28169014084507,0.8028169014084507,I Sharma,Right_Hand,India,2024
Ishan Kishan,99.0,2644.0,1991.0,132.79758915118032,1.3279758915118032,Ishan Kishan,Left_Hand,India,2024
J Fraser-McGurk,9.0,330.0,150.0,220.00000000000003,2.2,NA,NA,NA,2024
JA Richardson,3.0,17.0,27.0,62.96296296296296,0.6296296296296297,NA,NA,NA,2024
JC Buttler,106.0,3583.0,2519.0,142.23898372369987,1.4223898372369987,JC Buttler,Right_Hand,England,2024
JD Unadkat,27.0,197.0,170.0,115.88235294117648,1.1588235294117648,JD Unadkat,Right_Hand,India,2024
JJ Bumrah,26.0,68.0,80.0,85.0,0.85,JJ Bumrah,Right_Hand,India,2024
JM Bairstow,50.0,1589.0,1132.0,140.37102473498234,1.4037102473498233,NA,NA,NA,2024
JM Sharma,36.0,730.0,501.0,145.70858283433134,1.4570858283433135,NA,NA,NA,2024
K Rabada,28.0,206.0,207.0,99.51690821256038,0.9951690821256038,K Rabada,Left_Hand,NA,2024
KA Maharaj,1.0,1.0,2.0,50.0,0.5,NA,NA,NA,2024
KD Karthik,233.0,4843.0,3687.0,131.35340385136968,1.3135340385136969,KD Karthik,Right_Hand,India,2024
KH Pandya,107.0,1647.0,1287.0,127.97202797202797,1.2797202797202798,KH Pandya,Left_Hand,India,2024
KL Rahul,122.0,4689.0,3578.0,131.05086640581328,1.310508664058133,KL Rahul,Right_Hand,India,2024
