batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
AB de Villiers,170.0,5181.0,3487.0,148.58044164037855,1.4858044164037856,AB de Villiers,Right_Hand,South Africa,2021
AD Russell,104.0,2488.0,1515.0,164.22442244224422,1.6422442244224422,AD Russell,Right_Hand,West Indies,2021
AF Milne,6.0,23.0,31.0,74.19354838709677,0.7419354838709677,AF Milne,Right_Hand,New Zealand,2021
AK Markram,42.0,995.0,787.0,126.4294790343075,1.264294790343075,NA,NA,NA,2021
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,2021
AR Patel,112.0,1653.0,1318.0,125.41729893778452,1.2541729893778453,AR Patel,Left_Hand,India,2021
AT Rayudu,185.0,4348.0,3490.0,124.58452722063038,1.2458452722063038,AT Rayudu,Right_Hand,India,2021
Abdul Samad,39.0,579.0,408.0,141.91176470588235,1.4191176470588236,NA,NA,NA,2021
Abhishek Sharma,61.0,1377.0,925.0,148.86486486486484,1.4886486486486485,NA,NA,NA,2021
Anmolpreet Singh,9.0,139.0,117.0,118.80341880341881,1.188034188034188,NA,NA,NA,2021
Anuj Rawat,21.0,318.0,276.0,115.21739130434783,1.1521739130434783,NA,NA,NA,2021
Arshdeep Singh,11.0,29.0,42.0,69.04761904761905,0.6904761904761905,NA,NA,NA,2021
Avesh Khan,9.0,41.0,25.0,164.0,1.64,Avesh Khan,Right_Hand,NA,2021
B Kumar,65.0,306.0,338.0,90.53254437869822,0.9053254437869822,B Kumar,Right_Hand,India,2021
BA Stokes,43.0,935.0,718.0,130.22284122562675,1.3022284122562675,BA Stokes,Left_Hand,NA,2021
C Sakariya,7.0,20.0,31.0,64.51612903225806,0.6451612903225806,NA,NA,NA,2021
CA Lynn,42.0,1329.0,974.0,136.4476386036961,1.364476386036961,CA Lynn,Right_Hand,Australia,2021
CH Gayle,141.0,4997.0,3516.0,142.1217292377702,1.421217292377702,CH Gayle,Left_Hand,West Indies,2021
CH Morris,49.0,618.0,413.0,149.636803874092,1.4963680387409202,CH Morris,Right_Hand,South Africa,2021
CJ Jordan,12.0,81.0,81.0,100.0,1.0,CJ Jordan,Right_Hand,England,2021
CR Woakes,12.0,78.0,77.0,101.29870129870129,1.0129870129870129,CR Woakes,Right_hand,NA,2021
CV Varun,10.0,25.0,49.0,51.02040816326531,0.5102040816326531,NA,NA,NA,2021
D Padikkal,64.0,1559.0,1323.0,117.83824640967498,1.1783824640967497,NA,NA,NA,2021
DA Miller,123.0,2924.0,2171.0,134.68447719944726,1.3468447719944725,DA Miller,Left_Hand,South Africa,2021
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403383,DA Warner,Left_Hand,Australia,2021
DJ Bravo,110.0,1560.0,1247.0,125.10024057738573,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,2021
DJ Hooda,96.0,1466.0,1170.0,125.2991452991453,1.252991452991453,DJ Hooda,Right_Hand,India,2021
DJ Malan,1.0,26.0,26.0,100.0,1.0,NA,NA,NA,2021
DL Chahar,12.0,80.0,61.0,131.14754098360655,1.3114754098360655,DL Chahar,Right_Hand,India,2021
DR Sams,13.0,44.0,48.0,91.66666666666666,0.9166666666666666,NA,NA,NA,2021
DT Christian,41.0,460.0,408.0,112.74509803921569,1.1274509803921569,DT Christian,Right_Hand,Australia,2021
E Lewis,26.0,654.0,499.0,131.06212424849699,1.31062124248497,E Lewis,Left_Hand,NA,2021
