batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
A Chopra,6.0,53.0,75.0,70.66666666666667,0.7066666666666667,A Chopra,Right_Hand,India,2008
A Kumble,15.0,35.0,49.0,71.42857142857143,0.7142857142857143,A Kumble,Right_Hand,India,2008
A Mishra,55.0,381.0,440.0,86.5909090909091,0.865909090909091,A Mishra,Right_Hand,India,2008
A Mukund,2.0,19.0,23.0,82.6086956521739,0.8260869565217391,A Mukund,Right_Hand,India,2008
A Nehra,17.0,41.0,63.0,65.07936507936508,0.6507936507936508,A Nehra,Right_Hand,India,2008
A Symonds,36.0,974.0,781.0,124.71190781049937,1.2471190781049937,A Symonds,Right_Hand,Australia,2008
AA Noffke,1.0,9.0,12.0,75.0,0.75,AA Noffke,Right_Hand,Australia,2008
AB Agarkar,18.0,179.0,160.0,111.87499999999999,1.11875,AB Agarkar,Right_Hand,India,2008
AB Dinda,16.0,26.0,50.0,52.0,0.52,AB Dinda,Right_Hand,India,2008
AB de Villiers,170.0,5181.0,3487.0,148.58044164037855,1.4858044164037856,AB de Villiers,Right_Hand,South Africa,2008
AC Gilchrist,80.0,2069.0,1555.0,133.05466237942122,1.3305466237942123,AC Gilchrist,Left_Hand,Australia,2008
AD Mascarenhas,11.0,79.0,79.0,100.0,1.0,AD Mascarenhas,Right_Hand,England,2008
AM Nayar,50.0,672.0,588.0,114.28571428571428,1.1428571428571428,AM Nayar,Left_Hand,India,2008
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,2008
AS Yadav,6.0,49.0,40.0,122.50000000000001,1.225,AS Yadav,Right_hand,NA,2008
Abdur Razzak,1.0,0.0,2.0,0.0,0.0,Abdur Razzak,Left_Hand,Bangladesh,2008
B Akhil,11.0,76.0,57.0,133.33333333333331,1.3333333333333333,B Akhil,Right_Hand,India,2008
B Chipli,21.0,280.0,256.0,109.375,1.09375,B Chipli,Right_Hand,India,2008
B Lee,19.0,124.0,102.0,121.56862745098039,1.2156862745098038,B Lee,Right_Hand,Australia,2008
BB McCullum,109.0,2882.0,2272.0,126.84859154929578,1.2684859154929577,BB McCullum,Right_Hand,New Zealand,2008
BJ Hodge,63.0,1400.0,1153.0,121.42237640936686,1.2142237640936686,BJ Hodge,Right_Hand,Australia,2008
CK Kapugedera,3.0,16.0,24.0,66.66666666666666,0.6666666666666666,CK Kapugedera,Right_Hand,Sri Lanka,2008
CL White,45.0,971.0,774.0,125.45219638242895,1.2545219638242895,CL White,Right_Hand,Australia,2008
CRD Fernando,2.0,4.0,3.0,133.33333333333331,1.3333333333333333,CRD Fernando,Right_Hand,Sri Lanka,2008
D Kalyankrishna,1.0,3.0,8.0,37.5,0.375,D Kalyankrishna,Right_Hand,India,2008
D Salunkhe,3.0,33.0,24.0,137.5,1.375,D Salunkhe,Right_Hand,India,2008
DB Das,22.0,304.0,267.0,113.85767790262172,1.1385767790262171,DB Das,Right_Hand,India,2008
DB Ravi Teja,25.0,375.0,325.0,115.38461538461537,1.1538461538461537,DB Ravi Teja,Right_Hand,India,2008
DJ Bravo,110.0,1560.0,1247.0,125.10024057738573,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,2008
DJ Hussey,61.0,1322.0,1101.0,120.07266121707538,1.2007266121707538,DJ Hussey,Right_Hand,Australia,2008
DJ Thornely,4.0,39.0,54.0,72.22222222222221,0.7222222222222222,DJ Thornely,Right_Hand,Australia,2008
DNT Zoysa,2.0,11.0,9.0,122.22222222222223,1.2222222222222223,DNT Zoysa,Left_Hand,Sri Lanka,2008
DP Vijaykumar,1.0,1.0,1.0,100.0,1.0,DP Vijaykumar,Right_Hand,India,2008
DPMD Jayawardene,78.0,1808.0,1522.0,118.7910643889619,1.187910643889619,DPMD Jayawardene,Right_Hand,Sri Lanka,2008
DR Smith,88.0,2385.0,1803.0,132.27953410981698,1.3227953410981697,DR Smith,Right_Hand,West Indies,2008
DS Kulkarni,20.0,104.0,113.0,92.03539823008849,0.9203539823008849,DS Kulkarni,Right_Hand,India,2008
DS Lehmann,2.0,18.0,19.0,94.73684210526315,0.9473684210526315,DS Lehmann,Left_Hand,Australia,2008
DT Patil,2.0,13.0,13.0,100.0,1.0,DT Patil,Right_Hand,India,2008
