batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
A Kumble,15.0,35.0,49.0,71.42857142857143,0.7142857142857143,A Kumble,Right_Hand,India,2010
A Mishra,55.0,381.0,440.0,86.5909090909091,0.865909090909091,A Mishra,Right_Hand,India,2010
A Mithun,6.0,34.0,26.0,130.76923076923077,1.3076923076923077,A Mithun,Right_Hand,India,2010
A Nehra,17.0,41.0,63.0,65.07936507936508,0.6507936507936508,A Nehra,Right_Hand,India,2010
A Symonds,36.0,974.0,781.0,124.71190781049937,1.2471190781049937,A Symonds,Right_Hand,Australia,2010
A Uniyal,2.0,4.0,7.0,57.14285714285714,0.5714285714285714,A Uniyal,Right_Hand,India,2010
AA Bilakhia,7.0,69.0,88.0,78.4090909090909,0.7840909090909091,AA Bilakhia,Right_Hand,India,2010
AA Jhunjhunwala,15.0,217.0,218.0,99.54128440366972,0.9954128440366973,AA Jhunjhunwala,Right_Hand,India,2010
AB Agarkar,18.0,179.0,160.0,111.87499999999999,1.11875,AB Agarkar,Right_Hand,India,2010
AB Barath,3.0,42.0,43.0,97.67441860465115,0.9767441860465116,AB Barath,Left_Hand,India,2010
AB Dinda,16.0,26.0,50.0,52.0,0.52,AB Dinda,Right_Hand,India,2010
AB McDonald,9.0,123.0,103.0,119.41747572815532,1.1941747572815533,AB McDonald,Right_Hand,Australia,2010
AB de Villiers,170.0,5181.0,3487.0,148.58044164037855,1.4858044164037856,AB de Villiers,Right_Hand,South Africa,2010
AC Gilchrist,80.0,2069.0,1555.0,133.05466237942122,1.3305466237942123,AC Gilchrist,Left_Hand,Australia,2010
AC Voges,7.0,181.0,143.0,126.57342657342659,1.2657342657342658,AC Voges,Right_Hand,Australia,2010
AD Mascarenhas,11.0,79.0,79.0,100.0,1.0,AD Mascarenhas,Right_Hand,England,2010
AD Mathews,41.0,724.0,599.0,120.86811352253757,1.2086811352253757,AD Mathews,Right_Hand,Sri Lanka,2010
AG Paunikar,5.0,49.0,61.0,80.32786885245902,0.8032786885245902,AG Paunikar,Right_Hand,India,2010
AJ Finch,90.0,2092.0,1696.0,123.34905660377358,1.2334905660377358,AJ Finch,Right_Hand,Australia,2010
AM Nayar,50.0,672.0,588.0,114.28571428571428,1.1428571428571428,AM Nayar,Left_Hand,India,2010
AN Ahmed,6.0,36.0,27.0,133.33333333333331,1.3333333333333333,AN Ahmed,Right_Hand,India,2010
AP Dole,2.0,34.0,23.0,147.82608695652172,1.4782608695652173,AP Dole,Right_Hand,India,2010
AP Tare,27.0,339.0,285.0,118.94736842105263,1.1894736842105262,AP Tare,Right_Hand,India,2010
AS Raut,16.0,194.0,172.0,112.79069767441861,1.127906976744186,AS Raut,Right_Hand,India,2010
AT Rayudu,185.0,4348.0,3490.0,124.58452722063038,1.2458452722063038,AT Rayudu,Right_Hand,India,2010
Anirudh Singh,4.0,63.0,69.0,91.30434782608695,0.9130434782608695,Anirudh Singh,Left_Hand,India,2010
B Lee,19.0,124.0,102.0,121.56862745098039,1.2156862745098038,B Lee,Right_Hand,Australia,2010
B Sumanth,4.0,35.0,38.0,92.10526315789474,0.9210526315789473,B Sumanth,Right_Hand,India,2010
BAW Mendis,3.0,3.0,6.0,50.0,0.5,BAW Mendis,Right_Hand,Sri Lanka,2010
BB McCullum,109.0,2882.0,2272.0,126.84859154929578,1.2684859154929577,BB McCullum,Right_Hand,New Zealand,2010
BJ Hodge,63.0,1400.0,1153.0,121.42237640936686,1.2142237640936686,BJ Hodge,Right_Hand,Australia,2010
Bipul Sharma,17.0,187.0,124.0,150.80645161290323,1.5080645161290323,Bipul Sharma,Left_Hand,India,2010
C Madan,1.0,15.0,21.0,71.42857142857143,0.7142857142857143,C Madan,Right_Hand,India,2010
CA Pujara,22.0,390.0,403.0,96.7741935483871,0.967741935483871,CA Pujara,Right_Hand,India,2010
CH Gayle,141.0,4997.0,3516.0,142.1217292377702,1.421217292377702,CH Gayle,Left_Hand,West Indies,2010
CK Langeveldt,2.0,8.0,9.0,88.88888888888889,0.8888888888888888,CK Langeveldt,Right_Hand,England,2010
CL White,45.0,971.0,774.0,125.45219638242895,1.2545219638242895,CL White,Right_Hand,Australia,2010
CRD Fernando,2.0,4.0,3.0,133.33333333333331,1.3333333333333333,CRD Fernando,Right_Hand,Sri Lanka,2010
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403383,DA Warner,Left_Hand,Australia,2010
DE Bollinger,4.0,21.0,23.0,91.30434782608695,0.9130434782608695,DE Bollinger,Left_Hand,Australia,2010
DJ Bravo,110.0,1560.0,1247.0,125.10024057738573,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,2010
DJ Hussey,61.0,1322.0,1101.0,120.07266121707538,1.2007266121707538,DJ Hussey,Right_Hand,Australia,2010
DL Vettori,16.0,121.0,118.0,102.54237288135593,1.0254237288135593,DL Vettori,Left_Hand,New Zealand,2010
DP Nannes,2.0,4.0,13.0,30.76923076923077,0.3076923076923077,DP Nannes,Right_Hand,Australia,2010
DPMD Jayawardene,78.0,1808.0,1522.0,118.7910643889619,1.187910643889619,DPMD Jayawardene,Right_Hand,Sri Lanka,2010
DR Martyn,1.0,19.0,26.0,73.07692307692307,0.7307692307692307,DR Martyn,Right_Hand,Australia,2010
DR Smith,88.0,2385.0,1803.0,132.27953410981698,1.3227953410981697,DR Smith,Right_Hand,West Indies,2010
DW Steyn,33.0,167.0,163.0,102.45398773006136,1.0245398773006136,DW Steyn,Right_Hand,South Africa,2010
EJG Morgan,74.0,1406.0,1181.0,119.05165114309906,1.1905165114309906,EJG Morgan,Left_Hand,England,2010
FY Fazal,11.0,183.0,179.0,102.23463687150837,1.0223463687150838,FY Fazal,Left_Hand,India,2010
G Gambhir,151.0,4217.0,3524.0,119.66515323496027,1.1966515323496028,G Gambhir,Left_Hand,India,2010
GC Smith,29.0,739.0,691.0,106.9464544138929,1.069464544138929,GC Smith,Left_Hand,South Africa,2010
GJ Bailey,36.0,663.0,552.0,120.1086956521739,1.201086956521739,GJ Bailey,Right_Hand,Australia,2010
HH Gibbs,36.0,886.0,837.0,105.8542413381123,1.058542413381123,HH Gibbs,Right_Hand,South Africa,2010
Harbhajan Singh,88.0,833.0,636.0,130.9748427672956,1.309748427672956,Harbhajan Singh,Right_Hand,India,2010
Harmeet Singh,4.0,18.0,12.0,150.0,1.5,Harmeet Singh,Left_Hand,India,2010
I Sharma,21.0,57.0,71.0,80.28169014084507,0.8028169014084507,I Sharma,Right_Hand,India,2010
IK Pathan,82.0,1150.0,985.0,116.75126903553299,1.16751269035533,IK Pathan,Left_Hand,India,2010
Iqbal Abdulla,13.0,88.0,86.0,102.32558139534885,1.0232558139534884,Iqbal Abdulla,Left_Hand,India,2010
J Theron,4.0,10.0,13.0,76.92307692307693,0.7692307692307693,J Theron,Right_Hand,South Africa,2010
JA Morkel,67.0,975.0,712.0,136.93820224719101,1.3693820224719102,JA Morkel,Left_Hand,South Africa,2010
JH Kallis,95.0,2427.0,2291.0,105.93627237014405,1.0593627237014405,JH Kallis,Right_Hand,South Africa,2010
JM Kemp,2.0,26.0,25.0,104.0,1.04,JM Kemp,Right_Hand,South Africa,2010
JP Duminy,75.0,2029.0,1680.0,120.77380952380952,1.2077380952380952,JP Duminy,Left_Hand,South Africa,2010
Jaskaran Singh,4.0,8.0,11.0,72.72727272727273,0.7272727272727273,Jaskaran Singh,Right_Hand,India,2010
K Goel,16.0,218.0,239.0,91.21338912133892,0.9121338912133892,K Goel,Left_Hand,India,2010
KA Pollard,168.0,3437.0,2447.0,140.45770331017573,1.4045770331017573,KA Pollard,Right_Hand,West Indies,2010
KAJ Roach,1.0,10.0,9.0,111.11111111111111,1.1111111111111112,KAJ Roach,Right_Hand,West Indies,2010
KB Arun Karthik,8.0,51.0,53.0,96.22641509433963,0.9622641509433962,KB Arun Karthik,Right_Hand,India,2010
KC Sangakkara,68.0,1687.0,1424.0,118.4691011235955,1.184691011235955,KC Sangakkara,Left_Hand,Sri Lanka,2010
KD Karthik,233.0,4843.0,3687.0,131.35340385136968,1.3135340385136969,KD Karthik,Right_Hand,India,2010
KM Jadhav,81.0,1208.0,1012.0,119.36758893280633,1.1936758893280632,KM Jadhav,Right_Hand,India,2010
KP Appanna,3.0,2.0,4.0,50.0,0.5,KP Appanna,Right_Hand,India,2010
KP Pietersen,36.0,1001.0,758.0,132.05804749340368,1.3205804749340369,KP Pietersen,Right_Hand,South Africa,2010
L Balaji,13.0,36.0,50.0,72.0,0.72,L Balaji,Right_Hand,India,2010
LR Shukla,33.0,405.0,358.0,113.12849162011173,1.1312849162011174,LR Shukla,Right_Hand,India,2010
LRPL Taylor,54.0,1017.0,847.0,120.07083825265643,1.2007083825265643,LRPL Taylor,Right_Hand,New Zealand,2010
M Kaif,22.0,259.0,258.0,100.3875968992248,1.003875968992248,M Kaif,Right_Hand,India,2010
M Kartik,14.0,113.0,109.0,103.6697247706422,1.036697247706422,M Kartik,Left_Hand,India,2010
M Manhas,38.0,514.0,486.0,105.76131687242798,1.0576131687242798,M Manhas,Right_Hand,India,2010
M Morkel,20.0,126.0,93.0,135.48387096774192,1.3548387096774193,M Morkel,Left_Hand,South Africa,2010
M Muralitharan,9.0,20.0,30.0,66.66666666666666,0.6666666666666666,M Muralitharan,Right_Hand,Sri Lanka,2010
M Vijay,105.0,2619.0,2208.0,118.61413043478262,1.1861413043478262,M Vijay,Right_Hand,India,2010
MC Henriques,54.0,1000.0,801.0,124.84394506866417,1.2484394506866416,MC Henriques,Right_Hand,Australia,2010
MD Mishra,17.0,237.0,213.0,111.26760563380283,1.1126760563380282,MD Mishra,Right_Hand,India,2010
MEK Hussey,58.0,1977.0,1648.0,119.96359223300972,1.1996359223300972,MEK Hussey,Left_Hand,Australia,2010
MF Maharoof,14.0,177.0,124.0,142.74193548387098,1.4274193548387097,MF Maharoof,Right_Hand,India,2010
MJ Lumb,12.0,278.0,198.0,140.4040404040404,1.404040404040404,MJ Lumb,Left_Hand,England,2010
MK Pandey,158.0,3859.0,3288.0,117.36618004866179,1.173661800486618,MK Pandey,Right_Hand,India,2010
MK Tiwary,83.0,1695.0,1489.0,113.83478844862324,1.1383478844862325,MK Tiwary,Right_Hand,India,2010
ML Hayden,32.0,1107.0,839.0,131.94278903456495,1.3194278903456496,ML Hayden,Left_Hand,Australia,2010
MM Patel,12.0,39.0,41.0,95.1219512195122,0.9512195121951219,MM Patel,Right_Hand,India,2010
MR Marsh,36.0,665.0,532.0,125.0,1.25,MR Marsh,Right_Hand,Australia,2010
MS Bisla,39.0,798.0,737.0,108.27679782903662,1.0827679782903663,MS Bisla,Right_Hand,India,2010
MS Dhoni,228.0,5243.0,3947.0,132.8350646060299,1.328350646060299,MS Dhoni,Right_Hand,India,2010
MS Gony,15.0,99.0,76.0,130.26315789473685,1.3026315789473684,MS Gony,Right_Hand,India,2010
MV Boucher,23.0,394.0,318.0,123.89937106918238,1.2389937106918238,MV Boucher,Right_Hand,South Africa,2010
Mandeep Singh,97.0,1706.0,1418.0,120.31029619181946,1.2031029619181945,Mandeep Singh,Right_Hand,India,2010
NV Ojha,94.0,1554.0,1360.0,114.26470588235293,1.1426470588235293,NV Ojha,Right_Hand,India,2010
OA Shah,22.0,506.0,405.0,124.93827160493827,1.2493827160493827,OA Shah,Right_Hand,England,2010
P Dogra,12.0,127.0,141.0,90.0709219858156,0.900709219858156,P Dogra,Right_Hand,India,2010
P Kumar,57.0,340.0,323.0,105.26315789473684,1.0526315789473684,P Kumar,Right_Hand,India,2010
PA Patel,136.0,2848.0,2442.0,116.62571662571663,1.1662571662571664,PA Patel,Left_Hand,India,2010
PD Collingwood,7.0,203.0,159.0,127.67295597484276,1.2767295597484276,PD Collingwood,Right_Hand,England,2010
PJ Sangwan,14.0,26.0,47.0,55.319148936170215,0.5531914893617021,PJ Sangwan,Right_Hand,India,2010
PP Chawla,86.0,624.0,580.0,107.58620689655172,1.0758620689655172,PP Chawla,Left_Hand,India,2010
PP Ojha,19.0,16.0,45.0,35.55555555555556,0.35555555555555557,PP Ojha,Left_Hand,India,2010
Pankaj Singh,5.0,7.0,12.0,58.333333333333336,0.5833333333333334,Pankaj Singh,Right_Hand,India,2010
R Ashwin,89.0,800.0,698.0,114.61318051575931,1.146131805157593,R Ashwin,Right_Hand,India,2010
R Bhatia,47.0,342.0,290.0,117.9310344827586,1.1793103448275861,R Bhatia,Right_Hand,India,2010
R Dravid,82.0,2174.0,1918.0,113.34723670490095,1.1334723670490094,R Dravid,Right_Hand,India,2010
R McLaren,13.0,159.0,178.0,89.32584269662921,0.8932584269662921,R McLaren,Left_Hand,South Africa,2010
R Sathish,24.0,270.0,236.0,114.40677966101696,1.1440677966101696,R Sathish,Right_Hand,India,2010
R Sharma,19.0,66.0,77.0,85.71428571428571,0.8571428571428571,R Sharma,Right_Hand,India,2010
R Vinay Kumar,42.0,310.0,289.0,107.26643598615917,1.0726643598615917,R Vinay Kumar,Right_Hand,India,2010
RE van der Merwe,15.0,159.0,144.0,110.41666666666667,1.1041666666666667,RE van der Merwe,Right_Hand,South Africa,2010
RG Sharma,251.0,6630.0,5183.0,127.91819409608335,1.2791819409608336,RG Sharma,Right_Hand,India,2010
RJ Harris,21.0,117.0,112.0,104.46428571428572,1.0446428571428572,RJ Harris,Right_Hand,Australia,2010
RP Singh,28.0,52.0,78.0,66.66666666666666,0.6666666666666666,RP Singh,Right_Hand,India,2010
RR Powar,9.0,67.0,64.0,104.6875,1.046875,RR Powar,Right_Hand,India,2010
