batter,matches_played,runs_scored,balls_faced,strike_rate,average,Player_Name,Batting_Hand,Country,season
A Badoni,35.0,634.0,505.0,125.54455445544555,1.2554455445544555,NA,NA,NA,2022
A Manohar,15.0,231.0,181.0,127.62430939226519,1.276243093922652,NA,NA,NA,2022
A Nortje,13.0,49.0,51.0,96.07843137254902,0.9607843137254902,NA,NA,NA,2022
A Tomar,1.0,4.0,8.0,50.0,0.5,NA,NA,NA,2022
AD Russell,104.0,2488.0,1515.0,164.22442244224422,1.6422442244224422,AD Russell,Right_Hand,West Indies,2022
AJ Finch,90.0,2092.0,1696.0,123.34905660377358,1.2334905660377358,AJ Finch,Right_Hand,Australia,2022
AK Markram,42.0,995.0,787.0,126.4294790343075,1.264294790343075,NA,NA,NA,2022
AM Rahane,171.0,4642.0,3858.0,120.32141005702437,1.2032141005702437,AM Rahane,Right_Hand,India,2022
AR Patel,112.0,1653.0,1318.0,125.41729893778452,1.2541729893778453,AR Patel,Left_Hand,India,2022
AS Joseph,5.0,27.0,32.0,84.375,0.84375,NA,NA,NA,2022
AS Roy,6.0,26.0,24.0,108.33333333333333,1.0833333333333333,NA,NA,NA,2022
AT Rayudu,185.0,4348.0,3490.0,124.58452722063038,1.2458452722063038,AT Rayudu,Right_Hand,India,2022
Abdul Samad,39.0,579.0,408.0,141.91176470588235,1.4191176470588236,NA,NA,NA,2022
Abhishek Sharma,61.0,1377.0,925.0,148.86486486486484,1.4886486486486485,NA,NA,NA,2022
Akash Deep,3.0,19.0,12.0,158.33333333333331,1.5833333333333333,NA,NA,NA,2022
Aman Hakim Khan,10.0,115.0,109.0,105.50458715596329,1.055045871559633,NA,NA,NA,2022
Anmolpreet Singh,9.0,139.0,117.0,118.80341880341881,1.188034188034188,NA,NA,NA,2022
Anuj Rawat,21.0,318.0,276.0,115.21739130434783,1.1521739130434783,NA,NA,NA,2022
Arshdeep Singh,11.0,29.0,42.0,69.04761904761905,0.6904761904761905,NA,NA,NA,2022
Avesh Khan,9.0,41.0,25.0,164.0,1.64,Avesh Khan,Right_Hand,NA,2022
B Indrajith,3.0,21.0,31.0,67.74193548387096,0.6774193548387096,NA,NA,NA,2022
B Kumar,65.0,306.0,338.0,90.53254437869822,0.9053254437869822,B Kumar,Right_Hand,India,2022
B Sai Sudharsan,25.0,1034.0,770.0,134.28571428571428,1.3428571428571427,NA,NA,NA,2022
CJ Jordan,12.0,81.0,81.0,100.0,1.0,CJ Jordan,Right_Hand,England,2022
CV Varun,10.0,25.0,49.0,51.02040816326531,0.5102040816326531,NA,NA,NA,2022
D Brevis,10.0,230.0,176.0,130.6818181818182,1.3068181818181819,NA,NA,NA,2022
D Padikkal,64.0,1559.0,1323.0,117.83824640967498,1.1783824640967497,NA,NA,NA,2022
D Pretorius,5.0,44.0,28.0,157.14285714285714,1.5714285714285714,NA,NA,NA,2022
DA Miller,123.0,2924.0,2171.0,134.68447719944726,1.3468447719944725,DA Miller,Left_Hand,South Africa,2022
DA Warner,184.0,6567.0,4849.0,135.4299855640338,1.3542998556403383,DA Warner,Left_Hand,Australia,2022
DJ Bravo,110.0,1560.0,1247.0,125.10024057738573,1.2510024057738574,DJ Bravo,Right_Hand,West Indies,2022
DJ Hooda,96.0,1466.0,1170.0,125.2991452991453,1.252991452991453,DJ Hooda,Right_Hand,India,2022
DJ Mitchell,15.0,351.0,274.0,128.1021897810219,1.281021897810219,NA,NA,NA,2022
DJ Willey,5.0,53.0,64.0,82.8125,0.828125,NA,NA,NA,2022
DP Conway,22.0,924.0,669.0,138.11659192825113,1.3811659192825112,NA,NA,NA,2022
DR Sams,13.0,44.0,48.0,91.66666666666666,0.9166666666666666,NA,NA,NA,2022
E Lewis,26.0,654.0,499.0,131.06212424849699,1.31062124248497,E Lewis,Left_Hand,NA,2022
F du Plessis,138.0,4571.0,3435.0,133.07132459970887,1.3307132459970887,F du Plessis,Right_Hand,South Africa,2022
FA Allen,3.0,14.0,19.0,73.68421052631578,0.7368421052631579,NA,NA,NA,2022
Fazalhaq Farooqi,2.0,3.0,13.0,23.076923076923077,0.23076923076923078,NA,NA,NA,2022
GJ Maxwell,128.0,2772.0,1842.0,150.4885993485342,1.504885993485342,GJ Maxwell,Right_Hand,Australia,2022
HE van der Dussen,3.0,22.0,25.0,88.0,0.88,NA,NA,NA,2022
HH Pandya,128.0,2534.0,1814.0,139.69128996692393,1.3969128996692393,HH Pandya,Right_Hand,India,2022
HR Shokeen,5.0,66.0,67.0,98.50746268656717,0.9850746268656716,NA,NA,NA,2022
HV Patel,37.0,249.0,214.0,116.35514018691589,1.1635514018691588,HV Patel,Right_Hand,India,2022
Harpreet Brar,24.0,233.0,201.0,115.92039800995025,1.1592039800995024,NA,NA,NA,2022
Harshit Rana,3.0,2.0,3.0,66.66666666666666,0.6666666666666666,NA,NA,NA,2022
Ishan Kishan,99.0,2644.0,1991.0,132.79758915118032,1.3279758915118032,Ishan Kishan,Left_Hand,India,2022
J Suchith,9.0,70.0,62.0,112.90322580645163,1.1290322580645162,J Suchith,Left_Hand,India,2022
JC Buttler,106.0,3583.0,2519.0,142.23898372369987,1.4223898372369987,JC Buttler,Right_Hand,England,2022
JD Unadkat,27.0,197.0,170.0,115.88235294117648,1.1588235294117648,JD Unadkat,Right_Hand,India,2022
JDS Neesham,10.0,92.0,93.0,98.9247311827957,0.989247311827957,JDS Neesham,Left_Hand,New Zealand,2022
JJ Bumrah,26.0,68.0,80.0,85.0,0.85,JJ Bumrah,Right_Hand,India,2022
JM Bairstow,50.0,1589.0,1132.0,140.37102473498234,1.4037102473498233,NA,NA,NA,2022
JM Sharma,36.0,730.0,501.0,145.70858283433134,1.4570858283433135,NA,NA,NA,2022
JO Holder,27.0,259.0,217.0,119.35483870967742,1.1935483870967742,JO Holder,Right_Hand,West Indies,2022
JR Hazlewood,6.0,19.0,29.0,65.51724137931035,0.6551724137931034,NA,NA,NA,2022
K Gowtham,27.0,247.0,159.0,155.34591194968556,1.5534591194968554,K Gowtham,Right_hand,NA,2022
K Kartikeya,2.0,9.0,13.0,69.23076923076923,0.6923076923076923,NA,NA,NA,2022
K Rabada,28.0,206.0,207.0,99.51690821256038,0.9951690821256038,K Rabada,Left_Hand,NA,2022
KA Pollard,168.0,3437.0,2447.0,140.45770331017573,1.4045770331017573,KA Pollard,Right_Hand,West Indies,2022
KD Karthik,233.0,4843.0,3687.0,131.35340385136968,1.3135340385136969,KD Karthik,Right_Hand,India,2022
KH Pandya,107.0,1647.0,1287.0,127.97202797202797,1.2797202797202798,KH Pandya,Left_Hand,India,2022
