POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
141,Mark Boucher KKR,6,4,3,2,5,6.00,6,100.00,0,0,0,0
142,Pinal Shah RR,5,2,1,0,5,5.00,5,100.00,0,0,1,0
143,Scott Styris CSK,5,2,1,1,5*,0.00,2,250.00,0,0,1,0
144,Muttiah Muralitharan KTK,5,5,1,1,5*,0.00,8,62.50,0,0,0,0
145,Brett Lee KKR,5,12,4,1,2*,1.66,9,55.55,0,0,0,0
146,Sridharan Sriram DC,4,1,1,0,4,4.00,7,57.14,0,0,0,0
147,Shalabh Srivastava PBKS,4,6,2,2,3*,0.00,3,133.33,0,0,0,0
148,Ishant Sharma DEC,4,12,5,5,1*,0.00,5,80.00,0,0,0,0
149,Lakshmipathy Balaji KKR,4,14,2,2,3*,0.00,2,200.00,0,0,0,0
150,Ryan Ninan RCB,3,2,1,0,3,3.00,6,50.00,0,0,0,0
151,Unmukt Chand DC,2,2,2,0,2,1.00,12,16.66,0,0,0,0
152,Ali Murtaza MI,2,5,1,1,2*,0.00,5,40.00,0,0,0,0
153,Dhawal Kulkarni MI,2,6,2,1,2,2.00,4,50.00,0,0,0,0
154,Shrikant Wagh PWI,2,7,2,0,2,1.00,3,66.66,0,0,0,0
155,Suraj Randiv CSK,2,8,1,0,2,2.00,4,50.00,0,0,0,0
156,RP Singh KTK,2,14,5,2,1*,0.66,4,50.00,0,0,0,0
157,Ravichandran Ashwin CSK,2,16,2,0,2,1.00,6,33.33,0,0,0,0
158,Ankeet Chavan RR,1,2,1,0,1,1.00,3,33.33,0,0,0,0
159,Umesh Yadav DC,1,7,2,1,1*,1.00,5,20.00,0,0,0,0
160,Amit Singh RR,1,9,2,0,1,0.50,4,25.00,0,0,0,0
161,Shanthakumaran Sreesanth KTK,1,9,3,1,1,0.50,9,11.11,0,0,0,0
