Player,Role,Nation,Team,Auction Price (in INR),Status
Ravi Bishnoi,Bowler,India,LSG,4 Crores,Retained
Mohsin Khan,Bowler,India,LSG,20 Lakhs,Retained
Mark Wood,Bowler,England,LSG,7.5 Crores,Retained
Marcus Stoinis,All-rounder,Australia,LSG,9.2 Crores,Retained
Kyle Mayers,All-rounder,West Indies,LSG,50 Lakhs,Retained
Ayush Badoni,All-rounder,India,LSG,20 Lakhs,Retained
Deepak Hooda,All-rounder,India,LSG,5.75 Crores,Retained
Krunal Pandya,All-rounder,India,LSG,8.25 Crores,Retained
Nicholas Pooran,WK-Batsman,West Indies,LSG,16 crore,Retained
Yash Thakur,Bowler,India,LSG,45 lakh,Retained
Amit Mishra,Bowler,India,LSG,50 lakh,Retained
Prerak Mankad,All-rounder,India,LSG,20 lakh,Retained
Naveen-ul-Haq,Bowler,Afghanistan,LSG,50 lakh,
Yudhvir Singh,All-rounder,India,LSG,20 lakh,
Devdutt Padikkal,Batsman,India,LSG,Traded from RR,Transferd
Krishnappa Gowthan,All-rounder,India,LSG,90 lakh,
Mayank Yadav,Bowler,India,LSG,20 Lakhs,Retained
Shivam Mavi,Bowler,India,LSG,6.4 Crores,Released
Arshin Kulkarni,All-rounder,India,LSG,20 Lakhs,
M. Siddharth,Bowler,India,LSG,2.40 Crore,
Ashton Turner,Batsman,Australia,LSG,1 Crore,
David Willey,All-rounder,England,LSG,2 Crore,Released
Arshad Khan,All-rounder,India,LSG,20 Lakhs,
Rohit Sharma,Batsman,India,MI,16 Cr,Retained
Suryakumar Yadav,Batsman,India,MI,8 Cr,
Tilak Varma,Batsman,India,MI,1.70 Cr,
Dewald Brevis,Batsman,India,MI,3 crores,Retained
Ishan Kishan,WK-Batsman,India,MI,15.25 crores,Retained
Kumar Kartikeya Singh,Bowler,India,MI,20 Lakhs,Retained
Jasprit Bumrah,Bowler,India,MI,12 Crores,Retained
Arjun Tendulkar,All-rounder,India,MI,30 Lakhs,Retained
Tim David,All-rounder,Singapore,MI,8.25 Crores,Retained
Akash Madhwal,Bowler,India,MI,20 lakhs,Retained
Jason Behrendorff,Bowler,Australia,MI,Traded from RCB,Retained
Piyush Chawla,Bowler,India,MI,50 Lakhs,Retained
Shams Mulani,All-rounder,India,MI,20 Lakhs,Retained
Nehal Wadhera,All-rounder,India,MI,20 Lakhs,Retained
Vishnu Vinod,WK-Batsman,India,MI,20 Lakhs,Retained
Romario Shepherd,All-rounder,West Indies,MI,Traded from LSG,Transferd
Hardik Pandya,All-rounder,India,MI,Traded from GT,Transferd
Gerald Coetzee,All-rounder,South Africa,MI,5 Crores,
Dilshan Madushanka,Bowler,Sri Lanka,MI,4.60 Crores,
Shreyas Gopal,Bowler,India,MI,20 Lakhs,
Nuwan Thushara,Bowler,Sri Lanka,MI,4.80 Crore,
Naman Dhir,All-rounder,India,MI,20 Lakhs,
Anshul Kamboj,All-rounder,India,MI,20 Lakhs,
Mohammad Nabi,All-rounder,Afghanistan,MI,1.5 Crore,
Shivalik Sharma,All-rounder,India,MI,20 Lakhs,
Shikhar Dhawan,Batsman,India,PBKS,8.25 Crores,Retained
Prabhsimran Singh,WK-Batsman,India,PBKS,60 Lakhs,Retained
Jitesh Sharma,WK-Batsman,India,PBKS,20 Lakhs,Retained
Jonny Bairstow,WK-Batsman,England,PBKS,6.75 Crores,Retained
Arshdeep Singh,Bowler,India,PBKS,4 Cr,Retained
Nathan Ellis,Bowler,Australia,PBKS,75 Lakhs,Retained
Harpreet Brar,Bowler,India,PBKS,3.80 Crores,Retained
Rahul Chahar,Bowler,India,PBKS,5.25 Crores,Retained
Kagiso Rabada,Bowler,South Africa,PBKS,9.25 Crores,Retained
Liam Livingstone,All-rounder,England,PBKS,11.50 Crores,Retained
Rishi Dhawan,All-rounder,India,PBKS,55 Lakhs,Retained
Atharva Taide,All-rounder,India,PBKS,20 Lakhs,Retained
Sam Curran,All-rounder,England,PBKS,18.50 crores,Retained
Sikandar Raza,All-rounder,Zimbabwe,PBKS,50 lakh,Retained
Harpreet Bhatia,Batsman,India,PBKS,40 lakh,Retained
Vidwath Kaverappa,Bowler,India,PBKS,20 lakh,Retained
Shivam Singh,All-rounder,India,PBKS,20 lakh,Retained
Harshal Patel,All-rounder,India,PBKS,11.75 Crore,Released
Chris Woakes,All-rounder,England,PBKS,4.20 Crore,
Ashutosh Sharma,All-rounder,India,PBKS,20 Lakh,
Vishwanath Pratap Singh,All-rounder,India,PBKS,20 Lakh,
Tanay Thayagarajann,All-rounder,India,PBKS,20 Lakh,
Shashank Singh,Batsman,India,PBKS,20 Lakh,
Prince Choudhary,Bowler,India,PBKS,20 Lakh,
Rilee Rossouw,Batsman,South Africa,PBKS,8 Crore,Released
Yashasvi Jaiswal,Batsman,India,RR,4 Crores,
Shimron Hetmyer,Batsman,West Indies,RR,8.50 Crores,Retained
Sanju Samson,WK-Batsman,India,RR,14 Cr,Retained
Jos Buttler,WK-Batsman,England,RR,10 Cr,Retained
Dhruv Jurel,WK-Batsman,India,RR,20 Lakhs,Retained
Navdeep Saini,Bowler,India,RR,2.60 Crores,Retained
Kuldeep Sen,Bowler,India,RR,20 Lakhs,Retained
Yuzvendra Chahal,Bowler,India,RR,6.50 Crores,Retained
Trent Boult,Bowler,New Zealand,RR,8 Crores,Retained
Riyan Parag,All-rounder,India,RR,3.80 Crores,Retained
Ravichandran Ashwin,All-rounder,India,RR,5 Crores,
Donovan Ferreira,WK-Batsman,South Africa,RR,50 lakh,Retained
Kunal Rathore,WK-Batsman,India,RR,20 lakh,Retained
Adam Zampa,Bowler,Australia,RR,1.5 crore,Retained
Sandeep Sharma,Bowler,India,RR,50 lakh,Retained
Avesh Khan,Bowler,India,RR,Traded from LSG,Transferd
Prashid Krishna,Bowler,India,RR,10 Crores,
Rovman Powell,Batsman,West Indies,RR,7.40 Crores,Released
Shubham Dubey,Batsman,India,RR,5.80 Cr,
Tom Kohler-Cadmore,WK-Batsman,England,RR,40 Lakh,
Abid Mushtaq,All-rounder,India,RR,50 Lakh,
Nandre Burger,Bowler,South Africa,RR,50 Lakh,
Virat Kohli,Batsman,India,RCB,15 CR,Retained
Suyash Prabhudessai,Batsman,India,RCB,30 Lakhs,Retained
Faf du Plessis,Batsman,South Africa,RCB,7 crores,
Vyshak Vijay Kumar,Bowler,India,RCB,20 Lakh,Retained
Anuj Rawat,WK-Batsman,India,RCB,3.40 crores,Retained
Dinesh Karthik,WK-Batsman,India,RCB,5.50 crores,Retained
Mohammed Siraj,Bowler,India,RCB,7 CR,Retained
Karn Sharma,Bowler,India,RCB,50 Lakhs,Retained
Akash Deep,Bowler,India,RCB,20 Lakhs,Retained
Glenn Maxwell,All-rounder,Australia,RCB,11 CR,Retained
Mahipal Lomror,All-rounder,India,RCB,95 Lakhs,Retained
