bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Mishra,4.0,84.0,109.0,6.0,18.166666666666668,7.785714285714286,14.0
A Nortje,8.0,187.0,198.0,12.0,16.5,6.352941176470588,15.583333333333334
AD Russell,8.0,122.0,189.0,11.0,17.181818181818183,9.295081967213115,11.090909090909092
AF Milne,4.0,87.0,135.0,4.0,33.75,9.310344827586206,21.75
AK Markram,2.0,25.0,23.0,0.0,0.0,5.52,0.0
AR Patel,12.0,285.0,315.0,16.0,19.6875,6.631578947368421,17.8125
AU Rashid,1.0,18.0,35.0,0.0,0.0,11.666666666666666,0.0
Abdul Samad,1.0,6.0,9.0,1.0,9.0,9.0,6.0
Abhishek Sharma,6.0,63.0,66.0,4.0,16.5,6.285714285714286,15.75
Akash Singh,1.0,24.0,39.0,0.0,0.0,9.75,0.0
Arshdeep Singh,12.0,263.0,348.0,20.0,17.4,7.939163498098859,13.15
Avesh Khan,16.0,383.0,466.0,27.0,17.25925925925926,7.300261096605744,14.185185185185185
B Kumar,11.0,259.0,337.0,6.0,56.166666666666664,7.806949806949808,43.166666666666664
BA Stokes,1.0,6.0,12.0,0.0,0.0,12.0,0.0
C Sakariya,14.0,334.0,434.0,14.0,31.0,7.796407185628743,23.857142857142858
CH Morris,11.0,262.0,396.0,17.0,23.294117647058822,9.068702290076336,15.411764705882353
CJ Jordan,4.0,74.0,103.0,4.0,25.75,8.35135135135135,18.5
CR Woakes,3.0,67.0,85.0,5.0,17.0,7.611940298507463,13.4
CV Varun,17.0,416.0,456.0,20.0,22.8,6.5769230769230775,20.8
DJ Bravo,11.0,221.0,264.0,15.0,17.6,7.167420814479637,14.733333333333333
DJ Hooda,7.0,96.0,136.0,2.0,68.0,8.5,48.0
DL Chahar,15.0,339.0,453.0,16.0,28.3125,8.017699115044248,21.1875
DR Sams,2.0,38.0,39.0,1.0,39.0,6.157894736842105,38.0
DS Kulkarni,1.0,26.0,48.0,0.0,0.0,11.076923076923078,0.0
DT Christian,9.0,104.0,156.0,4.0,39.0,9.0,26.0
FA Allen,3.0,67.0,90.0,1.0,90.0,8.059701492537314,67.0
GD Phillips,2.0,13.0,20.0,1.0,20.0,9.230769230769232,13.0
GHS Garton,5.0,97.0,136.0,3.0,45.333333333333336,8.412371134020617,32.333333333333336
GJ Maxwell,6.0,99.0,135.0,3.0,45.0,8.181818181818182,33.0
HV Patel,15.0,361.0,461.0,35.0,13.17142857142857,7.662049861495845,10.314285714285715
Harbhajan Singh,3.0,45.0,63.0,0.0,0.0,8.4,0.0
Harpreet Brar,7.0,141.0,142.0,5.0,28.4,6.042553191489362,28.2
I Sharma,3.0,72.0,98.0,1.0,98.0,8.166666666666666,72.0
IC Porel,1.0,26.0,42.0,1.0,42.0,9.692307692307693,26.0
Imran Tahir,1.0,26.0,16.0,3.0,5.333333333333333,3.6923076923076925,8.666666666666666
J Suchith,2.0,42.0,66.0,1.0,66.0,9.428571428571429,42.0
J Yadav,5.0,106.0,131.0,3.0,43.666666666666664,7.415094339622641,35.333333333333336
