bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Ashish Reddy,2.0,23.0,40.0,1.0,40.0,10.434782608695652,23.0
A Mishra,14.0,284.0,350.0,14.0,25.0,7.394366197183098,20.285714285714285
A Nehra,8.0,161.0,200.0,11.0,18.181818181818183,7.453416149068324,14.636363636363637
A Zampa,5.0,103.0,117.0,12.0,9.75,6.815533980582524,8.583333333333334
AB Dinda,9.0,192.0,236.0,13.0,18.153846153846153,7.375,14.76923076923077
AD Russell,12.0,224.0,301.0,19.0,15.842105263157896,8.0625,11.789473684210526
AF Milne,1.0,25.0,44.0,1.0,44.0,10.559999999999999,25.0
AR Patel,14.0,294.0,395.0,13.0,30.384615384615383,8.061224489795919,22.615384615384617
AS Rajpoot,4.0,72.0,101.0,3.0,33.666666666666664,8.416666666666666,24.0
Ankit Sharma,3.0,70.0,84.0,1.0,84.0,7.2,70.0
Anureet Singh,2.0,38.0,44.0,1.0,44.0,6.947368421052632,38.0
B Kumar,17.0,414.0,503.0,24.0,20.958333333333332,7.2898550724637685,17.25
BB Sran,14.0,312.0,420.0,14.0,30.0,8.076923076923077,22.285714285714285
BCJ Cutting,4.0,68.0,80.0,5.0,16.0,7.0588235294117645,13.6
Bipul Sharma,6.0,84.0,123.0,5.0,24.6,8.785714285714286,16.8
C Munro,2.0,12.0,15.0,0.0,0.0,7.5,0.0
CH Gayle,4.0,65.0,65.0,2.0,32.5,6.0,32.5
CH Morris,12.0,274.0,320.0,16.0,20.0,7.007299270072993,17.125
CJ Jordan,9.0,181.0,266.0,13.0,20.46153846153846,8.817679558011049,13.923076923076923
CR Brathwaite,8.0,143.0,192.0,9.0,21.333333333333332,8.055944055944057,15.88888888888889
D Wiese,1.0,27.0,49.0,0.0,0.0,10.88888888888889,0.0
DJ Bravo,15.0,348.0,502.0,19.0,26.42105263157895,8.655172413793103,18.31578947368421
DJ Hooda,6.0,80.0,97.0,3.0,32.333333333333336,7.2749999999999995,26.666666666666668
DL Chahar,2.0,33.0,42.0,0.0,0.0,7.636363636363637,0.0
DR Smith,8.0,113.0,154.0,8.0,19.25,8.176991150442479,14.125
DS Kulkarni,14.0,297.0,365.0,20.0,18.25,7.373737373737374,14.85
DW Steyn,1.0,13.0,17.0,0.0,0.0,7.846153846153847,0.0
GB Hogg,5.0,98.0,144.0,5.0,28.8,8.816326530612246,19.6
GJ Maxwell,7.0,55.0,81.0,0.0,0.0,8.836363636363638,0.0
Gurkeerat Singh,3.0,26.0,31.0,2.0,15.5,7.153846153846154,13.0
HH Pandya,10.0,106.0,155.0,3.0,51.666666666666664,8.773584905660377,35.333333333333336
HV Patel,5.0,90.0,147.0,2.0,73.5,9.8,45.0
Harbhajan Singh,14.0,300.0,402.0,9.0,44.666666666666664,8.04,33.333333333333336
I Sharma,4.0,97.0,151.0,3.0,50.333333333333336,9.340206185567009,32.333333333333336
IK Pathan,3.0,48.0,61.0,0.0,0.0,7.625,0.0
Imran Tahir,4.0,97.0,141.0,5.0,28.2,8.721649484536082,19.4
Iqbal Abdulla,8.0,155.0,216.0,7.0,30.857142857142858,8.361290322580645,22.142857142857142
J Suchith,1.0,14.0,31.0,0.0,0.0,13.285714285714285,0.0
J Yadav,5.0,104.0,125.0,2.0,62.5,7.211538461538462,52.0
JA Morkel,2.0,34.0,66.0,3.0,22.0,11.647058823529411,11.333333333333334
JD Unadkat,1.0,19.0,49.0,0.0,0.0,15.473684210526317,0.0
JJ Bumrah,14.0,322.0,413.0,18.0,22.944444444444443,7.695652173913044,17.88888888888889
JO Holder,4.0,83.0,105.0,3.0,35.0,7.590361445783132,27.666666666666668
JP Duminy,5.0,43.0,55.0,2.0,27.5,7.674418604651162,21.5
JP Faulkner,7.0,108.0,168.0,2.0,84.0,9.333333333333334,54.0
JW Hastings,2.0,42.0,37.0,2.0,18.5,5.285714285714286,21.0
KA Pollard,4.0,37.0,82.0,0.0,0.0,13.297297297297296,0.0
KC Cariappa,5.0,105.0,160.0,3.0,53.333333333333336,9.142857142857142,35.0
KH Pandya,11.0,194.0,238.0,7.0,34.0,7.360824742268041,27.714285714285715
KJ Abbott,5.0,102.0,182.0,2.0,91.0,10.705882352941176,51.0
KS Williamson,1.0,6.0,7.0,0.0,0.0,7.0,0.0
KV Sharma,5.0,100.0,174.0,1.0,174.0,10.44,100.0
KW Richardson,4.0,86.0,138.0,8.0,17.25,9.627906976744185,10.75
Kuldeep Yadav,3.0,74.0,102.0,7.0,14.571428571428571,8.27027027027027,10.571428571428571
M Ashwin,10.0,176.0,245.0,7.0,35.0,8.352272727272728,25.142857142857142
M Morkel,10.0,220.0,299.0,10.0,29.9,8.154545454545454,22.0
M Vijay,1.0,7.0,8.0,0.0,0.0,6.857142857142857,0.0
MC Henriques,17.0,318.0,418.0,14.0,29.857142857142858,7.886792452830188,22.714285714285715
MG Johnson,3.0,69.0,108.0,3.0,36.0,9.391304347826088,23.0
MJ McClenaghan,14.0,332.0,449.0,18.0,24.944444444444443,8.114457831325302,18.444444444444443
MM Sharma,14.0,304.0,410.0,16.0,25.625,8.092105263157896,19.0
MP Stoinis,7.0,140.0,203.0,9.0,22.555555555555557,8.700000000000001,15.555555555555555
MR Marsh,3.0,55.0,45.0,4.0,11.25,4.909090909090909,13.75
Mohammed Shami,8.0,156.0,252.0,8.0,31.5,9.692307692307692,19.5
Mustafizur Rahman,16.0,376.0,427.0,19.0,22.473684210526315,6.8138297872340425,19.789473684210527
N Rana,1.0,6.0,3.0,0.0,0.0,3.0,0.0
NLTC Perera,11.0,202.0,326.0,10.0,32.6,9.683168316831685,20.2
NM Coulter-Nile,4.0,93.0,120.0,4.0,30.0,7.741935483870968,23.25
P Kumar,16.0,319.0,408.0,10.0,40.8,7.673981191222571,31.9
P Negi,5.0,54.0,84.0,2.0,42.0,9.333333333333334,27.0
P Sahu,5.0,107.0,152.0,3.0,50.666666666666664,8.52336448598131,35.666666666666664
PJ Sangwan,2.0,25.0,49.0,0.0,0.0,11.76,0.0
PP Chawla,11.0,216.0,273.0,12.0,22.75,7.583333333333333,18.0
PV Tambe,7.0,97.0,143.0,5.0,28.6,8.845360824742267,19.4
Parvez Rasool,4.0,84.0,130.0,1.0,130.0,9.285714285714286,84.0
R Ashwin,14.0,278.0,321.0,11.0,29.181818181818183,6.928057553956834,25.272727272727273
R Bhatia,10.0,208.0,249.0,6.0,41.5,7.182692307692308,34.666666666666664
R Dhawan,2.0,45.0,56.0,2.0,28.0,7.466666666666667,22.5
R Sathish,3.0,38.0,59.0,2.0,29.5,9.31578947368421,19.0
R Vinay Kumar,3.0,57.0,65.0,4.0,16.25,6.842105263157895,14.25
RA Jadeja,14.0,247.0,320.0,9.0,35.55555555555556,7.773279352226721,27.444444444444443
RP Singh,4.0,76.0,114.0,3.0,38.0,9.0,25.333333333333332
S Aravind,9.0,182.0,222.0,11.0,20.181818181818183,7.318681318681319,16.545454545454547
S Gopal,1.0,18.0,19.0,0.0,0.0,6.333333333333333,0.0
S Kaushik,7.0,142.0,195.0,6.0,32.5,8.23943661971831,23.666666666666668
S Ladda,1.0,12.0,21.0,0.0,0.0,10.5,0.0
S Nadeem,4.0,91.0,127.0,3.0,42.333333333333336,8.373626373626374,30.333333333333332
