bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
MM Sharma,14.0,268.0,362.0,31.0,11.67741935483871,8.104477611940299,8.64516129032258
MP Stoinis,5.0,69.0,101.0,5.0,20.2,8.782608695652174,13.8
MR Marsh,8.0,132.0,172.0,12.0,14.333333333333334,7.818181818181818,11.0
MW Short,3.0,25.0,25.0,0.0,0.0,6.0,0.0
Mayank Dagar,3.0,66.0,83.0,1.0,83.0,7.545454545454546,66.0
Mohammed Shami,17.0,403.0,532.0,28.0,19.0,7.9205955334987586,14.392857142857142
Mohammed Siraj,14.0,329.0,395.0,20.0,19.75,7.203647416413373,16.45
Mohit Rathee,1.0,12.0,29.0,0.0,0.0,14.5,0.0
Mohsin Khan,4.0,64.0,111.0,3.0,37.0,10.40625,21.333333333333332
Mukesh Kumar,10.0,197.0,328.0,9.0,36.44444444444444,9.98984771573604,21.88888888888889
Mustafizur Rahman,2.0,42.0,79.0,1.0,79.0,11.285714285714286,42.0
N Rana,6.0,54.0,75.0,3.0,25.0,8.333333333333334,18.0
NA Saini,1.0,15.0,35.0,0.0,0.0,14.0,0.0
NT Ellis,10.0,233.0,342.0,13.0,26.307692307692307,8.806866952789699,17.923076923076923
Navdeep Saini,1.0,25.0,40.0,3.0,13.333333333333334,9.6,8.333333333333334
Naveen-ul-Haq,7.0,175.0,227.0,11.0,20.636363636363637,7.782857142857143,15.909090909090908
Nithish Kumar Reddy,2.0,31.0,54.0,0.0,0.0,10.451612903225806,0.0
Noor Ahmad,13.0,299.0,375.0,16.0,23.4375,7.525083612040134,18.6875
OC McCoy,1.0,7.0,13.0,0.0,0.0,11.142857142857142,0.0
P Dubey,1.0,19.0,19.0,1.0,19.0,6.0,19.0
PP Chawla,16.0,371.0,499.0,23.0,21.695652173913043,8.070080862533693,16.130434782608695
PWH de Silva,8.0,175.0,259.0,9.0,28.77777777777778,8.879999999999999,19.444444444444443
R Ashwin,13.0,309.0,370.0,15.0,24.666666666666668,7.184466019417476,20.6
R Dhawan,4.0,42.0,64.0,1.0,64.0,9.142857142857142,42.0
R Goyal,1.0,24.0,34.0,0.0,0.0,8.5,0.0
R Powell,1.0,14.0,18.0,1.0,18.0,7.7142857142857135,14.0
R Tewatia,2.0,14.0,15.0,0.0,0.0,6.428571428571428,0.0
RA Jadeja,16.0,348.0,432.0,20.0,21.6,7.448275862068965,17.4
RD Chahar,14.0,301.0,388.0,8.0,48.5,7.73421926910299,37.625
RJW Topley,1.0,12.0,14.0,1.0,14.0,7.0,12.0
RP Meredith,5.0,126.0,209.0,7.0,29.857142857142858,9.952380952380953,18.0
RS Hangargekar,2.0,43.0,60.0,3.0,20.0,8.372093023255813,14.333333333333334
Rashid Khan,17.0,407.0,557.0,28.0,19.892857142857142,8.211302211302211,14.535714285714286
Ravi Bishnoi,14.0,312.0,394.0,17.0,23.176470588235293,7.576923076923077,18.352941176470587
SM Curran,14.0,299.0,497.0,11.0,45.18181818181818,9.97324414715719,27.181818181818183
SN Thakur,9.0,132.0,222.0,7.0,31.714285714285715,10.090909090909092,18.857142857142858
SP Narine,14.0,296.0,389.0,11.0,35.36363636363637,7.885135135135135,26.90909090909091
SSB Magala,2.0,37.0,52.0,1.0,52.0,8.432432432432432,37.0
Sandeep Sharma,12.0,290.0,398.0,15.0,26.533333333333335,8.23448275862069,19.333333333333332
Shahbaz Ahmed,5.0,42.0,95.0,1.0,95.0,13.571428571428571,42.0
Sikandar Raza,6.0,76.0,124.0,3.0,41.333333333333336,9.789473684210527,25.333333333333332
Suyash Sharma,11.0,239.0,330.0,11.0,30.0,8.284518828451882,21.727272727272727
Swapnil Singh,2.0,12.0,18.0,0.0,0.0,9.0,0.0
T Natarajan,12.0,276.0,416.0,13.0,32.0,9.043478260869565,21.23076923076923
T Stubbs,1.0,12.0,14.0,1.0,14.0,7.0,12.0
TA Boult,10.0,235.0,316.0,13.0,24.307692307692307,8.068085106382979,18.076923076923077
TG Southee,2.0,36.0,79.0,2.0,39.5,13.166666666666666,18.0
TU Deshpande,16.0,368.0,580.0,24.0,24.166666666666668,9.456521739130434,15.333333333333334
Tilak Varma,1.0,7.0,7.0,0.0,0.0,6.0,0.0
UT Yadav,8.0,116.0,190.0,1.0,190.0,9.827586206896552,116.0
Umran Malik,8.0,124.0,219.0,6.0,36.5,10.596774193548386,20.666666666666668
VG Arora,5.0,107.0,149.0,5.0,29.8,8.355140186915888,21.4
Vijaykumar Vyshak,7.0,153.0,253.0,11.0,23.0,9.92156862745098,13.909090909090908
Vivrant Sharma,2.0,21.0,37.0,0.0,0.0,10.571428571428571,0.0
WD Parnell,7.0,157.0,237.0,9.0,26.333333333333332,9.05732484076433,17.444444444444443
Washington Sundar,7.0,106.0,146.0,3.0,48.666666666666664,8.264150943396226,35.333333333333336
YS Chahal,14.0,326.0,434.0,22.0,19.727272727272727,7.987730061349693,14.818181818181818
Yash Dayal,5.0,88.0,165.0,2.0,82.5,11.25,44.0
Yash Thakur,9.0,207.0,297.0,15.0,19.8,8.608695652173912,13.8
Yudhvir Singh,3.0,50.0,73.0,3.0,24.333333333333332,8.76,16.666666666666668
