bowler,season,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
V Kohli,2009,3.0,39.0,46.0,0.0,0.0,7.076923076923077,0.0
V Kohli,2010,4.0,33.0,51.0,0.0,0.0,9.272727272727273,0.0
V Kohli,2011,10.0,106.0,140.0,2.0,70.0,7.924528301886792,53.0
V Kohli,2012,2.0,18.0,49.0,0.0,0.0,16.333333333333332,0.0
V Kohli,2015,2.0,11.0,10.0,1.0,10.0,5.454545454545455,11.0
V Kohli,2016,1.0,8.0,13.0,0.0,0.0,9.75,0.0
V Pratap Singh,2012,9.0,211.0,300.0,12.0,25.0,8.530805687203792,17.583333333333332
V Sehwag,2008,7.0,67.0,134.0,3.0,44.666666666666664,12.0,22.333333333333332
V Sehwag,2009,1.0,7.0,25.0,0.0,0.0,21.428571428571427,0.0
V Sehwag,2010,3.0,34.0,23.0,3.0,7.666666666666667,4.0588235294117645,11.333333333333334
V Sehwag,2012,3.0,24.0,45.0,0.0,0.0,11.25,0.0
V Sehwag,2013,1.0,6.0,9.0,0.0,0.0,9.0,0.0
V Shankar,2014,1.0,6.0,19.0,0.0,0.0,19.0,0.0
V Shankar,2018,4.0,34.0,58.0,1.0,58.0,10.235294117647058,34.0
V Shankar,2019,5.0,52.0,70.0,2.0,35.0,8.076923076923077,26.0
V Shankar,2020,5.0,84.0,82.0,4.0,20.5,5.857142857142857,21.0
V Shankar,2021,5.0,72.0,100.0,4.0,25.0,8.333333333333334,18.0
V Shankar,2022,2.0,10.0,15.0,1.0,15.0,9.0,10.0
V Viyaskanth,2024,3.0,60.0,90.0,1.0,90.0,9.0,60.0
VG Arora,2022,5.0,110.0,165.0,4.0,41.25,9.0,27.5
VG Arora,2023,5.0,107.0,149.0,5.0,29.8,8.355140186915888,21.4
VG Arora,2024,10.0,201.0,284.0,11.0,25.818181818181817,8.477611940298507,18.272727272727273
VR Aaron,2011,3.0,77.0,83.0,2.0,41.5,6.467532467532467,38.5
VR Aaron,2012,8.0,192.0,279.0,9.0,31.0,8.71875,21.333333333333332
VR Aaron,2014,10.0,238.0,309.0,16.0,19.3125,7.789915966386555,14.875
VR Aaron,2015,5.0,113.0,180.0,4.0,45.0,9.557522123893806,28.25
VR Aaron,2016,8.0,155.0,229.0,2.0,114.5,8.864516129032259,77.5
VR Aaron,2017,6.0,129.0,170.0,7.0,24.285714285714285,7.906976744186046,18.428571428571427
VR Aaron,2019,5.0,74.0,128.0,4.0,32.0,10.378378378378377,18.5
VR Aaron,2020,3.0,54.0,96.0,0.0,0.0,10.666666666666666,0.0
VR Aaron,2022,2.0,33.0,53.0,2.0,26.5,9.636363636363637,16.5
VR Iyer,2021,4.0,54.0,71.0,3.0,23.666666666666668,7.888888888888889,18.0
VR Iyer,2022,4.0,24.0,46.0,0.0,0.0,11.5,0.0
VR Iyer,2024,1.0,6.0,28.0,0.0,0.0,28.0,0.0
VRV Singh,2008,13.0,296.0,425.0,15.0,28.333333333333332,8.614864864864865,19.733333333333334
VRV Singh,2009,4.0,54.0,83.0,1.0,83.0,9.222222222222221,54.0
VRV Singh,2010,1.0,21.0,41.0,0.0,0.0,11.714285714285714,0.0
VS Malik,2009,5.0,74.0,100.0,2.0,50.0,8.108108108108107,37.0
VS Malik,2010,3.0,46.0,66.0,1.0,66.0,8.608695652173912,46.0
VS Malik,2011,1.0,12.0,14.0,0.0,0.0,7.0,0.0
VS Malik,2013,3.0,61.0,59.0,2.0,29.5,5.803278688524591,30.5
VS Malik,2014,1.0,19.0,29.0,1.0,29.0,9.157894736842106,19.0
VS Yeligati,2008,2.0,32.0,61.0,0.0,0.0,11.4375,0.0
VY Mahesh,2008,11.0,266.0,380.0,17.0,22.352941176470587,8.571428571428571,15.647058823529411
VY Mahesh,2009,1.0,13.0,25.0,1.0,25.0,11.53846153846154,13.0
VY Mahesh,2010,1.0,19.0,23.0,1.0,23.0,7.2631578947368425,19.0
VY Mahesh,2012,4.0,61.0,83.0,3.0,27.666666666666668,8.163934426229508,20.333333333333332
Vijaykumar Vyshak,2023,7.0,153.0,253.0,11.0,23.0,9.92156862745098,13.909090909090908
Vijaykumar Vyshak,2024,4.0,90.0,143.0,6.0,23.833333333333332,9.533333333333333,15.0
Vivrant Sharma,2023,2.0,21.0,37.0,0.0,0.0,10.571428571428571,0.0
WA Mota,2008,2.0,20.0,36.0,1.0,36.0,10.799999999999999,20.0
WA Mota,2009,5.0,55.0,62.0,3.0,20.666666666666668,6.763636363636364,18.333333333333332
WD Parnell,2011,8.0,184.0,222.0,10.0,22.2,7.239130434782608,18.4
WD Parnell,2012,6.0,130.0,133.0,7.0,19.0,6.138461538461538,18.571428571428573
WD Parnell,2013,4.0,97.0,141.0,7.0,20.142857142857142,8.721649484536082,13.857142857142858
WD Parnell,2014,8.0,190.0,235.0,7.0,33.57142857142857,7.421052631578947,27.142857142857142
WD Parnell,2023,7.0,157.0,237.0,9.0,26.333333333333332,9.05732484076433,17.444444444444443
WG Jacks,2024,5.0,55.0,100.0,2.0,50.0,10.90909090909091,27.5
WPUJC Vaas,2008,5.0,103.0,146.0,6.0,24.333333333333332,8.504854368932039,17.166666666666668
WPUJC Vaas,2009,2.0,52.0,71.0,5.0,14.2,8.192307692307693,10.4
WPUJC Vaas,2010,6.0,133.0,147.0,11.0,13.363636363636363,6.63157894736842,12.090909090909092
Washington Sundar,2017,10.0,182.0,189.0,9.0,21.0,6.230769230769231,20.22222222222222
Washington Sundar,2018,7.0,122.0,194.0,4.0,48.5,9.540983606557377,30.5
Washington Sundar,2019,3.0,54.0,75.0,4.0,18.75,8.333333333333334,13.5
Washington Sundar,2020,15.0,302.0,300.0,9.0,33.333333333333336,5.960264900662251,33.55555555555556
Washington Sundar,2021,6.0,98.0,119.0,3.0,39.666666666666664,7.2857142857142865,32.666666666666664
Washington Sundar,2022,8.0,170.0,239.0,6.0,39.833333333333336,8.435294117647059,28.333333333333332
Washington Sundar,2023,7.0,106.0,146.0,3.0,48.666666666666664,8.264150943396226,35.333333333333336
Washington Sundar,2024,2.0,30.0,73.0,1.0,73.0,14.6,30.0
Y Gnaneswara Rao,2011,1.0,6.0,7.0,0.0,0.0,7.0,0.0
Y Nagar,2009,1.0,13.0,20.0,2.0,10.0,9.230769230769232,6.5
Y Nagar,2010,1.0,18.0,28.0,1.0,28.0,9.333333333333334,18.0
Y Nagar,2011,5.0,34.0,67.0,1.0,67.0,11.823529411764705,34.0
Y Nagar,2012,1.0,7.0,10.0,0.0,0.0,8.571428571428571,0.0
Y Prithvi Raj,2019,2.0,33.0,57.0,1.0,57.0,10.363636363636363,33.0
Y Venugopal Rao,2008,7.0,88.0,137.0,3.0,45.666666666666664,9.340909090909092,29.333333333333332
Y Venugopal Rao,2009,6.0,92.0,123.0,4.0,30.75,8.021739130434783,23.0
Y Venugopal Rao,2010,1.0,6.0,10.0,0.0,0.0,10.0,0.0
Y Venugopal Rao,2011,2.0,12.0,26.0,0.0,0.0,13.0,0.0
Y Venugopal Rao,2012,2.0,12.0,26.0,0.0,0.0,13.0,0.0
Y Venugopal Rao,2014,2.0,12.0,16.0,0.0,0.0,8.0,0.0
YA Abdulla,2009,9.0,180.0,244.0,14.0,17.428571428571427,8.133333333333333,12.857142857142858
YA Abdulla,2010,2.0,42.0,67.0,1.0,67.0,9.571428571428571,42.0
YBK Jaiswal,2022,1.0,1.0,6.0,0.0,0.0,36.0,0.0
YK Pathan,2008,13.0,170.0,233.0,10.0,23.3,8.223529411764707,17.0
YK Pathan,2009,11.0,221.0,248.0,7.0,35.42857142857143,6.733031674208144,31.571428571428573
YK Pathan,2010,11.0,214.0,254.0,6.0,42.333333333333336,7.121495327102804,35.666666666666664
YK Pathan,2011,14.0,241.0,244.0,13.0,18.76923076923077,6.0746887966804985,18.53846153846154
YK Pathan,2012,12.0,137.0,184.0,4.0,46.0,8.058394160583942,34.25
YK Pathan,2013,5.0,55.0,74.0,1.0,74.0,8.072727272727274,55.0
YK Pathan,2014,1.0,6.0,10.0,0.0,0.0,10.0,0.0
YK Pathan,2015,5.0,60.0,100.0,2.0,50.0,10.0,30.0
YK Pathan,2016,4.0,38.0,33.0,1.0,33.0,5.210526315789474,38.0
YK Pathan,2017,4.0,24.0,41.0,1.0,41.0,10.25,24.0
YK Pathan,2018,1.0,12.0,14.0,1.0,14.0,7.0,12.0
YK Pathan,2019,1.0,6.0,8.0,0.0,0.0,8.0,0.0
YS Chahal,2013,1.0,24.0,35.0,0.0,0.0,8.75,0.0
YS Chahal,2014,14.0,333.0,389.0,12.0,32.416666666666664,7.009009009009009,27.75
YS Chahal,2015,14.0,283.0,416.0,24.0,17.333333333333332,8.819787985865725,11.791666666666666
YS Chahal,2016,13.0,308.0,409.0,22.0,18.59090909090909,7.967532467532467,14.0
YS Chahal,2017,13.0,271.0,351.0,14.0,25.071428571428573,7.771217712177122,19.357142857142858
YS Chahal,2018,14.0,313.0,374.0,12.0,31.166666666666668,7.169329073482428,26.083333333333332
YS Chahal,2019,14.0,308.0,394.0,18.0,21.88888888888889,7.675324675324675,17.11111111111111
YS Chahal,2020,15.0,348.0,414.0,22.0,18.818181818181817,7.137931034482759,15.818181818181818
YS Chahal,2021,15.0,323.0,381.0,19.0,20.05263157894737,7.077399380804954,17.0
YS Chahal,2022,17.0,429.0,536.0,29.0,18.482758620689655,7.496503496503497,14.793103448275861
YS Chahal,2023,14.0,326.0,434.0,22.0,19.727272727272727,7.987730061349693,14.818181818181818
YS Chahal,2024,15.0,362.0,548.0,19.0,28.842105263157894,9.082872928176796,19.05263157894737
Yash Dayal,2022,9.0,205.0,296.0,13.0,22.76923076923077,8.663414634146342,15.76923076923077
Yash Dayal,2023,5.0,88.0,165.0,2.0,82.5,11.25,44.0
Yash Dayal,2024,14.0,322.0,472.0,16.0,29.5,8.79503105590062,20.125
Yash Thakur,2023,9.0,207.0,297.0,15.0,19.8,8.608695652173912,13.8
Yash Thakur,2024,10.0,225.0,405.0,12.0,33.75,10.8,18.75
Yudhvir Singh,2023,3.0,50.0,73.0,3.0,24.333333333333332,8.76,16.666666666666668
Yudhvir Singh,2024,2.0,24.0,52.0,1.0,52.0,13.0,24.0
Yuvraj Singh,2008,6.0,56.0,85.0,3.0,28.333333333333332,9.107142857142856,18.666666666666668
Yuvraj Singh,2009,9.0,121.0,142.0,6.0,23.666666666666668,7.041322314049586,20.166666666666668
Yuvraj Singh,2010,10.0,139.0,155.0,6.0,25.833333333333332,6.690647482014388,23.166666666666668
Yuvraj Singh,2011,13.0,175.0,193.0,9.0,21.444444444444443,6.6171428571428565,19.444444444444443
Yuvraj Singh,2013,10.0,133.0,152.0,6.0,25.333333333333332,6.857142857142857,22.166666666666668
Yuvraj Singh,2014,10.0,140.0,191.0,6.0,31.833333333333332,8.185714285714287,23.333333333333332
Yuvraj Singh,2015,6.0,55.0,75.0,1.0,75.0,8.181818181818182,55.0
Yuvraj Singh,2016,5.0,38.0,52.0,0.0,0.0,8.210526315789474,0.0
Yuvraj Singh,2017,2.0,12.0,23.0,2.0,11.5,11.5,6.0
Yuvraj Singh,2018,2.0,13.0,23.0,0.0,0.0,10.615384615384617,0.0
Z Khan,2008,11.0,258.0,369.0,15.0,24.6,8.581395348837209,17.2
Z Khan,2009,6.0,132.0,144.0,7.0,20.571428571428573,6.545454545454546,18.857142857142858
Z Khan,2010,14.0,295.0,388.0,18.0,21.555555555555557,7.891525423728814,16.38888888888889
Z Khan,2011,15.0,373.0,465.0,15.0,31.0,7.479892761394102,24.866666666666667
Z Khan,2012,15.0,370.0,468.0,21.0,22.285714285714285,7.58918918918919,17.61904761904762
Z Khan,2013,2.0,38.0,47.0,5.0,9.4,7.421052631578948,7.6
Z Khan,2014,6.0,138.0,156.0,6.0,26.0,6.782608695652174,23.0
Z Khan,2015,7.0,155.0,159.0,8.0,19.875,6.15483870967742,19.375
Z Khan,2016,12.0,271.0,341.0,12.0,28.416666666666668,7.549815498154982,22.583333333333332
Z Khan,2017,11.0,246.0,323.0,12.0,26.916666666666668,7.878048780487805,20.5
