bowler,season,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
SN Thakur,2021,16.0,388.0,531.0,22.0,24.136363636363637,8.211340206185566,17.636363636363637
SN Thakur,2022,14.0,315.0,485.0,16.0,30.3125,9.238095238095237,19.6875
SN Thakur,2023,9.0,132.0,222.0,7.0,31.714285714285715,10.090909090909092,18.857142857142858
SN Thakur,2024,9.0,197.0,315.0,5.0,63.0,9.593908629441623,39.4
SP Narine,2012,15.0,357.0,332.0,29.0,11.448275862068966,5.579831932773109,12.310344827586206
SP Narine,2013,16.0,387.0,353.0,26.0,13.576923076923077,5.4728682170542635,14.884615384615385
SP Narine,2014,16.0,392.0,432.0,22.0,19.636363636363637,6.612244897959184,17.818181818181817
SP Narine,2015,8.0,196.0,246.0,7.0,35.142857142857146,7.530612244897959,28.0
SP Narine,2016,11.0,262.0,310.0,13.0,23.846153846153847,7.099236641221374,20.153846153846153
SP Narine,2017,15.0,362.0,412.0,12.0,34.333333333333336,6.828729281767956,30.166666666666668
SP Narine,2018,16.0,371.0,473.0,17.0,27.823529411764707,7.649595687331536,21.823529411764707
SP Narine,2019,12.0,273.0,353.0,11.0,32.09090909090909,7.758241758241758,24.818181818181817
SP Narine,2020,10.0,230.0,308.0,6.0,51.333333333333336,8.034782608695652,38.333333333333336
SP Narine,2021,14.0,344.0,369.0,18.0,20.5,6.436046511627906,19.11111111111111
SP Narine,2022,14.0,342.0,319.0,10.0,31.9,5.5964912280701755,34.2
SP Narine,2023,14.0,296.0,389.0,11.0,35.36363636363637,7.885135135135135,26.90909090909091
SP Narine,2024,14.0,334.0,376.0,18.0,20.88888888888889,6.754491017964072,18.555555555555557
SPD Smith,2012,1.0,2.0,5.0,0.0,0.0,15.0,0.0
SR Tendulkar,2009,4.0,37.0,59.0,0.0,0.0,9.567567567567567,0.0
SR Watson,2008,15.0,344.0,395.0,20.0,19.75,6.88953488372093,17.2
SR Watson,2010,6.0,139.0,185.0,7.0,26.428571428571427,7.985611510791366,19.857142857142858
SR Watson,2011,10.0,226.0,248.0,8.0,31.0,6.5840707964601775,28.25
SR Watson,2012,7.0,144.0,165.0,6.0,27.5,6.875,24.0
SR Watson,2013,13.0,256.0,319.0,16.0,19.9375,7.4765625,16.0
SR Watson,2014,9.0,134.0,169.0,7.0,24.142857142857142,7.567164179104478,19.142857142857142
SR Watson,2015,10.0,193.0,273.0,8.0,34.125,8.487046632124352,24.125
SR Watson,2016,16.0,360.0,490.0,23.0,21.304347826086957,8.166666666666666,15.652173913043478
SR Watson,2017,8.0,165.0,246.0,5.0,49.2,8.945454545454545,33.0
SR Watson,2018,11.0,176.0,252.0,7.0,36.0,8.590909090909092,25.142857142857142
SS Agarwal,2017,1.0,24.0,42.0,1.0,42.0,10.5,24.0
SS Cottrell,2020,6.0,131.0,177.0,6.0,29.5,8.106870229007635,21.833333333333332
SS Iyer,2022,1.0,6.0,7.0,0.0,0.0,7.0,0.0
SS Mundhe,2011,1.0,7.0,6.0,1.0,6.0,5.142857142857142,7.0
SS Sarkar,2009,2.0,25.0,34.0,1.0,34.0,8.16,25.0
SSB Magala,2023,2.0,37.0,52.0,1.0,52.0,8.432432432432432,37.0
ST Jayasuriya,2008,8.0,127.0,163.0,5.0,32.6,7.700787401574803,25.4
ST Jayasuriya,2009,9.0,119.0,165.0,8.0,20.625,8.319327731092438,14.875
ST Jayasuriya,2010,4.0,55.0,68.0,3.0,22.666666666666668,7.418181818181819,18.333333333333332
