bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Badoni,2.0,12.0,12.0,2.0,6.0,6.0,6.0
A Nortje,6.0,143.0,219.0,9.0,24.333333333333332,9.18881118881119,15.88888888888889
AD Russell,13.0,176.0,282.0,21.0,13.428571428571429,9.613636363636363,8.380952380952381
AF Milne,1.0,15.0,19.0,0.0,0.0,7.6,0.0
AJ Tye,3.0,69.0,113.0,3.0,37.666666666666664,9.826086956521738,23.0
AK Markram,4.0,36.0,64.0,1.0,64.0,10.666666666666666,36.0
AR Patel,13.0,261.0,323.0,6.0,53.833333333333336,7.425287356321839,43.5
AS Joseph,9.0,185.0,269.0,8.0,33.625,8.724324324324325,23.125
AS Roy,2.0,42.0,55.0,1.0,55.0,7.857142857142857,42.0
Abdul Samad,1.0,6.0,8.0,0.0,0.0,8.0,0.0
Abhishek Sharma,3.0,24.0,39.0,0.0,0.0,9.75,0.0
Akash Deep,5.0,119.0,206.0,6.0,34.333333333333336,10.38655462184874,19.833333333333332
Aman Hakim Khan,1.0,6.0,13.0,0.0,0.0,13.0,0.0
Arshdeep Singh,14.0,317.0,402.0,12.0,33.5,7.608832807570978,26.416666666666668
Avesh Khan,13.0,300.0,423.0,19.0,22.263157894736842,8.46,15.789473684210526
B Kumar,14.0,330.0,394.0,13.0,30.307692307692307,7.163636363636364,25.384615384615383
Basil Thampi,5.0,102.0,158.0,5.0,31.6,9.294117647058824,20.4
C Sakariya,3.0,71.0,87.0,3.0,29.0,7.352112676056338,23.666666666666668
CJ Jordan,4.0,80.0,136.0,3.0,45.333333333333336,10.2,26.666666666666668
CV Varun,11.0,245.0,338.0,6.0,56.333333333333336,8.277551020408163,40.833333333333336
D Brevis,1.0,3.0,8.0,1.0,8.0,16.0,3.0
D Pretorius,6.0,138.0,213.0,7.0,30.428571428571427,9.26086956521739,19.714285714285715
DG Nalkande,2.0,33.0,59.0,2.0,29.5,10.727272727272727,16.5
DJ Bravo,10.0,229.0,303.0,17.0,17.823529411764707,7.938864628820961,13.470588235294118
DJ Hooda,2.0,24.0,43.0,1.0,43.0,10.75,24.0
DJ Mitchell,2.0,13.0,27.0,0.0,0.0,12.461538461538462,0.0
DJ Willey,4.0,66.0,75.0,1.0,75.0,6.818181818181818,66.0
DR Sams,11.0,274.0,375.0,14.0,26.785714285714285,8.211678832116789,19.571428571428573
FA Allen,1.0,24.0,46.0,1.0,46.0,11.5,24.0
Fazalhaq Farooqi,3.0,76.0,110.0,2.0,55.0,8.68421052631579,38.0
GJ Maxwell,10.0,146.0,166.0,8.0,20.75,6.821917808219179,18.25
HH Pandya,10.0,189.0,226.0,8.0,28.25,7.174603174603175,23.625
HR Shokeen,5.0,94.0,130.0,2.0,65.0,8.297872340425533,47.0
HV Patel,15.0,338.0,421.0,21.0,20.047619047619047,7.4733727810650885,16.095238095238095
Harpreet Brar,5.0,100.0,148.0,4.0,37.0,8.879999999999999,25.0
Harshit Rana,2.0,31.0,52.0,1.0,52.0,10.064516129032258,31.0
J Suchith,5.0,115.0,141.0,7.0,20.142857142857142,7.356521739130434,16.428571428571427
JD Unadkat,5.0,123.0,191.0,7.0,27.285714285714285,9.317073170731707,17.571428571428573
JDS Neesham,1.0,18.0,29.0,0.0,0.0,9.666666666666666,0.0
JJ Bumrah,14.0,327.0,392.0,16.0,24.5,7.192660550458716,20.4375
JO Holder,12.0,266.0,399.0,16.0,24.9375,9.0,16.625
JR Hazlewood,12.0,289.0,380.0,21.0,18.095238095238095,7.889273356401384,13.761904761904763
K Gowtham,4.0,72.0,101.0,5.0,20.2,8.416666666666666,14.4
K Kartikeya,4.0,78.0,103.0,5.0,20.6,7.923076923076923,15.6
K Rabada,13.0,303.0,414.0,23.0,18.0,8.198019801980198,13.173913043478262
KA Pollard,6.0,87.0,130.0,4.0,32.5,8.96551724137931,21.75
KH Pandya,12.0,232.0,269.0,11.0,24.454545454545453,6.956896551724139,21.09090909090909
KK Ahmed,10.0,242.0,315.0,16.0,19.6875,7.8099173553719,15.125
KL Nagarkoti,1.0,13.0,29.0,0.0,0.0,13.384615384615385,0.0
KR Sen,7.0,157.0,240.0,8.0,30.0,9.171974522292993,19.625
Kartik Tyagi,2.0,54.0,79.0,1.0,79.0,8.777777777777779,54.0
