bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Kumble,16.0,389.0,422.0,19.0,22.210526315789473,6.508997429305913,20.473684210526315
A Mishra,14.0,329.0,371.0,20.0,18.55,6.76595744680851,16.45
A Mithun,1.0,20.0,39.0,1.0,39.0,11.7,20.0
A Nehra,4.0,85.0,102.0,6.0,17.0,7.2,14.166666666666666
A Symonds,16.0,325.0,385.0,13.0,29.615384615384617,7.107692307692308,25.0
A Uniyal,2.0,38.0,67.0,3.0,22.333333333333332,10.578947368421053,12.666666666666666
AA Jhunjhunwala,5.0,39.0,69.0,0.0,0.0,10.615384615384615,0.0
AB Agarkar,7.0,136.0,207.0,4.0,51.75,9.13235294117647,34.0
AB Dinda,7.0,144.0,155.0,12.0,12.916666666666666,6.458333333333333,12.0
AB McDonald,4.0,85.0,138.0,8.0,17.25,9.741176470588236,10.625
AC Voges,7.0,56.0,76.0,1.0,76.0,8.142857142857142,56.0
AD Mascarenhas,2.0,48.0,66.0,4.0,16.5,8.25,12.0
AD Mathews,12.0,230.0,317.0,8.0,39.625,8.269565217391303,28.75
AG Murtaza,3.0,73.0,93.0,4.0,23.25,7.6438356164383565,18.25
AJ Finch,1.0,7.0,5.0,0.0,0.0,4.285714285714286,0.0
AN Ahmed,1.0,14.0,26.0,0.0,0.0,11.142857142857142,0.0
AP Dole,3.0,73.0,114.0,5.0,22.8,9.36986301369863,14.6
B Akhil,1.0,6.0,6.0,0.0,0.0,6.0,0.0
B Lee,4.0,91.0,154.0,0.0,0.0,10.153846153846155,0.0
BAW Mendis,2.0,50.0,68.0,2.0,34.0,8.16,25.0
BJ Hodge,4.0,30.0,41.0,2.0,20.5,8.2,15.0
Bipul Sharma,4.0,60.0,94.0,4.0,23.5,9.4,15.0
C Ganapathy,1.0,6.0,13.0,0.0,0.0,13.0,0.0
CH Gayle,6.0,102.0,153.0,4.0,38.25,9.0,25.5
CK Langeveldt,3.0,70.0,92.0,5.0,18.4,7.885714285714286,14.0
CL White,1.0,7.0,19.0,0.0,0.0,16.285714285714285,0.0
CRD Fernando,5.0,121.0,142.0,7.0,20.285714285714285,7.041322314049586,17.285714285714285
DE Bollinger,8.0,193.0,213.0,13.0,16.384615384615383,6.6217616580310885,14.846153846153847
DJ Bravo,10.0,162.0,231.0,5.0,46.2,8.555555555555555,32.4
DJ Hussey,5.0,60.0,81.0,0.0,0.0,8.1,0.0
DL Vettori,3.0,72.0,98.0,3.0,32.666666666666664,8.166666666666666,24.0
DP Nannes,9.0,218.0,235.0,11.0,21.363636363636363,6.46788990825688,19.818181818181817
DR Smith,2.0,23.0,36.0,1.0,36.0,9.391304347826086,23.0
DS Kulkarni,1.0,25.0,40.0,1.0,40.0,9.6,25.0
DW Steyn,15.0,382.0,415.0,17.0,24.41176470588235,6.518324607329843,22.470588235294116
FY Fazal,2.0,12.0,20.0,1.0,20.0,10.0,12.0
Harbhajan Singh,14.0,334.0,385.0,20.0,19.25,6.916167664670659,16.7
Harmeet Singh,8.0,151.0,177.0,10.0,17.7,7.033112582781457,15.1
I Sharma,7.0,160.0,242.0,7.0,34.57142857142857,9.075,22.857142857142858
IK Pathan,14.0,290.0,435.0,17.0,25.58823529411765,9.0,17.058823529411764
Iqbal Abdulla,3.0,51.0,62.0,2.0,31.0,7.294117647058823,25.5
J Theron,7.0,158.0,204.0,9.0,22.666666666666668,7.746835443037975,17.555555555555557
JA Morkel,14.0,295.0,410.0,14.0,29.285714285714285,8.338983050847459,21.071428571428573
JD Unadkat,3.0,62.0,85.0,4.0,21.25,8.225806451612902,15.5
JH Kallis,16.0,350.0,484.0,15.0,32.266666666666666,8.297142857142857,23.333333333333332
JM Kemp,5.0,47.0,58.0,3.0,19.333333333333332,7.404255319148937,15.666666666666666
JP Duminy,2.0,33.0,37.0,1.0,37.0,6.7272727272727275,33.0
Jaskaran Singh,6.0,92.0,142.0,6.0,23.666666666666668,9.26086956521739,15.333333333333334
Joginder Sharma,3.0,51.0,89.0,2.0,44.5,10.470588235294118,25.5
K Goel,1.0,6.0,7.0,0.0,0.0,7.0,0.0
KA Pollard,12.0,233.0,276.0,17.0,16.235294117647058,7.1072961373390555,13.705882352941176
KAJ Roach,2.0,52.0,80.0,0.0,0.0,9.230769230769232,0.0
KP Appanna,2.0,43.0,51.0,3.0,17.0,7.116279069767441,14.333333333333334
KP Pietersen,6.0,60.0,77.0,3.0,25.666666666666668,7.7,20.0
Kamran Khan,3.0,38.0,53.0,4.0,13.25,8.368421052631579,9.5
L Ablish,2.0,27.0,37.0,5.0,7.4,8.222222222222221,5.4
L Balaji,7.0,147.0,214.0,10.0,21.4,8.73469387755102,14.7
LR Shukla,4.0,72.0,108.0,3.0,36.0,9.0,24.0
M Kartik,10.0,238.0,261.0,10.0,26.1,6.57983193277311,23.8
M Morkel,2.0,46.0,66.0,0.0,0.0,8.608695652173912,0.0
M Muralitharan,12.0,306.0,356.0,16.0,22.25,6.980392156862745,19.125
MB Parmar,1.0,19.0,33.0,0.0,0.0,10.421052631578949,0.0
MC Henriques,1.0,24.0,35.0,1.0,35.0,8.75,24.0
MF Maharoof,7.0,149.0,210.0,10.0,21.0,8.456375838926174,14.9
MK Tiwary,1.0,7.0,11.0,1.0,11.0,9.428571428571429,7.0
MM Patel,4.0,78.0,118.0,5.0,23.6,9.076923076923077,15.6
MR Marsh,3.0,64.0,89.0,2.0,44.5,8.34375,32.0
MS Gony,3.0,51.0,92.0,1.0,92.0,10.823529411764707,51.0
ND Doshi,1.0,25.0,17.0,1.0,17.0,4.08,25.0
NLTC Perera,1.0,6.0,19.0,0.0,0.0,19.0,0.0
P Kumar,12.0,288.0,392.0,12.0,32.666666666666664,8.166666666666666,24.0
PD Collingwood,6.0,90.0,101.0,5.0,20.2,6.733333333333333,18.0
PJ Sangwan,8.0,199.0,260.0,9.0,28.88888888888889,7.839195979899498,22.11111111111111
PP Chawla,14.0,296.0,371.0,13.0,28.53846153846154,7.52027027027027,22.76923076923077
PP Ojha,16.0,360.0,439.0,22.0,19.954545454545453,7.316666666666666,16.363636363636363
Pankaj Singh,2.0,51.0,83.0,2.0,41.5,9.764705882352942,25.5
R Ashwin,12.0,297.0,308.0,14.0,22.0,6.222222222222222,21.214285714285715
R Bhatia,5.0,98.0,136.0,3.0,45.333333333333336,8.326530612244898,32.666666666666664
R McLaren,10.0,215.0,281.0,5.0,56.2,7.841860465116278,43.0
R Sathish,4.0,51.0,81.0,3.0,27.0,9.529411764705882,17.0
R Sharma,6.0,126.0,170.0,6.0,28.333333333333332,8.095238095238095,21.0
R Vinay Kumar,14.0,284.0,404.0,19.0,21.263157894736842,8.535211267605634,14.947368421052632
RE van der Merwe,1.0,27.0,27.0,2.0,13.5,6.0,13.5
RG Sharma,9.0,119.0,159.0,2.0,79.5,8.016806722689076,59.5
RJ Harris,8.0,195.0,239.0,15.0,15.933333333333334,7.3538461538461535,13.0
RP Singh,12.0,266.0,385.0,14.0,27.5,8.68421052631579,19.0
RR Powar,7.0,144.0,163.0,4.0,40.75,6.791666666666667,36.0
RS Bopara,5.0,82.0,132.0,5.0,26.4,9.658536585365853,16.4
RS Gavaskar,1.0,6.0,8.0,0.0,0.0,8.0,0.0
S Ladda,5.0,92.0,144.0,4.0,36.0,9.391304347826086,23.0
S Narwal,5.0,99.0,186.0,6.0,31.0,11.272727272727273,16.5
S Sreesanth,6.0,128.0,191.0,5.0,38.2,8.953125,25.6
S Sriram,1.0,12.0,24.0,0.0,0.0,12.0,0.0
S Tyagi,6.0,102.0,161.0,1.0,161.0,9.470588235294118,102.0
SB Jakati,11.0,232.0,300.0,15.0,20.0,7.758620689655173,15.466666666666667
SB Wagh,1.0,6.0,16.0,1.0,16.0,16.0,6.0
SC Ganguly,3.0,25.0,43.0,0.0,0.0,10.319999999999999,0.0
SE Bond,8.0,191.0,225.0,9.0,25.0,7.068062827225131,21.22222222222222
SJ Srivastava,8.0,178.0,257.0,6.0,42.833333333333336,8.662921348314606,29.666666666666668
SK Raina,12.0,147.0,181.0,7.0,25.857142857142858,7.387755102040816,21.0
SK Trivedi,10.0,218.0,266.0,13.0,20.46153846153846,7.321100917431192,16.76923076923077
SK Warne,14.0,305.0,389.0,12.0,32.416666666666664,7.6524590163934425,25.416666666666668
