bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Mishra,14.0,324.0,369.0,19.0,19.42105263157895,6.833333333333333,17.05263157894737
A Mithun,12.0,221.0,325.0,6.0,54.166666666666664,8.823529411764705,36.833333333333336
A Singh,9.0,175.0,222.0,10.0,22.2,7.611428571428571,17.5
A Symonds,3.0,24.0,41.0,1.0,41.0,10.25,24.0
AA Chavan,2.0,30.0,31.0,0.0,0.0,6.2,0.0
AA Jhunjhunwala,2.0,13.0,22.0,0.0,0.0,10.153846153846155,0.0
AA Kazi,1.0,13.0,21.0,1.0,21.0,9.692307692307693,13.0
AB Agarkar,7.0,164.0,236.0,9.0,26.22222222222222,8.634146341463415,18.22222222222222
AB Dinda,5.0,107.0,159.0,5.0,31.8,8.915887850467291,21.4
AB McDonald,1.0,12.0,23.0,0.0,0.0,11.5,0.0
AC Thomas,11.0,240.0,300.0,11.0,27.272727272727273,7.5,21.818181818181817
AG Murtaza,5.0,122.0,122.0,5.0,24.4,6.0,24.4
AJ Finch,1.0,13.0,13.0,0.0,0.0,6.0,0.0
AL Menaria,9.0,93.0,121.0,2.0,60.5,7.806451612903226,46.5
AM Nayar,6.0,63.0,95.0,2.0,47.5,9.047619047619047,31.5
AM Salvi,2.0,50.0,67.0,3.0,22.333333333333332,8.04,16.666666666666668
AN Ahmed,6.0,128.0,178.0,7.0,25.428571428571427,8.34375,18.285714285714285
AS Raut,1.0,6.0,8.0,0.0,0.0,8.0,0.0
AUK Pathan,2.0,35.0,49.0,0.0,0.0,8.4,0.0
Anand Rajan,2.0,35.0,50.0,5.0,10.0,8.571428571428571,7.0
B Akhil,1.0,13.0,22.0,0.0,0.0,10.153846153846155,0.0
B Chipli,1.0,6.0,20.0,0.0,0.0,20.0,0.0
B Kumar,4.0,67.0,68.0,3.0,22.666666666666668,6.089552238805971,22.333333333333332
B Lee,12.0,284.0,349.0,8.0,43.625,7.373239436619718,35.5
BA Bhatt,8.0,172.0,233.0,9.0,25.88888888888889,8.127906976744185,19.11111111111111
BJ Hodge,4.0,67.0,77.0,8.0,9.625,6.895522388059702,8.375
Bipul Sharma,4.0,78.0,80.0,5.0,16.0,6.153846153846154,15.6
CH Gayle,12.0,225.0,262.0,9.0,29.11111111111111,6.986666666666666,25.0
CK Langeveldt,3.0,70.0,92.0,5.0,18.4,7.885714285714286,14.0
DB Ravi Teja,1.0,6.0,9.0,0.0,0.0,9.0,0.0
DE Bollinger,13.0,294.0,343.0,20.0,17.15,7.0,14.7
DJ Bravo,6.0,129.0,159.0,6.0,26.5,7.395348837209302,21.5
DJ Hussey,2.0,18.0,38.0,1.0,38.0,12.666666666666666,18.0
DL Vettori,13.0,312.0,315.0,13.0,24.23076923076923,6.0576923076923075,24.0
DP Nannes,2.0,25.0,31.0,2.0,15.5,7.4399999999999995,12.5
DS Kulkarni,6.0,126.0,156.0,6.0,26.0,7.428571428571429,21.0
DT Christian,14.0,291.0,357.0,11.0,32.45454545454545,7.360824742268041,26.454545454545453
DW Steyn,12.0,286.0,304.0,14.0,21.714285714285715,6.377622377622378,20.428571428571427
Harbhajan Singh,15.0,328.0,373.0,16.0,23.3125,6.823170731707317,20.5
Harmeet Singh,2.0,44.0,53.0,3.0,17.666666666666668,7.2272727272727275,14.666666666666666
I Malhotra,1.0,6.0,23.0,0.0,0.0,23.0,0.0
I Sharma,12.0,275.0,324.0,11.0,29.454545454545453,7.069090909090908,25.0
IK Pathan,13.0,288.0,353.0,13.0,27.153846153846153,7.354166666666667,22.153846153846153
Iqbal Abdulla,15.0,305.0,313.0,18.0,17.38888888888889,6.157377049180328,16.944444444444443
J Botha,10.0,219.0,242.0,7.0,34.57142857142857,6.63013698630137,31.285714285714285
J Syed Mohammad,5.0,91.0,128.0,5.0,25.6,8.43956043956044,18.2
JA Morkel,14.0,280.0,390.0,16.0,24.375,8.357142857142858,17.5
JD Ryder,7.0,94.0,119.0,5.0,23.8,7.595744680851064,18.8
JD Unadkat,6.0,111.0,151.0,6.0,25.166666666666668,8.162162162162161,18.5
JDP Oram,2.0,24.0,46.0,1.0,46.0,11.5,24.0
JE Taylor,5.0,122.0,167.0,6.0,27.833333333333332,8.213114754098362,20.333333333333332
JEC Franklin,6.0,63.0,99.0,3.0,33.0,9.428571428571429,21.0
JH Kallis,9.0,150.0,170.0,9.0,18.88888888888889,6.8,16.666666666666668
JJ van der Wath,3.0,76.0,134.0,3.0,44.666666666666664,10.578947368421053,25.333333333333332
JP Duminy,8.0,111.0,149.0,4.0,37.25,8.054054054054054,27.75
JP Faulkner,1.0,12.0,10.0,1.0,10.0,5.0,12.0
JR Hopes,9.0,198.0,277.0,7.0,39.57142857142857,8.393939393939394,28.285714285714285
Joginder Sharma,1.0,20.0,34.0,0.0,0.0,10.2,0.0
KA Pollard,16.0,270.0,367.0,13.0,28.23076923076923,8.155555555555555,20.76923076923077
