bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Kumble,10.0,236.0,314.0,8.0,39.25,7.983050847457626,29.5
A Mishra,6.0,123.0,140.0,11.0,12.727272727272727,6.829268292682927,11.181818181818182
A Nehra,14.0,280.0,357.0,14.0,25.5,7.65,20.0
A Nel,1.0,18.0,31.0,1.0,31.0,10.333333333333334,18.0
A Symonds,3.0,44.0,106.0,0.0,0.0,14.454545454545455,0.0
AA Noffke,1.0,25.0,41.0,1.0,41.0,9.84,25.0
AB Agarkar,9.0,168.0,211.0,8.0,26.375,7.535714285714286,21.0
AB Dinda,12.0,245.0,266.0,11.0,24.181818181818183,6.514285714285714,22.272727272727273
AD Mascarenhas,1.0,25.0,31.0,2.0,15.5,7.4399999999999995,12.5
AM Nayar,5.0,43.0,69.0,1.0,69.0,9.627906976744185,43.0
Abdur Razzak,1.0,14.0,29.0,0.0,0.0,12.428571428571427,0.0
B Akhil,6.0,105.0,138.0,3.0,46.0,7.885714285714286,35.0
B Geeves,2.0,49.0,91.0,2.0,45.5,11.142857142857144,24.5
B Lee,4.0,99.0,118.0,5.0,23.6,7.151515151515151,19.8
BAW Mendis,1.0,24.0,24.0,1.0,24.0,6.0,24.0
CK Kapugedera,3.0,17.0,49.0,0.0,0.0,17.294117647058822,0.0
CL White,1.0,7.0,24.0,0.0,0.0,20.57142857142857,0.0
CRD Fernando,5.0,128.0,164.0,12.0,13.666666666666666,7.6875,10.666666666666666
D Kalyankrishna,3.0,50.0,88.0,2.0,44.0,10.559999999999999,25.0
D Salunkhe,5.0,51.0,80.0,1.0,80.0,9.411764705882353,51.0
DB Ravi Teja,1.0,12.0,19.0,1.0,19.0,9.5,12.0
DJ Bravo,9.0,181.0,239.0,11.0,21.727272727272727,7.922651933701657,16.454545454545453
DJ Hussey,5.0,79.0,134.0,3.0,44.666666666666664,10.177215189873419,26.333333333333332
DJ Thornely,4.0,44.0,40.0,3.0,13.333333333333334,5.454545454545455,14.666666666666666
DL Vettori,2.0,48.0,54.0,2.0,27.0,6.75,24.0
DNT Zoysa,3.0,69.0,100.0,2.0,50.0,8.695652173913043,34.5
DP Vijaykumar,9.0,159.0,205.0,4.0,51.25,7.735849056603773,39.75
DR Smith,4.0,69.0,83.0,5.0,16.6,7.217391304347826,13.8
DS Kulkarni,10.0,193.0,242.0,13.0,18.615384615384617,7.523316062176167,14.846153846153847
DW Steyn,10.0,247.0,265.0,13.0,20.384615384615383,6.437246963562753,19.0
GD McGrath,14.0,329.0,366.0,14.0,26.142857142857142,6.674772036474164,23.5
