bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Ashish Reddy,5.0,41.0,71.0,3.0,23.666666666666668,10.390243902439025,13.666666666666666
A Chandila,8.0,150.0,158.0,6.0,26.333333333333332,6.32,25.0
A Mishra,17.0,376.0,395.0,24.0,16.458333333333332,6.303191489361702,15.666666666666666
A Mithun,1.0,25.0,37.0,1.0,37.0,8.879999999999999,25.0
A Nehra,10.0,221.0,319.0,13.0,24.53846153846154,8.660633484162895,17.0
AA Chavan,3.0,56.0,63.0,1.0,63.0,6.75,56.0
AB Agarkar,4.0,63.0,93.0,0.0,0.0,8.857142857142858,0.0
AB Dinda,13.0,304.0,466.0,18.0,25.88888888888889,9.197368421052632,16.88888888888889
AB McDonald,1.0,12.0,17.0,1.0,17.0,8.5,12.0
AC Gilchrist,1.0,1.0,0.0,1.0,0.0,0.0,1.0
AD Mascarenhas,1.0,24.0,25.0,0.0,0.0,6.25,0.0
AD Mathews,10.0,188.0,245.0,6.0,40.833333333333336,7.819148936170213,31.333333333333332
AD Russell,3.0,44.0,68.0,0.0,0.0,9.272727272727273,0.0
AG Murtaza,3.0,62.0,96.0,3.0,32.0,9.29032258064516,20.666666666666668
AJ Finch,3.0,24.0,49.0,1.0,49.0,12.25,24.0
AM Nayar,3.0,50.0,59.0,2.0,29.5,7.079999999999999,25.0
AN Ahmed,2.0,42.0,45.0,3.0,15.0,6.428571428571429,14.0
AS Rajpoot,2.0,25.0,37.0,1.0,37.0,8.879999999999999,25.0
Anand Rajan,2.0,51.0,43.0,2.0,21.5,5.0588235294117645,25.5
Ankit Sharma,1.0,12.0,17.0,0.0,0.0,8.5,0.0
Azhar Mahmood,11.0,267.0,335.0,16.0,20.9375,7.52808988764045,16.6875
B Kumar,16.0,359.0,381.0,13.0,29.307692307692307,6.367688022284122,27.615384615384617
B Laughlin,2.0,45.0,72.0,1.0,72.0,9.6,45.0
B Lee,3.0,75.0,89.0,4.0,22.25,7.12,18.75
BA Bhatt,2.0,31.0,32.0,1.0,32.0,6.193548387096774,31.0
BAW Mendis,3.0,72.0,78.0,2.0,39.0,6.5,36.0
BJ Hodge,1.0,6.0,3.0,0.0,0.0,3.0,0.0
BJ Rohrer,1.0,7.0,12.0,0.0,0.0,10.285714285714285,0.0
BMAJ Mendis,2.0,30.0,36.0,1.0,36.0,7.2,30.0
Bipul Sharma,1.0,24.0,21.0,1.0,21.0,5.25,24.0
CH Gayle,4.0,25.0,41.0,3.0,13.666666666666666,9.84,8.333333333333334
CH Morris,16.0,309.0,410.0,17.0,24.11764705882353,7.961165048543689,18.176470588235293
CL White,2.0,12.0,16.0,1.0,16.0,8.0,12.0
DJ Bravo,18.0,392.0,505.0,34.0,14.852941176470589,7.729591836734694,11.529411764705882
DJ Hussey,4.0,68.0,93.0,0.0,0.0,8.205882352941176,0.0
DJG Sammy,9.0,138.0,169.0,11.0,15.363636363636363,7.3478260869565215,12.545454545454545
DP Nannes,5.0,126.0,165.0,5.0,33.0,7.857142857142857,25.2
DR Smith,3.0,32.0,59.0,2.0,29.5,11.0625,16.0
DS Kulkarni,6.0,119.0,153.0,8.0,19.125,7.714285714285714,14.875
DT Christian,2.0,38.0,56.0,0.0,0.0,8.842105263157896,0.0
DW Steyn,17.0,425.0,410.0,20.0,20.5,5.788235294117648,21.25
GB Hogg,1.0,21.0,31.0,0.0,0.0,8.857142857142858,0.0
GH Vihari,5.0,37.0,39.0,1.0,39.0,6.324324324324324,37.0
GJ Maxwell,2.0,12.0,24.0,0.0,0.0,12.0,0.0
Harbhajan Singh,19.0,430.0,466.0,25.0,18.64,6.502325581395349,17.2
Harmeet Singh,4.0,96.0,123.0,7.0,17.571428571428573,7.6875,13.714285714285714
I Sharma,16.0,374.0,471.0,16.0,29.4375,7.55614973262032,23.375
IC Pandey,2.0,25.0,50.0,1.0,50.0,12.0,25.0
IK Pathan,15.0,315.0,391.0,11.0,35.54545454545455,7.447619047619048,28.636363636363637
Iqbal Abdulla,5.0,113.0,142.0,7.0,20.285714285714285,7.539823008849558,16.142857142857142
J Botha,6.0,102.0,114.0,5.0,22.8,6.705882352941177,20.4
J Syed Mohammad,4.0,62.0,92.0,4.0,23.0,8.903225806451612,15.5
JA Morkel,7.0,149.0,167.0,8.0,20.875,6.724832214765101,18.625
JD Unadkat,13.0,299.0,373.0,13.0,28.692307692307693,7.48494983277592,23.0
JDP Oram,1.0,26.0,28.0,0.0,0.0,6.461538461538462,0.0
JH Kallis,15.0,329.0,407.0,19.0,21.42105263157895,7.422492401215806,17.31578947368421
JJ Bumrah,2.0,45.0,74.0,3.0,24.666666666666668,9.866666666666667,15.0
JO Holder,6.0,125.0,173.0,4.0,43.25,8.304,31.25
JP Faulkner,16.0,395.0,436.0,33.0,13.212121212121213,6.622784810126583,11.969696969696969
K Upadhyay,2.0,32.0,48.0,0.0,0.0,9.0,0.0
KA Pollard,14.0,197.0,292.0,10.0,29.2,8.893401015228426,19.7
KK Cooper,14.0,341.0,456.0,22.0,20.727272727272727,8.023460410557185,15.5
KV Sharma,13.0,211.0,235.0,12.0,19.583333333333332,6.682464454976304,17.583333333333332
KW Richardson,3.0,73.0,103.0,2.0,51.5,8.465753424657535,36.5
L Balaji,13.0,311.0,399.0,13.0,30.692307692307693,7.697749196141479,23.923076923076923
LJ Wright,5.0,63.0,101.0,2.0,50.5,9.619047619047619,31.5
LR Shukla,2.0,18.0,22.0,1.0,22.0,7.333333333333333,18.0
M Kartik,11.0,241.0,290.0,11.0,26.363636363636363,7.219917012448133,21.90909090909091
M Morkel,10.0,247.0,341.0,8.0,42.625,8.2834008097166,30.875
M Muralitharan,6.0,141.0,192.0,3.0,64.0,8.170212765957446,47.0
MC Henriques,8.0,132.0,187.0,8.0,23.375,8.5,16.5
MG Johnson,17.0,403.0,471.0,24.0,19.625,7.012406947890819,16.791666666666668
MG Neser,1.0,25.0,62.0,0.0,0.0,14.879999999999999,0.0
MM Patel,4.0,91.0,138.0,3.0,46.0,9.098901098901099,30.333333333333332
MM Sharma,15.0,311.0,327.0,21.0,15.571428571428571,6.308681672025723,14.80952380952381
MN Samuels,1.0,25.0,34.0,1.0,34.0,8.16,25.0
MR Marsh,7.0,122.0,184.0,7.0,26.285714285714285,9.049180327868854,17.428571428571427
MS Gony,8.0,175.0,261.0,7.0,37.285714285714285,8.948571428571428,25.0
Mohammed Shami,3.0,57.0,79.0,1.0,79.0,8.31578947368421,57.0
NLTC Perera,16.0,369.0,490.0,21.0,23.333333333333332,7.967479674796748,17.571428571428573
NM Coulter-Nile,1.0,25.0,29.0,1.0,29.0,6.959999999999999,25.0
P Awana,14.0,332.0,416.0,16.0,26.0,7.518072289156626,20.75
P Kumar,15.0,354.0,394.0,13.0,30.307692307692307,6.677966101694915,27.23076923076923
P Negi,1.0,26.0,28.0,0.0,0.0,6.461538461538462,0.0
P Suyal,1.0,19.0,22.0,1.0,22.0,6.947368421052632,19.0
PJ Sangwan,2.0,26.0,52.0,0.0,0.0,12.0,0.0
PP Chawla,16.0,352.0,433.0,11.0,39.36363636363637,7.380681818181818,32.0
PP Ojha,15.0,318.0,391.0,18.0,21.72222222222222,7.377358490566038,17.666666666666668
PV Tambe,3.0,69.0,91.0,1.0,91.0,7.913043478260869,69.0
Parvez Rasool,2.0,30.0,29.0,1.0,29.0,5.8,30.0
R Ashwin,18.0,354.0,397.0,16.0,24.8125,6.728813559322034,22.125
R Bhatia,15.0,266.0,334.0,11.0,30.363636363636363,7.533834586466165,24.181818181818183
R Dhawan,5.0,95.0,115.0,2.0,57.5,7.263157894736842,47.5
R McLaren,2.0,46.0,95.0,4.0,23.75,12.391304347826086,11.5
