bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Mishra,11.0,243.0,271.0,11.0,24.636363636363637,6.691358024691358,22.09090909090909
AD Russell,12.0,182.0,288.0,11.0,26.181818181818183,9.494505494505495,16.545454545454547
AJ Tye,6.0,137.0,233.0,3.0,77.66666666666667,10.204379562043796,45.666666666666664
AR Patel,14.0,307.0,368.0,12.0,30.666666666666668,7.192182410423453,25.583333333333332
AS Joseph,3.0,55.0,89.0,6.0,14.833333333333334,9.709090909090909,9.166666666666666
AS Rajpoot,4.0,102.0,157.0,3.0,52.333333333333336,9.235294117647058,34.0
AS Roy,1.0,15.0,11.0,1.0,11.0,4.4,15.0
Abhishek Sharma,2.0,13.0,21.0,1.0,21.0,9.692307692307693,13.0
Arshdeep Singh,3.0,65.0,117.0,3.0,39.0,10.799999999999999,21.666666666666668
Avesh Khan,1.0,19.0,30.0,0.0,0.0,9.473684210526317,0.0
B Kumar,15.0,367.0,466.0,14.0,33.285714285714285,7.618528610354224,26.214285714285715
BA Stokes,6.0,109.0,200.0,6.0,33.333333333333336,11.009174311926605,18.166666666666668
BB Sran,2.0,25.0,51.0,0.0,0.0,12.239999999999998,0.0
BCJ Cutting,1.0,12.0,27.0,1.0,27.0,13.5,12.0
Basil Thampi,3.0,73.0,115.0,0.0,0.0,9.452054794520548,0.0
C de Grandhomme,3.0,31.0,55.0,0.0,0.0,10.64516129032258,0.0
CH Morris,9.0,206.0,314.0,13.0,24.153846153846153,9.145631067961164,15.846153846153847
CR Brathwaite,2.0,21.0,29.0,0.0,0.0,8.285714285714286,0.0
CV Varun,1.0,18.0,35.0,1.0,35.0,11.666666666666666,18.0
DJ Bravo,12.0,263.0,336.0,13.0,25.846153846153847,7.665399239543726,20.23076923076923
DJ Hooda,2.0,13.0,21.0,1.0,21.0,9.692307692307693,13.0
DL Chahar,17.0,400.0,486.0,22.0,22.09090909090909,7.289999999999999,18.181818181818183
DS Kulkarni,10.0,219.0,336.0,6.0,56.0,9.205479452054794,36.5
DW Steyn,2.0,48.0,74.0,4.0,18.5,9.25,12.0
GC Viljoen,6.0,146.0,229.0,8.0,28.625,9.41095890410959,18.25
GH Vihari,1.0,6.0,9.0,0.0,0.0,9.0,0.0
HF Gurney,8.0,169.0,239.0,7.0,34.142857142857146,8.485207100591715,24.142857142857142
HH Pandya,16.0,269.0,397.0,16.0,24.8125,8.855018587360595,16.8125
HV Patel,2.0,52.0,77.0,3.0,25.666666666666668,8.884615384615385,17.333333333333332
Harbhajan Singh,11.0,269.0,315.0,18.0,17.5,7.026022304832713,14.944444444444445
Harpreet Brar,2.0,30.0,48.0,0.0,0.0,9.6,0.0
I Sharma,13.0,285.0,364.0,14.0,26.0,7.663157894736842,20.357142857142858
IS Sodhi,2.0,44.0,67.0,4.0,16.75,9.136363636363637,11.0
Imran Tahir,17.0,388.0,440.0,26.0,16.923076923076923,6.804123711340206,14.923076923076923
J Suchith,1.0,24.0,28.0,2.0,14.0,7.0,12.0
J Yadav,2.0,43.0,50.0,1.0,50.0,6.976744186046512,43.0
JC Archer,11.0,264.0,306.0,12.0,25.5,6.954545454545454,22.0
JD Unadkat,11.0,236.0,404.0,11.0,36.72727272727273,10.271186440677965,21.454545454545453
JJ Bumrah,16.0,382.0,433.0,23.0,18.82608695652174,6.801047120418849,16.608695652173914
JP Behrendorff,5.0,117.0,168.0,5.0,33.6,8.615384615384615,23.4
K Gowtham,7.0,122.0,171.0,1.0,171.0,8.40983606557377,122.0
K Khejroliya,2.0,31.0,47.0,1.0,47.0,9.096774193548386,31.0
K Rabada,12.0,298.0,382.0,29.0,13.172413793103448,7.691275167785236,10.275862068965518
KC Cariappa,1.0,13.0,34.0,0.0,0.0,15.692307692307693,0.0
KH Pandya,16.0,282.0,337.0,12.0,28.083333333333332,7.170212765957447,23.5
KK Ahmed,9.0,222.0,292.0,20.0,14.6,7.891891891891892,11.1
KMA Paul,8.0,180.0,239.0,10.0,23.9,7.966666666666667,18.0
KV Sharma,1.0,17.0,33.0,1.0,33.0,11.647058823529411,17.0
Kuldeep Yadav,9.0,202.0,286.0,5.0,57.2,8.495049504950495,40.4
LH Ferguson,5.0,107.0,185.0,2.0,92.5,10.373831775700936,53.5
LS Livingstone,1.0,6.0,13.0,0.0,0.0,13.0,0.0
