bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Mishra,10.0,230.0,342.0,8.0,42.75,8.921739130434782,28.75
A Nehra,4.0,93.0,143.0,8.0,17.875,9.225806451612904,11.625
AB Dinda,9.0,195.0,271.0,5.0,54.2,8.338461538461539,39.0
AD Russell,2.0,31.0,54.0,2.0,27.0,10.451612903225806,15.5
AN Ahmed,4.0,89.0,120.0,3.0,40.0,8.089887640449438,29.666666666666668
AR Patel,17.0,403.0,424.0,19.0,22.31578947368421,6.312655086848634,21.210526315789473
Ankit Sharma,2.0,48.0,44.0,4.0,11.0,5.5,12.0
B Kumar,14.0,327.0,362.0,21.0,17.238095238095237,6.6422018348623855,15.571428571428571
BCJ Cutting,1.0,24.0,31.0,2.0,15.5,7.75,12.0
BE Hendricks,3.0,75.0,127.0,4.0,31.75,10.16,18.75
BW Hilfenhaus,8.0,175.0,255.0,9.0,28.333333333333332,8.742857142857142,19.444444444444443
CJ Anderson,9.0,114.0,188.0,4.0,47.0,9.894736842105264,28.5
DJ Hussey,1.0,18.0,38.0,2.0,19.0,12.666666666666666,9.0
DJG Sammy,8.0,88.0,159.0,3.0,53.0,10.840909090909092,29.333333333333332
DR Smith,5.0,62.0,99.0,4.0,24.75,9.580645161290322,15.5
DS Kulkarni,8.0,173.0,226.0,6.0,37.666666666666664,7.838150289017341,28.833333333333332
DW Steyn,14.0,342.0,441.0,12.0,36.75,7.7368421052631575,28.5
GJ Maxwell,7.0,70.0,133.0,1.0,133.0,11.4,70.0
HV Patel,3.0,71.0,118.0,4.0,29.5,9.971830985915492,17.75
Harbhajan Singh,14.0,336.0,365.0,14.0,26.071428571428573,6.517857142857143,24.0
I Sharma,3.0,68.0,101.0,3.0,33.666666666666664,8.911764705882353,22.666666666666668
IC Pandey,12.0,255.0,331.0,7.0,47.285714285714285,7.788235294117647,36.42857142857143
IK Pathan,10.0,144.0,209.0,6.0,34.833333333333336,8.708333333333334,24.0
Imran Tahir,6.0,131.0,176.0,11.0,16.0,8.061068702290077,11.909090909090908
Iqbal Abdulla,1.0,12.0,18.0,0.0,0.0,9.0,0.0
JA Morkel,6.0,101.0,127.0,4.0,31.75,7.544554455445545,25.25
JD Unadkat,9.0,189.0,278.0,10.0,27.8,8.825396825396826,18.9
JDS Neesham,4.0,57.0,96.0,1.0,96.0,10.105263157894736,57.0
JH Kallis,8.0,134.0,193.0,4.0,48.25,8.64179104477612,33.5
JJ Bumrah,11.0,246.0,307.0,6.0,51.166666666666664,7.487804878048781,41.0
JO Holder,1.0,20.0,35.0,1.0,35.0,10.5,20.0
JP Duminy,11.0,204.0,242.0,3.0,80.66666666666667,7.117647058823529,68.0
JP Faulkner,13.0,278.0,449.0,17.0,26.41176470588235,9.690647482014388,16.352941176470587
JW Hastings,1.0,19.0,29.0,1.0,29.0,9.157894736842106,19.0
K Santokie,2.0,51.0,91.0,3.0,30.333333333333332,10.705882352941176,17.0
KA Pollard,12.0,160.0,265.0,3.0,88.33333333333333,9.9375,53.333333333333336
KK Cooper,5.0,110.0,146.0,4.0,36.5,7.963636363636364,27.5
KV Sharma,14.0,307.0,393.0,17.0,23.11764705882353,7.6807817589576555,18.058823529411764
KW Richardson,7.0,167.0,209.0,10.0,20.9,7.508982035928144,16.7
Karanveer Singh,5.0,126.0,164.0,12.0,13.666666666666666,7.809523809523809,10.5
L Balaji,9.0,211.0,305.0,12.0,25.416666666666668,8.672985781990523,17.583333333333332
LMP Simmons,1.0,18.0,34.0,1.0,34.0,11.333333333333334,18.0
LR Shukla,5.0,58.0,88.0,1.0,88.0,9.10344827586207,58.0
M Kartik,2.0,49.0,91.0,2.0,45.5,11.142857142857144,24.5
M Morkel,12.0,305.0,376.0,13.0,28.923076923076923,7.396721311475409,23.46153846153846
M Muralitharan,5.0,99.0,125.0,4.0,31.25,7.575757575757576,24.75
M Vijay,1.0,6.0,13.0,0.0,0.0,13.0,0.0
M de Lange,1.0,26.0,33.0,2.0,16.5,7.615384615384616,13.0
MA Starc,14.0,340.0,419.0,17.0,24.647058823529413,7.394117647058824,20.0
MC Henriques,4.0,63.0,96.0,4.0,24.0,9.142857142857142,15.75
MG Johnson,14.0,340.0,450.0,17.0,26.470588235294116,7.9411764705882355,20.0
MK Tiwary,1.0,12.0,28.0,0.0,0.0,14.0,0.0
MM Sharma,16.0,324.0,457.0,26.0,17.576923076923077,8.462962962962964,12.461538461538462
Mohammed Shami,12.0,281.0,381.0,10.0,38.1,8.135231316725978,28.1
NM Coulter-Nile,1.0,26.0,27.0,2.0,13.5,6.230769230769231,13.0
P Awana,7.0,146.0,248.0,9.0,27.555555555555557,10.191780821917808,16.22222222222222
P Kumar,3.0,73.0,81.0,4.0,20.25,6.657534246575342,18.25
P Negi,2.0,43.0,76.0,1.0,76.0,10.604651162790697,43.0
P Suyal,1.0,21.0,35.0,1.0,35.0,10.0,21.0
PJ Cummins,1.0,24.0,29.0,2.0,14.5,7.25,12.0
PP Chawla,11.0,238.0,304.0,14.0,21.714285714285715,7.663865546218488,17.0
PP Ojha,12.0,282.0,385.0,5.0,77.0,8.191489361702128,56.4
PV Tambe,13.0,304.0,365.0,15.0,24.333333333333332,7.203947368421053,20.266666666666666
Parvez Rasool,3.0,56.0,83.0,1.0,83.0,8.892857142857142,56.0
R Ashwin,16.0,379.0,446.0,17.0,26.235294117647058,7.060686015831135,22.294117647058822
R Bhatia,12.0,232.0,287.0,13.0,22.076923076923077,7.422413793103448,17.846153846153847
R Dhawan,13.0,294.0,373.0,15.0,24.866666666666667,7.612244897959184,19.6
R Rampaul,2.0,37.0,37.0,2.0,18.5,6.0,18.5
R Sharma,2.0,36.0,65.0,1.0,65.0,10.833333333333334,36.0
R Shukla,3.0,58.0,105.0,3.0,35.0,10.862068965517242,19.333333333333332
R Tewatia,3.0,55.0,59.0,3.0,19.666666666666668,6.4363636363636365,18.333333333333332
R Vinay Kumar,9.0,194.0,294.0,10.0,29.4,9.092783505154639,19.4
RA Jadeja,16.0,332.0,446.0,20.0,22.3,8.06024096385542,16.6
RG Sharma,2.0,18.0,26.0,1.0,26.0,8.666666666666666,18.0
RN ten Doeschate,4.0,30.0,35.0,1.0,35.0,7.0,30.0
S Badree,4.0,87.0,103.0,2.0,51.5,7.103448275862069,43.5
S Gopal,4.0,85.0,113.0,6.0,18.833333333333332,7.976470588235294,14.166666666666666
S Kaul,5.0,82.0,136.0,2.0,68.0,9.951219512195122,41.0
S Nadeem,11.0,235.0,314.0,9.0,34.888888888888886,8.017021276595745,26.11111111111111
S Rana,2.0,12.0,16.0,0.0,0.0,8.0,0.0
SA Yadav,1.0,6.0,8.0,0.0,0.0,8.0,0.0
SB Jakati,1.0,22.0,41.0,0.0,0.0,11.181818181818182,0.0
SK Raina,8.0,109.0,135.0,1.0,135.0,7.431192660550458,109.0
SL Malinga,10.0,243.0,267.0,17.0,15.705882352941176,6.592592592592593,14.294117647058824
SP Narine,16.0,392.0,432.0,22.0,19.636363636363637,6.612244897959184,17.818181818181817
SR Watson,9.0,134.0,169.0,7.0,24.142857142857142,7.567164179104478,19.142857142857142
STR Binny,8.0,54.0,65.0,4.0,16.25,7.222222222222222,13.5
Sandeep Sharma,11.0,255.0,358.0,19.0,18.842105263157894,8.423529411764706,13.421052631578947
Shakib Al Hasan,13.0,307.0,339.0,15.0,22.6,6.625407166123779,20.466666666666665
Shivam Sharma,4.0,96.0,121.0,3.0,40.333333333333336,7.5625,32.0
TG Southee,3.0,63.0,78.0,0.0,0.0,7.428571428571429,0.0
UT Yadav,12.0,283.0,381.0,12.0,31.75,8.07773851590106,23.583333333333332
V Shankar,1.0,6.0,19.0,0.0,0.0,19.0,0.0
VR Aaron,10.0,238.0,309.0,16.0,19.3125,7.789915966386555,14.875
VS Malik,1.0,19.0,29.0,1.0,29.0,9.157894736842106,19.0
WD Parnell,8.0,190.0,235.0,7.0,33.57142857142857,7.421052631578947,27.142857142857142
Y Venugopal Rao,2.0,12.0,16.0,0.0,0.0,8.0,0.0
YK Pathan,1.0,6.0,10.0,0.0,0.0,10.0,0.0
YS Chahal,14.0,333.0,389.0,12.0,32.416666666666664,7.009009009009009,27.75
Yuvraj Singh,10.0,140.0,191.0,6.0,31.833333333333332,8.185714285714287,23.333333333333332
Z Khan,6.0,138.0,156.0,6.0,26.0,6.782608695652174,23.0
