bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Dananjaya,1.0,25.0,47.0,0.0,0.0,11.28,0.0
A Mishra,10.0,226.0,265.0,13.0,20.384615384615383,7.035398230088496,17.384615384615383
AD Russell,15.0,239.0,360.0,13.0,27.692307692307693,9.03765690376569,18.384615384615383
AJ Tye,14.0,353.0,459.0,28.0,16.392857142857142,7.80169971671388,12.607142857142858
AR Patel,8.0,158.0,221.0,3.0,73.66666666666667,8.39240506329114,52.666666666666664
AS Rajpoot,8.0,166.0,230.0,11.0,20.90909090909091,8.313253012048193,15.090909090909092
Ankit Sharma,1.0,6.0,11.0,0.0,0.0,11.0,0.0
Anureet Singh,3.0,24.0,42.0,2.0,21.0,10.5,12.0
Avesh Khan,6.0,117.0,205.0,4.0,51.25,10.512820512820513,29.25
B Kumar,12.0,286.0,357.0,10.0,35.7,7.48951048951049,28.6
B Laughlin,7.0,134.0,212.0,9.0,23.555555555555557,9.492537313432836,14.88888888888889
B Stanlake,4.0,100.0,130.0,5.0,26.0,7.8,20.0
BA Stokes,12.0,232.0,307.0,9.0,34.111111111111114,7.939655172413794,25.77777777777778
BB Sran,6.0,146.0,231.0,6.0,38.5,9.493150684931507,24.333333333333332
BCJ Cutting,7.0,105.0,169.0,2.0,84.5,9.657142857142857,52.5
Basil Thampi,4.0,62.0,115.0,5.0,23.0,11.129032258064516,12.4
C de Grandhomme,7.0,97.0,132.0,3.0,44.0,8.164948453608247,32.333333333333336
CH Morris,4.0,87.0,148.0,3.0,49.333333333333336,10.206896551724139,29.0
CJ Anderson,3.0,56.0,117.0,5.0,23.4,12.535714285714285,11.2
CJ Dala,1.0,19.0,34.0,0.0,0.0,10.736842105263158,0.0
CJ Jordan,1.0,25.0,35.0,0.0,0.0,8.399999999999999,0.0
CR Brathwaite,4.0,64.0,96.0,6.0,16.0,9.0,10.666666666666666
CR Woakes,5.0,118.0,196.0,8.0,24.5,9.966101694915254,14.75
DJ Bravo,16.0,338.0,538.0,18.0,29.88888888888889,9.550295857988166,18.77777777777778
DJ Hooda,2.0,19.0,25.0,0.0,0.0,7.894736842105264,0.0
DJ Willey,3.0,61.0,96.0,2.0,48.0,9.442622950819672,30.5
DJM Short,2.0,18.0,23.0,1.0,23.0,7.666666666666667,18.0
DL Chahar,12.0,248.0,281.0,10.0,28.1,6.798387096774193,24.8
DS Kulkarni,8.0,126.0,189.0,4.0,47.25,9.0,31.5
DT Christian,4.0,71.0,106.0,4.0,26.5,8.957746478873238,17.75
GJ Maxwell,10.0,98.0,132.0,5.0,26.4,8.081632653061225,19.6
HH Pandya,13.0,270.0,391.0,19.0,20.57894736842105,8.688888888888888,14.210526315789474
HV Patel,5.0,109.0,169.0,7.0,24.142857142857142,9.302752293577981,15.571428571428571
Harbhajan Singh,12.0,193.0,270.0,7.0,38.57142857142857,8.39378238341969,27.571428571428573
IS Sodhi,6.0,138.0,137.0,5.0,27.4,5.956521739130435,27.6
Imran Tahir,6.0,126.0,193.0,6.0,32.166666666666664,9.19047619047619,21.0
JC Archer,10.0,249.0,329.0,15.0,21.933333333333334,7.927710843373494,16.6
JD Unadkat,15.0,310.0,486.0,12.0,40.5,9.406451612903226,25.833333333333332
