bowler,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
A Flintoff,3.0,66.0,106.0,2.0,53.0,9.636363636363637,33.0
A Kumble,16.0,358.0,353.0,22.0,16.045454545454547,5.916201117318436,16.272727272727273
A Mishra,11.0,262.0,300.0,14.0,21.428571428571427,6.870229007633588,18.714285714285715
A Mithun,1.0,27.0,42.0,0.0,0.0,9.333333333333334,0.0
A Nehra,13.0,326.0,354.0,22.0,16.09090909090909,6.515337423312883,14.818181818181818
A Singh,5.0,107.0,100.0,9.0,11.11111111111111,5.607476635514019,11.88888888888889
A Symonds,8.0,147.0,162.0,9.0,18.0,6.612244897959184,16.333333333333332
AB Agarkar,11.0,199.0,293.0,8.0,36.625,8.834170854271358,24.875
AB Dinda,8.0,150.0,195.0,6.0,32.5,7.8,25.0
AB McDonald,1.0,18.0,22.0,0.0,0.0,7.333333333333333,0.0
AD Mascarenhas,5.0,116.0,133.0,6.0,22.166666666666668,6.879310344827586,19.333333333333332
AD Mathews,1.0,15.0,32.0,0.0,0.0,12.8,0.0
AM Nayar,4.0,77.0,84.0,4.0,21.0,6.545454545454545,19.25
AM Rahane,1.0,6.0,5.0,1.0,5.0,5.0,6.0
AM Salvi,5.0,106.0,138.0,4.0,34.5,7.811320754716981,26.5
AS Raut,4.0,24.0,37.0,0.0,0.0,9.25,0.0
Anureet Singh,2.0,34.0,47.0,2.0,23.5,8.294117647058822,17.0
B Akhil,5.0,69.0,80.0,4.0,20.0,6.956521739130435,17.25
B Lee,5.0,133.0,113.0,6.0,18.833333333333332,5.097744360902255,22.166666666666668
BAW Mendis,4.0,102.0,136.0,4.0,34.0,8.0,25.5
BJ Hodge,9.0,123.0,167.0,7.0,23.857142857142858,8.146341463414634,17.571428571428573
C Nanda,3.0,50.0,58.0,2.0,29.0,6.959999999999999,25.0
CH Gayle,7.0,119.0,146.0,1.0,146.0,7.3613445378151265,119.0
CK Langeveldt,1.0,25.0,15.0,3.0,5.0,3.5999999999999996,8.333333333333334
D du Preez,2.0,43.0,56.0,4.0,14.0,7.813953488372093,10.75
DJ Bravo,11.0,211.0,265.0,14.0,18.928571428571427,7.535545023696683,15.071428571428571
DJ Hussey,3.0,25.0,34.0,1.0,34.0,8.16,25.0
DL Vettori,7.0,141.0,186.0,10.0,18.6,7.914893617021277,14.1
DP Nannes,13.0,320.0,384.0,20.0,19.2,7.199999999999999,16.0
DR Smith,8.0,85.0,128.0,1.0,128.0,9.035294117647059,85.0
DS Kulkarni,8.0,160.0,209.0,5.0,41.8,7.8374999999999995,32.0
DW Steyn,3.0,59.0,62.0,3.0,20.666666666666668,6.305084745762711,19.666666666666668
FH Edwards,6.0,150.0,160.0,6.0,26.666666666666668,6.4,25.0
GR Napier,1.0,24.0,28.0,1.0,28.0,7.0,24.0
Harbhajan Singh,13.0,268.0,272.0,13.0,20.923076923076923,6.089552238805971,20.615384615384617
Harmeet Singh,7.0,142.0,198.0,4.0,49.5,8.366197183098592,35.5
I Sharma,11.0,270.0,303.0,11.0,27.545454545454547,6.733333333333333,24.545454545454547
IK Pathan,14.0,314.0,398.0,20.0,19.9,7.6050955414012735,15.7
J Botha,3.0,75.0,76.0,5.0,15.2,6.08,15.0
JA Morkel,12.0,249.0,330.0,15.0,22.0,7.951807228915663,16.6
JD Ryder,5.0,104.0,121.0,5.0,24.2,6.980769230769231,20.8
JDP Oram,7.0,94.0,139.0,6.0,23.166666666666668,8.872340425531915,15.666666666666666
JH Kallis,14.0,289.0,362.0,7.0,51.714285714285715,7.515570934256056,41.285714285714285
JP Duminy,6.0,107.0,96.0,4.0,24.0,5.3831775700934585,26.75
Jaskaran Singh,1.0,19.0,32.0,0.0,0.0,10.105263157894738,0.0
Joginder Sharma,4.0,43.0,57.0,2.0,28.5,7.953488372093023,21.5
K Goel,4.0,49.0,62.0,0.0,0.0,7.591836734693878,0.0
KP Appanna,5.0,72.0,91.0,2.0,45.5,7.583333333333333,36.0
KP Pietersen,4.0,80.0,88.0,5.0,17.6,6.6,16.0
Kamran Khan,5.0,121.0,148.0,10.0,14.8,7.338842975206611,12.1
L Balaji,13.0,229.0,320.0,14.0,22.857142857142858,8.384279475982533,16.357142857142858
LA Carseldine,1.0,7.0,6.0,1.0,6.0,5.142857142857142,7.0
LR Shukla,5.0,88.0,102.0,5.0,20.4,6.954545454545455,17.6
LRPL Taylor,1.0,7.0,13.0,0.0,0.0,11.142857142857142,0.0
M Kartik,10.0,210.0,207.0,5.0,41.4,5.914285714285715,42.0
M Morkel,2.0,44.0,40.0,1.0,40.0,5.454545454545455,44.0
M Muralitharan,13.0,304.0,267.0,16.0,16.6875,5.269736842105264,19.0
MC Henriques,4.0,76.0,107.0,2.0,53.5,8.447368421052632,38.0
MF Maharoof,3.0,66.0,67.0,4.0,16.75,6.090909090909091,16.5
MK Tiwary,1.0,6.0,11.0,0.0,0.0,11.0,0.0
MM Patel,11.0,218.0,245.0,18.0,13.61111111111111,6.743119266055046,12.11111111111111
MS Gony,7.0,107.0,173.0,5.0,34.6,9.700934579439252,21.4
