Player,Type,Status,Teams
Piyush Chawla,Bowler,Retained,MI
Rohit Sharma,Batsman,Retained,MI
Romario Shepherd,Bowler,Transferd,MI
Shams Mulani,All-Rounder,Retained,MI
Surya Kumar Yadav,Batsman,Retained,MI
Tim David,Batsman,Retained,MI
Vishnu Vinod,Wicket-Keeper,Retained,MI
Chris Jordan,Bowler,Released,MI
Duan Jansen,Bowler,Released,MI
Hrithik Shokeen,All-Rounder,Released,MI
Jhye Richardson,Bowler,Released,MI
Jofra Archer,Bowler,Released,MI
Mohd. Arshad Khan,Bowler,Released,MI
Raghav Goyal,Bowler,Released,MI
Ramandeep Singh,Batsman,Released,MI
Roley Meredith,Bowler,Released,MI
Sandeep Warrier,Bowler,Released,MI
Tristan Stubbs,Wicket-Keeper,Released,MI
Arshdeep Singh,Bowler,Retained,PBKS
Atharva Taide,Batsman,Retained,PBKS
Harpreet Brar,Bowler,Retained,PBKS
Harpreet Bhatia,Batsman,Retained,PBKS
Jitesh Sharma,Wicket-Keeper,Retained,PBKS
Jonny Bairstow,Wicket-Keeper,Retained,PBKS
Kagiso Rabada,Bowler,Retained,PBKS
Liam Livingstone,All-Rounder,Retained,PBKS
Nathan Ellis,Bowler,Retained,PBKS
Prabhsimran Singh,Wicket-Keeper,Retained,PBKS
Rahul Chahar,Bowler,Retained,PBKS
Rishi Dhawan,Bowler,Retained,PBKS
Sam Curran,All-Rounder,Retained,PBKS
Shikhar Dhawan,Batsman,Retained,PBKS
Shivam Singh,Batsman,Retained,PBKS
Sikandar Raza,All-Rounder,Retained,PBKS
Vidwath Kaverappa,Bowler,Retained,PBKS
Baltej Dhanda,Bowler,Released,PBKS
Bhanuka Rajapaksa,Batsman,Released,PBKS
Gurnoor Singh Brar,Bowler,Released,PBKS
Matthew Short,Batsman,Released,PBKS
Mohit Rathee,All-Rounder,Released,PBKS
Raj Angad Bawa,Bowler,Released,PBKS
Shahrukh Khan,All-Rounder,Released,PBKS
Adam Zampa,Bowler,Retained,RR
Avesh Khan,Bowler,Transferd,RR
Dhruv Jurel,Wicket-Keeper,Retained,RR
Donovan Ferreira,Wicket-Keeper,Retained,RR
Jos Buttler,Wicket-Keeper,Retained,RR
Kuldeep Sen,Bowler,Retained,RR
Kunal Rathore,Batsman,Retained,RR
Navdeep Saini,Bowler,Retained,RR
Prasidh Krishna,Bowler,Retained,RR
R. Ashwin,All-Rounder,Retained,RR
Riyan Parag,All-Rounder,Retained,RR
Sandeep Sharma,Bowler,Retained,RR
Sanju Samson,Wicket-Keeper,Retained,RR
Shimron Hetmyer,Batsman,Retained,RR
Trent Boult,Bowler,Retained,RR
Yashaswi Jaiswal,Batsman,Retained,RR
Yuzvendra Chahal,Bowler,Retained,RR
Abdul P A,Bowler,Released,RR
Akash Vashisht,Bowler,Released,RR
Jason Holder,All-Rounder,Released,RR
Joe Root,Batsman,Released,RR
K.C Cariappa,Bowler,Released,RR
K.M. Asif,Bowler,Released,RR
Kuldip Yadav,Bowler,Released,RR
Murugan Ashwin,Bowler,Released,RR
Obed Mccoy,Bowler,Released,RR
Akash Deep,Bowler,Retained,RCB
Cameron Green,All-Rounder,Transferd,RCB
Anuj Rawat,Wicket-Keeper,Retained,RCB
Dinesh Karthik,Wicket-Keeper,Retained,RCB
Faf Du Plessis,Batsman,Retained,RCB
Glenn Maxwell,All-Rounder,Retained,RCB
Himanshu Sharma,Bowler,Retained,RCB
Karn Sharma,Bowler,Retained,RCB
Mahipal Lomror,All-Rounder,Retained,RCB
Manoj Bhandage,All-Rounder,Retained,RCB
Mayank Dagar,Bowler,Transferd,RCB
Mohammed Siraj,Bowler,Retained,RCB
Rajan Kumar,Bowler,Retained,RCB
Rajat Patidar,Batsman,Retained,RCB
Reece Topley,Bowler,Retained,RCB
Suyash Prabhudessai,Batsman,Retained,RCB
Virat Kohli,Batsman,Retained,RCB
Vyshak Vijay Kumar,Bowler,Retained,RCB
Will Jacks,All-Rounder,Retained,RCB
Avinash Singh,Bowler,Released,RCB
David Willey,All-Rounder,Released,RCB
Finn Allen,Batsman,Released,RCB
Harshal Patel,Bowler,Released,RCB
Josh Hazlewood,Bowler,Released,RCB
Kedar Jadhav,All-Rounder,Released,RCB
Michael Bracewell,All-Rounder,Released,RCB
Siddharth Kaul,Bowler,Released,RCB
Sonu Yadav,Bowler,Released,RCB
Wanindu Hasaranga,All-Rounder,Released,RCB
Wayne Parnell,Bowler,Released,RCB
Abdul Samad,Batsman,Retained,SRH
Abhishek Sharma,All-Rounder,Retained,SRH
Aiden Markram,Batsman,Retained,SRH
Anmolpreet Singh,Batsman,Retained,SRH
Bhuvneshwar Kumar,Bowler,Retained,SRH
Fazalhaq Farooqi,Bowler,Retained,SRH
Glenn Phillips,Batsman,Retained,SRH
Heinrich Klaasen,Wicket-Keeper,Retained,SRH
Marco Jansen,All-Rounder,Retained,SRH
Mayank Agarwal,Batsman,Retained,SRH
Mayank Markande,Bowler,Retained,SRH
Nitish Kumar Reddy,Batsman,Retained,SRH
Rahul Tripathi,Batsman,Retained,SRH
Sanvir Singh,All-Rounder,Retained,SRH
Shahbaz Ahamad,All-Rounder,Transferd,SRH
T. Natarajan,Bowler,Retained,SRH
Umran Malik,Bowler,Retained,SRH
Upendra Singh Yadav,Wicket-Keeper,Retained,SRH
Washington Sundar,All-Rounder,Retained,SRH
Adil Rashid,Bowler,Released,SRH
Akeal Hosein,Bowler,Released,SRH
Harry Brook,Batsman,Released,SRH
Kartik Tyagi,Bowler,Released,SRH
Samarth Vyas,Batsman,Released,SRH
Vivrant Sharma,All-Rounder,Released,SRH
