Player,Status,Type,Country,Team,Base Price,Sold Price
Mohammad Nabi,Sold,All-Rounder,Afg,MI,"15,000,000","15,000,000"
Shai Hope,Sold,Wicket-Keeper,WI,DC,"7,500,000","7,500,000"
Gus Atkinson,Sold,Bowler,Eng,KKR,"10,000,000","10,000,000"
Swastik Chhikara,Sold,All-Rounder,Ind,DC,"2,000,000","2,000,000"
Abid Mushtaq,Sold,Bowler,Ind,RR,"2,000,000","2,000,000"
Shivalik Sharma,Sold,Batsman,Ind,MI,"2,000,000","2,000,000"
Swapnil Singh,Sold,All-Rounder,Ind,RCB,"2,000,000","2,000,000"
Avanish Rao Aravelly,Sold,Wicket-Keeper,Ind,CSK,"2,000,000","2,000,000"
Nandre Burger,Sold,Bowler,SA,RR,"5,000,000","5,000,000"
Sakib Hussain,Sold,Batsman,Ind,KKR,"2,000,000","2,000,000"
Saurav Chuahan,Sold,All-Rounder,Ind,RCB,"2,000,000","2,000,000"
