Player,Role,Auction Price,Nation,Team,Auction Price (in INR)
Kartik Tyagi,Bowler,INR 60 Lakh,India,Gujarat Titans,6000000.0
Manav Suthar,Bowler,INR 20 Lakh,India,Gujarat Titans,2000000.0
Spencer Johnson,Bowler,INR 10 Crore,Australia,Gujarat Titans,100000000.0
Robin Minz,WK-Batsman,INR 3.60 Crore,India,Gujarat Titans,36000000.0
Shreyas Iyer,Batsman,INR 12.25 Crores(R),India,Kolkata Knight Riders,122500000.0
Nitish Rana,Batsman,INR 8 crores(R),India,Kolkata Knight Riders,80000000.0
Rinku Singh,Batsman,INR 55 Lakhs(R),India,Kolkata Knight Riders,5500000.0
Varun Chakravarty,Bowlers,INR 8 Cr(R),India,Kolkata Knight Riders,80000000.0
Andre Russell,All-rounder,INR 12 Cr(R),West Indies,Kolkata Knight Riders,120000000.0
Venkatesh Iyer,All-rounder,INR 8 Cr(R),India,Kolkata Knight Riders,80000000.0
Sunil Narine,All-rounder,INR 6 Cr(R),West Indies,Kolkata Knight Riders,60000000.0
Anukul Roy,All-rounder,INR 20 Lakhs(R),India,Kolkata Knight Riders,2000000.0
Rahmanullah Gurbaz,WK-Batsman,INR 50 Lakhs(R),Afghanistan,Kolkata Knight Riders,5000000.0
Harshit Rana,Bowler,INR 20 Lakhs(R),India,Kolkata Knight Riders,2000000.0
Vaibhav Arora,Bowler,INR 60 lakh(R),India,Kolkata Knight Riders,
Suyash Sharma,Bowler,INR 20 lakh(R),India,Kolkata Knight Riders,
Jason Roy,Batsman,INR 2.8 crore(R),England,Kolkata Knight Riders,
KS Bharat,WK-Batsman,INR 50 Lakhs,India,Kolkata Knight Riders,5000000.0
Chetan Sakaria,Bowler,INR 50 Lakhs,India,Kolkata Knight Riders,5000000.0
Mitchell Starc,Bowler,INR 24.75 Crore,Australia,Kolkata Knight Riders,247500000.0
Angkrish Raghuvanshi,Batsman,INR 20 Lakhs,India,Kolkata Knight Riders,2000000.0
Ramandeep Singh,All-rounder,INR 20 Lakhs,India,Kolkata Knight Riders,2000000.0
Sherfane Rutherford,Batsman,INR 1.50 Crore,West Indies,Kolkata Knight Riders,15000000.0
Manish Pandey,Batsman,INR 50 Lakhs,India,Kolkata Knight Riders,5000000.0
Mujeeb Rahman,Bowler,INR 2 Crore,Afghanistan,Kolkata Knight Riders,20000000.0
Gus Atkinson,Bowler,INR 1 Crore,England,Kolkata Knight Riders,10000000.0
Sakib Hussain,Bowler,INR 20 Lakhs,India,Kolkata Knight Riders,2000000.0
KL Rahul,WK-Batsman,INR 17 Crores(R),India,Lucknow Super Giants,170000000.0
Quinton de Kock,WK-Batsman,INR 6.75 Crores(R),South Africa,Lucknow Super Giants,67500000.0
Ravi Bishnoi,Bowler,INR 4 Crores(R),India,Lucknow Super Giants,40000000.0
Mohsin Khan,Bowler,INR 20 Lakhs(R),India,Lucknow Super Giants,2000000.0
Mark Wood,Bowler,INR 7.5 Crores(R),England,Lucknow Super Giants,75000000.0
Marcus Stoinis,All-rounder,INR 9.2 Crores(R),Australia,Lucknow Super Giants,92000000.0
Kyle Mayers,All-rounder,INR 50 Lakhs(R),West Indies,Lucknow Super Giants,5000000.0
Ayush Badoni,All-rounder,INR 20 Lakhs(R),India,Lucknow Super Giants,2000000.0
Deepak Hooda,All-rounder,INR 5.75 Crores(R),India,Lucknow Super Giants,57500000.0
Krunal Pandya,All-rounder,INR 8.25 Crores(R),India,Lucknow Super Giants,82500000.0
Nicholas Pooran,WK-Batsman,INR 16 crore(R),West Indies,Lucknow Super Giants,
Yash Thakur,Bowler,INR 45 lakh(R),India,Lucknow Super Giants,
Amit Mishra,Bowler,INR 50 lakh(R),India,Lucknow Super Giants,
Prerak Mankad,All-rounder,INR 20 lakh(R),India,Lucknow Super Giants,
Naveen-ul-Haq,Bowler,INR 50 lakh(R),Afghanistan,Lucknow Super Giants,
Yudhvir Singh,All-rounder,INR 20 lakh(R),India,Lucknow Super Giants,
Devdutt Padikkal,Batsman,Traded from RR,India,Lucknow Super Giants,
Krishnappa Gowthan,All-rounder,INR 90 lakh(R),India,Lucknow Super Giants,
Mayank Yadav,Bowler,INR 20 Lakhs(R),India,Lucknow Super Giants,2000000.0
Shivam Mavi,Bowler,INR 6.4 Crores,India,Lucknow Super Giants,64000000.0
Arshin Kulkarni,All-rounder,INR 20 Lakhs,India,Lucknow Super Giants,2000000.0
M. Siddharth,Bowler,INR 2.40 Crore,India,Lucknow Super Giants,24000000.0
Ashton Turner,Batsman,INR 1 Crore,Australia,Lucknow Super Giants,10000000.0
David Willey,All-rounder,INR 2 Crore,England,Lucknow Super Giants,20000000.0
Arshad Khan,All-rounder,INR 20 Lakhs,India,Lucknow Super Giants,2000000.0
Rohit Sharma,Batsman,INR 16 Cr(R),India,Mumbai Indians,160000000.0
