Player,Status,Type,Country,Teams,Base Price,Sold Price
Sean Abbott,UnSold,All-Rounder,Aus,,"20,000,000",
Jamie Overton,UnSold,All-Rounder,Eng,,"20,000,000",
Ben Duckett,UnSold,Wicket-Keeper,Eng,,"20,000,000",
Philip Salt,UnSold,Wicket-Keeper,Eng,,"15,000,000",
Colin Munro,UnSold,Batsman,NZ,,"15,000,000",
Jason Holder,UnSold,All-Rounder,WI,,"15,000,000",
James Neesham,UnSold,All-Rounder,NZ,,"15,000,000",
Daniel Sams,UnSold,All-Rounder,Aus,,"15,000,000",
Chris Jordan,UnSold,Bowler,Eng,,"15,000,000",
Tymal Mills,UnSold,Bowler,Eng,,"15,000,000",
Tim Southee,UnSold,Bowler,NZ,,"15,000,000",
Ashton Agar,UnSold,All-Rounder,Aus,,"10,000,000",
Michael Bracewell,UnSold,All-Rounder,NZ,,"10,000,000",
Dwaine Pretorius,UnSold,All-Rounder,SA,,"10,000,000",
Sam Billings,UnSold,Wicket-Keeper,Eng,,"10,000,000",
Kyle Jamieson,UnSold,Bowler,NZ,,"10,000,000",
Riley Meredith,UnSold,Bowler,Aus,,"10,000,000",
Adam Milne,UnSold,Bowler,NZ,,"10,000,000",
Wayne Parnell,UnSold,Bowler,SA,,"10,000,000",
David Wiese,UnSold,All-Rounder,SA,,"10,000,000",
Ish Sodhi,UnSold,Bowler,NZ,,"7,500,000",
Finn Allen,UnSold,Batsman,NZ,,"7,500,000",
Fabian Allen,UnSold,All-Rounder,WI,,"7,500,000",
Keemo Paul,UnSold,All-Rounder,WI,,"7,500,000",
Matt Henry,UnSold,Bowler,NZ,,"7,500,000",
Lance Morris,UnSold,Bowler,Aus,,"7,500,000",
Ollie Robinson,UnSold,Bowler,Eng,,"7,500,000",
Billy Stanlake,UnSold,Bowler,Aus,,"7,500,000",
Olly Stone,UnSold,Bowler,Eng,,"7,500,000",
Karun Nair,UnSold,Batsman,Ind,,"5,000,000",
Kusal Mendis,UnSold,Wicket-Keeper,SL,,"5,000,000",
Akeal Hosein,UnSold,Bowler,WI,,"5,000,000",
Mohammad Waqar Salamkheil,UnSold,Bowler,Afg,,"5,000,000",
Tabraiz Shamsi,UnSold,Bowler,SA,,"5,000,000",
Alick Athanaze,UnSold,Batsman,WI,,"5,000,000",
Mark Chapman,UnSold,Batsman,NZ,,"5,000,000",
Samuel Hain,UnSold,Batsman,Eng,,"5,000,000",
Reeza Hendricks,UnSold,Batsman,SA,,"5,000,000",
Brandon King,UnSold,Batsman,WI,,"5,000,000",
Ibrahim Zadran,UnSold,Batsman,Afg,,"5,000,000",
Najibullah Zadran,UnSold,Batsman,Afg,,"5,000,000",
Wesley Agar,UnSold,All-Rounder,Aus,,"5,000,000",
Qais Ahamad,UnSold,All-Rounder,Afg,,"5,000,000",
Charith Asalanka,UnSold,All-Rounder,SL,,"5,000,000",
Brydon Carse,UnSold,All-Rounder,Eng,,"5,000,000",
Ben Cutting,UnSold,All-Rounder,Aus,,"5,000,000",
Matthew Forde,UnSold,All-Rounder,WI,,"5,000,000",
George Garton,UnSold,All-Rounder,Eng,,"5,000,000",
George Linde,UnSold,All-Rounder,SA,,"5,000,000",
Keshav Maharaj,UnSold,All-Rounder,SA,,"5,000,000",
Wiaan Mulder,UnSold,All-Rounder,SA,,"5,000,000",
Dasun Shanaka,UnSold,All-Rounder,SL,,"5,000,000",
Matthew Short,UnSold,All-Rounder,Aus,,"5,000,000",
Odean Smith,UnSold,All-Rounder,WI,,"5,000,000",
Hanuma Vihari,UnSold,All-Rounder,Ind,,"5,000,000",
Johnson Charles,UnSold,Wicket-Keeper,WI,,"5,000,000",
Varun Aaron,UnSold,Bowler,Ind,,"5,000,000",
Fareed Ahmad,UnSold,Bowler,Afg,,"5,000,000",
Dushmanta Chameera,UnSold,Bowler,SL,,"5,000,000",
Ben Dwarshuis,UnSold,Bowler,Aus,,"5,000,000",
Richard Gleeson,UnSold,Bowler,Eng,,"5,000,000",
Siddharth Kaul,UnSold,Bowler,Ind,,"5,000,000",
Lahiru Kumara,UnSold,Bowler,SL,,"5,000,000",
Obed Mccoy,UnSold,Bowler,Aus,,"5,000,000",
Blessing Muzarabani,UnSold,Bowler,Zim,,"5,000,000",
Richard Ngarava,UnSold,Bowler,Zim,,"5,000,000",
George Scrimshaw,UnSold,Bowler,Eng,,"5,000,000",
Barinder Sran,UnSold,Bowler,Ind,,"5,000,000",
Oshane Thomas,UnSold,Bowler,WI,,"5,000,000",
Sandeep Warrier,UnSold,Bowler,Ind,,"5,000,000",
Lizaad Williams,UnSold,Bowler,SA,,"5,000,000",
Luke Wood,UnSold,Bowler,Eng,,"5,000,000",
Benny Howell,UnSold,All-Rounder,Eng,,"4,000,000",
Jalaj Saxena,UnSold,All-Rounder,Ind,,"4,000,000",
Corbin Bosch,UnSold,All-Rounder,SA,,"3,000,000",
Kamlesh Nagarkoti,UnSold,All-Rounder,Ind,,"3,000,000",
Basil Thampi,UnSold,Bowler,Ind,,"3,000,000",
Lalit Yadav,UnSold,Bowler,Ind,,"3,000,000",
S Midhun,UnSold,Bowler,Ind,,"3,000,000",
Izharulhuq Naveed,UnSold,Bowler,Afg,,"3,000,000",
Priyansh Arya,UnSold,Batsman,Ind,,"2,000,000",
Rohan Kunnummal,UnSold,Batsman,Ind,,"2,000,000",
Manan Vohra,UnSold,Batsman,Ind,,"2,000,000",
Raj Angad Bawa,UnSold,All-Rounder,Ind,,"2,000,000",
Sarfaraz Khan,UnSold,All-Rounder,Ind,,"2,000,000",
Vivrant Sharma,UnSold,All-Rounder,Ind,,"2,000,000",
Atit Sheth,UnSold,All-Rounder,Ind,,"2,000,000",
Hrithik Shokeen,UnSold,All-Rounder,Ind,,"2,000,000",
Urvil Patel,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Vishnu Solanki,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Ishan Porel,UnSold,Bowler,Ind,,"2,000,000",
Kuldip Yadav,UnSold,Bowler,Ind,,"2,000,000",
Murgan Ashwin,UnSold,Bowler,Ind,,"2,000,000",
Pulkit Narang,UnSold,Bowler,Ind,,"2,000,000",
Shiva Singh,UnSold,Bowler,Ind,,"2,000,000",
Dinesh Bana,UnSold,Batsman,Ind,,"2,000,000",
Rajat Dey,UnSold,Batsman,Ind,,"2,000,000",
Abhimanyu Easwaran,UnSold,Batsman,Ind,,"2,000,000",
Rithik Easwaran,UnSold,Batsman,Ind,,"2,000,000",
Chirag Gandhi,UnSold,Batsman,Ind,,"2,000,000",
Nikhil Gangta,UnSold,Batsman,Ind,,"2,000,000",
Sudip Gharami,UnSold,Batsman,Ind,,"2,000,000",
Ansh Gosai,UnSold,Batsman,Ind,,"2,000,000",
Azim Kazi,UnSold,Batsman,Ind,,"2,000,000",
Amandeep Khare,UnSold,Batsman,Ind,,"2,000,000",
Ankit Kumar,UnSold,Batsman,Ind,,"2,000,000",
Bhupen Lalwani,UnSold,Batsman,Ind,,"2,000,000",
Pukhraj Mann,UnSold,Batsman,Ind,,"2,000,000",
Tanmay Mishra,UnSold,Batsman,Ind,,"2,000,000",
Salman Nizar,UnSold,Batsman,Ind,,"2,000,000",
Priyank Panchal,UnSold,Batsman,Ind,,"2,000,000",
Akshat Raghuwanshi,UnSold,Batsman,Ind,,"2,000,000",
Ekant Sen,UnSold,Batsman,Ind,,"2,000,000",
Subhranshu Senapati,UnSold,Batsman,Ind,,"2,000,000",
Naushad Shaikh,UnSold,Batsman,Ind,,"2,000,000",
Dhruv Shorey,UnSold,Batsman,Ind,,"2,000,000",
Himmat Singh,UnSold,Batsman,Ind,,"2,000,000",
Virat Singh,UnSold,Batsman,Ind,,"2,000,000",
Sumeet Verma,UnSold,Batsman,Ind,,"2,000,000",
P.A. Abdul,UnSold,All-Rounder,Ind,,"2,000,000",
Murugan Abhishek,UnSold,All-Rounder,Ind,,"2,000,000",
Atharva Ankolekar,UnSold,All-Rounder,Ind,,"2,000,000",
Baba Aparajith,UnSold,All-Rounder,Ind,,"2,000,000",
Jass Inder Baidwan,UnSold,All-Rounder,Ind,,"2,000,000",
Rahul Buddhi,UnSold,All-Rounder,Ind,,"2,000,000",
Vaisakh Chandran,UnSold,All-Rounder,Ind,,"2,000,000",
Writtick Chatterjee,UnSold,All-Rounder,Ind,,"2,000,000",
Raj Chaudhary,UnSold,All-Rounder,Ind,,"2,000,000",
Ravi Chauhan,UnSold,All-Rounder,Ind,,"2,000,000",
