Player,Role,Nation,Team,Auction Price (in INR)
Angkrish Raghuvanshi,Batsman,India,Kolkata Knight Riders,20 Lakhs
Ramandeep Singh,All-rounder,India,Kolkata Knight Riders,20 Lakhs
Sherfane Rutherford,Batsman,West Indies,Kolkata Knight Riders,1.50 Crore
Manish Pandey,Batsman,India,Kolkata Knight Riders,50 Lakhs
Mujeeb Rahman,Bowler,Afghanistan,Kolkata Knight Riders,2 Crore
Gus Atkinson,Bowler,England,Kolkata Knight Riders,1 Crore
Sakib Hussain,Bowler,India,Kolkata Knight Riders,20 Lakhs
KL Rahul,WK-Batsman,India,Lucknow Super Giants,17 Crores
Quinton de Kock,WK-Batsman,South Africa,Lucknow Super Giants,6.75 Crores
Ravi Bishnoi,Bowler,India,Lucknow Super Giants,4 Crores
Mohsin Khan,Bowler,India,Lucknow Super Giants,20 Lakhs
Mark Wood,Bowler,England,Lucknow Super Giants,7.5 Crores
Marcus Stoinis,All-rounder,Australia,Lucknow Super Giants,9.2 Crores
Kyle Mayers,All-rounder,West Indies,Lucknow Super Giants,50 Lakhs
Ayush Badoni,All-rounder,India,Lucknow Super Giants,20 Lakhs
Deepak Hooda,All-rounder,India,Lucknow Super Giants,5.75 Crores
Krunal Pandya,All-rounder,India,Lucknow Super Giants,8.25 Crores
Nicholas Pooran,WK-Batsman,West Indies,Lucknow Super Giants,16 crore
Yash Thakur,Bowler,India,Lucknow Super Giants,45 lakh
Amit Mishra,Bowler,India,Lucknow Super Giants,50 lakh
Prerak Mankad,All-rounder,India,Lucknow Super Giants,20 lakh
Naveen-ul-Haq,Bowler,Afghanistan,Lucknow Super Giants,50 lakh
Yudhvir Singh,All-rounder,India,Lucknow Super Giants,20 lakh
Devdutt Padikkal,Batsman,India,Lucknow Super Giants,Traded from RR
Krishnappa Gowthan,All-rounder,India,Lucknow Super Giants,90 lakh
Mayank Yadav,Bowler,India,Lucknow Super Giants,20 Lakhs
Shivam Mavi,Bowler,India,Lucknow Super Giants,6.4 Crores
Arshin Kulkarni,All-rounder,India,Lucknow Super Giants,20 Lakhs
M. Siddharth,Bowler,India,Lucknow Super Giants,2.40 Crore
Ashton Turner,Batsman,Australia,Lucknow Super Giants,1 Crore
David Willey,All-rounder,England,Lucknow Super Giants,2 Crore
Arshad Khan,All-rounder,India,Lucknow Super Giants,20 Lakhs
Rohit Sharma,Batsman,India,Mumbai Indians,16 Cr
Suryakumar Yadav,Batsman,India,Mumbai Indians,8 Cr
Tilak Varma,Batsman,India,Mumbai Indians,1.70 Cr
Dewald Brevis,Batsman,India,Mumbai Indians,3 crores
Ishan Kishan,WK-Batsman,India,Mumbai Indians,15.25 crores
Kumar Kartikeya Singh,Bowler,India,Mumbai Indians,20 Lakhs
Jasprit Bumrah,Bowler,India,Mumbai Indians,12 Crores
Arjun Tendulkar,All-rounder,India,Mumbai Indians,30 Lakhs
Tim David,All-rounder,Singapore,Mumbai Indians,8.25 Crores
Akash Madhwal,Bowler,India,Mumbai Indians,20 lakhs
Jason Behrendorff,Bowler,Australia,Mumbai Indians,Traded from RCB
Piyush Chawla,Bowler,India,Mumbai Indians,50 Lakhs
Shams Mulani,All-rounder,India,Mumbai Indians,20 Lakhs
Nehal Wadhera,All-rounder,India,Mumbai Indians,20 Lakhs
Vishnu Vinod,WK-Batsman,India,Mumbai Indians,20 Lakhs
Romario Shepherd,All-rounder,West Indies,Mumbai Indians,Traded from LSG
Hardik Pandya,All-rounder,India,Mumbai Indians,Traded from GT
Gerald Coetzee,All-rounder,South Africa,Mumbai Indians,5 Crores
Dilshan Madushanka,Bowler,Sri Lanka,Mumbai Indians,4.60 Crores
Shreyas Gopal,Bowler,India,Mumbai Indians,20 Lakhs
Nuwan Thushara,Bowler,Sri Lanka,Mumbai Indians,4.80 Crore
Naman Dhir,All-rounder,India,Mumbai Indians,20 Lakhs
Anshul Kamboj,All-rounder,India,Mumbai Indians,20 Lakhs
Mohammad Nabi,All-rounder,Afghanistan,Mumbai Indians,1.5 Crore
Shivalik Sharma,All-rounder,India,Mumbai Indians,20 Lakhs
Shikhar Dhawan,Batsman,India,Punjab Kings,8.25 Crores
Prabhsimran Singh,WK-Batsman,India,Punjab Kings,60 Lakhs
Jitesh Sharma,WK-Batsman,India,Punjab Kings,20 Lakhs
Jonny Bairstow,WK-Batsman,England,Punjab Kings,6.75 Crores
Arshdeep Singh,Bowler,India,Punjab Kings,4 Cr
Nathan Ellis,Bowler,Australia,Punjab Kings,75 Lakhs
Harpreet Brar,Bowler,India,Punjab Kings,3.80 Crores
Rahul Chahar,Bowler,India,Punjab Kings,5.25 Crores
Kagiso Rabada,Bowler,South Africa,Punjab Kings,9.25 Crores
Liam Livingstone,All-rounder,England,Punjab Kings,11.50 Crores
Rishi Dhawan,All-rounder,India,Punjab Kings,55 Lakhs
Atharva Taide,All-rounder,India,Punjab Kings,20 Lakhs
Sam Curran,All-rounder,England,Punjab Kings,18.50 crores
Sikandar Raza,All-rounder,Zimbabwe,Punjab Kings,50 lakh
Harpreet Bhatia,Batsman,India,Punjab Kings,40 lakh
Vidwath Kaverappa,Bowler,India,Punjab Kings,20 lakh
Shivam Singh,All-rounder,India,Punjab Kings,20 lakh
Harshal Patel,All-rounder,India,Punjab Kings,11.75 Crore
Chris Woakes,All-rounder,England,Punjab Kings,4.20 Crore
Ashutosh Sharma,All-rounder,India,Punjab Kings,20 Lakh
Vishwanath Pratap Singh,All-rounder,India,Punjab Kings,20 Lakh
Tanay Thayagarajann,All-rounder,India,Punjab Kings,20 Lakh
Shashank Singh,Batsman,India,Punjab Kings,20 Lakh
Prince Choudhary,Bowler,India,Punjab Kings,20 Lakh
Rilee Rossouw,Batsman,South Africa,Punjab Kings,8 Crore
Yashasvi Jaiswal,Batsman,India,Rajasthan Royals,4 Crores
Shimron Hetmyer,Batsman,West Indies,Rajasthan Royals,8.50 Crores
Sanju Samson,WK-Batsman,India,Rajasthan Royals,14 Cr
Jos Buttler,WK-Batsman,England,Rajasthan Royals,10 Cr
Dhruv Jurel,WK-Batsman,India,Rajasthan Royals,20 Lakhs
Navdeep Saini,Bowler,India,Rajasthan Royals,2.60 Crores
Kuldeep Sen,Bowler,India,Rajasthan Royals,20 Lakhs
Yuzvendra Chahal,Bowler,India,Rajasthan Royals,6.50 Crores
Trent Boult,Bowler,New Zealand,Rajasthan Royals,8 Crores
Riyan Parag,All-rounder,India,Rajasthan Royals,3.80 Crores
Ravichandran Ashwin,All-rounder,India,Rajasthan Royals,5 Crores
Donovan Ferreira,WK-Batsman,South Africa,Rajasthan Royals,50 lakh
Kunal Rathore,WK-Batsman,India,Rajasthan Royals,20 lakh
Adam Zampa,Bowler,Australia,Rajasthan Royals,1.5 crore
Sandeep Sharma,Bowler,India,Rajasthan Royals,50 lakh
Avesh Khan,Bowler,India,Rajasthan Royals,Traded from LSG
Prashid Krishna,Bowler,India,Rajasthan Royals,10 Crores
Rovman Powell,Batsman,West Indies,Rajasthan Royals,7.40 Crores
Shubham Dubey,Batsman,India,Rajasthan Royals,5.80 Cr
Tom Kohler-Cadmore,WK-Batsman,England,Rajasthan Royals,40 Lakh
Abid Mushtaq,All-rounder,India,Rajasthan Royals,50 Lakh
Nandre Burger,Bowler,South Africa,Rajasthan Royals,50 Lakh
Virat Kohli,Batsman,India,Royal Challengers Bangalore,15 CR
Suyash Prabhudessai,Batsman,India,Royal Challengers Bangalore,30 Lakhs
