Player,Role,Auction Price,Nation,Team
Sunil Narine,All-rounder,INR 6 Cr(R),West Indies,Kolkata Knight Riders
Anukul Roy,All-rounder,INR 20 Lakhs(R),India,Kolkata Knight Riders
Rahmanullah Gurbaz,WK-Batsman,INR 50 Lakhs(R),Afghanistan,Kolkata Knight Riders
Harshit Rana,Bowler,INR 20 Lakhs(R),India,Kolkata Knight Riders
Vaibhav Arora,Bowler,INR 60 lakh(R),India,Kolkata Knight Riders
Suyash Sharma,Bowler,INR 20 lakh(R),India,Kolkata Knight Riders
Jason Roy,Batsman,INR 2.8 crore(R),England,Kolkata Knight Riders
KS Bharat,WK-Batsman,INR 50 Lakhs,India,Kolkata Knight Riders
Chetan Sakaria,Bowler,INR 50 Lakhs,India,Kolkata Knight Riders
Mitchell Starc,Bowler,INR 24.75 Crore,Australia,Kolkata Knight Riders
Angkrish Raghuvanshi,Batsman,INR 20 Lakhs,India,Kolkata Knight Riders
Ramandeep Singh,All-rounder,INR 20 Lakhs,India,Kolkata Knight Riders
Sherfane Rutherford,Batsman,INR 1.50 Crore,West Indies,Kolkata Knight Riders
Manish Pandey,Batsman,INR 50 Lakhs,India,Kolkata Knight Riders
Mujeeb Rahman,Bowler,INR 2 Crore,Afghanistan,Kolkata Knight Riders
Gus Atkinson,Bowler,INR 1 Crore,England,Kolkata Knight Riders
Sakib Hussain,Bowler,INR 20 Lakhs,India,Kolkata Knight Riders
KL Rahul (c&wk),WK-Batsman,INR 17 Crores(R),India,Lucknow Super Giants
Quinton de Kock (wk),WK-Batsman,INR 6.75 Crores(R),South Africa,Lucknow Super Giants
Ravi Bishnoi,Bowler,INR 4 Crores(R),India,Lucknow Super Giants
Mohsin Khan,Bowler,INR 20 Lakhs(R),India,Lucknow Super Giants
Mark Wood,Bowler,INR 7.5 Crores(R),England,Lucknow Super Giants
Marcus Stoinis,All-rounder,INR 9.2 Crores(R),Australia,Lucknow Super Giants
Kyle Mayers,All-rounder,INR 50 Lakhs(R),West Indies,Lucknow Super Giants
Ayush Badoni,All-rounder,INR 20 Lakhs(R),India,Lucknow Super Giants
Deepak Hooda,All-rounder,INR 5.75 Crores(R),India,Lucknow Super Giants
Krunal Pandya,All-rounder,INR 8.25 Crores(R),India,Lucknow Super Giants
Nicholas Pooran,WK-Batsman,INR 16 crore(R),West Indies,Lucknow Super Giants
Yash Thakur,Bowler,INR 45 lakh(R),India,Lucknow Super Giants
Amit Mishra,Bowler,INR 50 lakh(R),India,Lucknow Super Giants
Prerak Mankad,All-rounder,INR 20 lakh(R),India,Lucknow Super Giants
Naveen-ul-Haq,Bowler,INR 50 lakh(R),Afghanistan,Lucknow Super Giants
Yudhvir Singh,All-rounder,INR 20 lakh(R),India,Lucknow Super Giants
Devdutt Padikkal,Batsman,Traded from RR,India,Lucknow Super Giants
Krishnappa Gowthan,All-rounder,INR 90 lakh(R),India,Lucknow Super Giants
Mayank Yadav,Bowler,INR 20 Lakhs(R),India,Lucknow Super Giants
Shivam Mavi,Bowler,INR 6.4 Crores,India,Lucknow Super Giants
Arshin Kulkarni,All-rounder,INR 20 Lakhs,India,Lucknow Super Giants
M. Siddharth,Bowler,INR 2.40 Crore,India,Lucknow Super Giants
Ashton Turner,Batsman,INR 1 Crore,Australia,Lucknow Super Giants
David Willey,All-rounder,INR 2 Crore,England,Lucknow Super Giants
Arshad Khan,All-rounder,INR 20 Lakhs,India,Lucknow Super Giants
Rohit Sharma,Batsman,INR 16 Cr(R),India,Mumbai Indians
Suryakumar Yadav,Batsman,INR 8 Cr(R),India,Mumbai Indians
Tilak Varma,Batsman,INR 1.70 Cr(R),India,Mumbai Indians
Dewald Brevis,Batsman,INR 3 crores(R),India,Mumbai Indians
Ishan Kishan (wk),WK-Batsman,INR 15.25 crores(R),India,Mumbai Indians
Kumar Kartikeya Singh,Bowler,INR 20 Lakhs(R),India,Mumbai Indians
Jasprit Bumrah,Bowler,INR 12 Crores(R),India,Mumbai Indians
Arjun Tendulkar,All-rounder,INR 30 Lakhs(R),India,Mumbai Indians
Tim David,All-rounder,INR 8.25 Crores(R),Singapore,Mumbai Indians
Akash Madhwal,Bowler,INR 20 lakhs(R),India,Mumbai Indians
Jason Behrendorff,Bowler,Traded from RCB,Australia,Mumbai Indians
Piyush Chawla,Bowler,INR 50 Lakhs(R),India,Mumbai Indians
Shams Mulani,All-rounder,INR 20 Lakhs(R),India,Mumbai Indians
Nehal Wadhera,All-rounder,INR 20 Lakhs(R),India,Mumbai Indians
Vishnu Vinod,WK-Batsman,INR 20 Lakhs(R),India,Mumbai Indians
Romario Shepherd,All-rounder,Traded from LSG,West Indies,Mumbai Indians
Hardik Pandya(C),All-rounder,Traded from GT,India,Mumbai Indians
Gerald Coetzee,All-rounder,INR 5 Crores,South Africa,Mumbai Indians
Dilshan Madushanka,Bowler,INR 4.60 Crores,Sri Lanka,Mumbai Indians
Shreyas Gopal,Bowler,INR 20 Lakhs,India,Mumbai Indians
Nuwan Thushara,Bowler,INR 4.80 Crore,Sri Lanka,Mumbai Indians
Naman Dhir,All-rounder,INR 20 Lakhs,India,Mumbai Indians
Anshul Kamboj,All-rounder,INR 20 Lakhs,India,Mumbai Indians
Mohammad Nabi,All-rounder,INR 1.5 Crore,Afghanistan,Mumbai Indians
Shivalik Sharma,All-rounder,INR 20 Lakhs,India,Mumbai Indians
Shikhar Dhawan(C),Batsman,INR 8.25 Crores(R),India,Punjab Kings
Prabhsimran Singh (wk),WK-Batsman,INR 60 Lakhs(R),India,Punjab Kings
Jitesh Sharma (wk),WK-Batsman,INR 20 Lakhs(R),India,Punjab Kings
Jonny Bairstow,WK-Batsman,INR 6.75 Crores(R),England,Punjab Kings
Arshdeep Singh,Bowler,INR 4 Cr(R),India,Punjab Kings
Nathan Ellis,Bowler,INR 75 Lakhs(R),Australia,Punjab Kings
Harpreet Brar,Bowler,INR 3.80 Crores(R),India,Punjab Kings
Rahul Chahar,Bowler,INR 5.25 Crores(R),India,Punjab Kings
Kagiso Rabada,Bowler,INR 9.25 Crores(R),South Africa,Punjab Kings
Liam Livingstone,All-rounder,INR 11.50 Crores(R),England,Punjab Kings
Rishi Dhawan,All-rounder,INR 55 Lakhs(R),India,Punjab Kings
Atharva Taide,All-rounder,INR 20 Lakhs(R),India,Punjab Kings
Sam Curran,All-rounder,INR 18.50 crores(R),England,Punjab Kings
Sikandar Raza,All-rounder,INR 50 lakh(R),Zimbabwe,Punjab Kings
Harpreet Bhatia,Batsman,INR 40 lakh(R),India,Punjab Kings
Vidwath Kaverappa,Bowler,INR 20 lakh(R),India,Punjab Kings
Shivam Singh,All-rounder,INR 20 lakh(R),India,Punjab Kings
Harshal Patel,All-rounder,INR 11.75 Crore,India,Punjab Kings
Chris Woakes,All-rounder,INR 4.20 Crore,England,Punjab Kings
Ashutosh Sharma,All-rounder,INR 20 Lakh,India,Punjab Kings
Vishwanath Pratap Singh,All-rounder,INR 20 Lakh,India,Punjab Kings
Tanay Thayagarajann,All-rounder,INR 20 Lakh,India,Punjab Kings
Shashank Singh,Batsman,INR 20 Lakh,India,Punjab Kings
Prince Choudhary,Bowler,INR 20 Lakh,India,Punjab Kings
Rilee Rossouw,Batsman,INR 8 Crore,South Africa,Punjab Kings
Yashasvi Jaiswal,Batsman,INR 4 Crores(R),India,Rajasthan Royals
Shimron Hetmyer,Batsman,INR 8.50 Crores(R),West Indies,Rajasthan Royals
Sanju Samson (c&wk),WK-Batsman,INR 14 Cr(R),India,Rajasthan Royals
Jos Buttler (wk),WK-Batsman,INR 10 Cr(R),England,Rajasthan Royals
Dhruv Jurel (wk),WK-Batsman,INR 20 Lakhs(R),India,Rajasthan Royals
Navdeep Saini,Bowler,INR 2.60 Crores(R),India,Rajasthan Royals
Kuldeep Sen,Bowler,INR 20 Lakhs(R),India,Rajasthan Royals
